conference,team,games_checked,games_used,games_rejected,strict_possessions,strict_ortg,strict_drtg,strict_net,bpm_team_target,obpm_team_target,team_bpm_adjustment,team_obpm_adjustment,reject_reasons
Orange Empire Athletic,Cypress,33,30,3,2098.8,103.9,92.1,11.7,4.69,2.12,-2.036,-1.246,{'incomplete_minutes_total': 3}
Orange Empire Athletic,Fullerton,34,30,4,2125.8,107.9,88.1,19.8,7.9,3.72,0.294,-0.07,{'incomplete_minutes_total': 4}
WSC South,Citrus,32,30,2,2682.8,116.2,92.7,23.4,9.38,7.04,0.18,2.157,"{'incomplete_minutes_total': 1, 'score_total_mismatch': 1}"
Orange Empire Athletic,Santa Ana,32,29,3,2277.3,100.9,96.3,4.6,1.83,0.92,-5.886,-2.78,{'incomplete_minutes_total': 3}
Orange Empire Athletic,Santiago Canyon,31,29,2,2328.9,106.8,97.0,9.9,3.95,3.3,-4.58,-1.505,{'incomplete_minutes_total': 2}
WSC North,Moorpark,29,29,0,2366.6,101.3,93.0,8.3,3.31,1.1,-4.249,-2.731,{}
Orange Empire Athletic,Riverside,30,28,2,2050.1,95.5,98.6,-3.1,-1.25,-1.25,-7.151,-4.179,"{'incomplete_minutes_total': 1, 'score_total_mismatch': 1}"
WSC South,West LA,29,28,1,2201.6,95.1,92.4,2.7,1.07,-1.38,-5.555,-4.213,{'incomplete_minutes_total': 1}
Orange Empire Athletic,Saddleback,30,27,3,1853.0,96.4,104.2,-7.7,-3.09,-0.85,-9.521,-4.215,"{'incomplete_minutes_total': 2, 'team_missing_from_box': 1}"
South Coast-South,Cerritos,32,27,5,2038.5,102.7,96.0,6.7,2.69,1.66,-4.903,-2.479,"{'incomplete_minutes_total': 4, 'score_total_mismatch': 1}"
WSC South,Canyons,28,27,1,2022.6,98.7,106.4,-7.7,-3.09,0.04,-8.674,-2.876,{'team_missing_from_box': 1}
WSC South,Santa Monica,28,27,1,2127.5,102.1,98.7,3.4,1.35,1.41,-5.132,-1.91,{'incomplete_minutes_total': 1}
Inland Empire Athletic,San Bernardino Valley,33,26,7,2097.4,116.6,89.8,26.8,10.72,7.2,0.496,1.714,"{'incomplete_minutes_total': 5, 'team_missing_from_box': 1, 'score_total_mismatch': 1}"
South Coast-North,Mt. San Antonio,29,26,3,2011.4,102.5,92.7,9.7,3.9,1.56,-3.753,-1.948,"{'incomplete_minutes_total': 1, 'team_missing_from_box': 1, 'score_total_mismatch': 1}"
WSC South,Glendale,28,26,2,1977.6,93.5,100.9,-7.4,-2.97,-2.03,-9.48,-5.233,{'incomplete_minutes_total': 2}
Orange Empire Athletic,Orange Coast,30,25,5,1988.0,86.6,106.0,-19.4,-7.77,-4.78,-14.839,-8.024,"{'incomplete_minutes_total': 3, 'incomplete_player_box': 1, 'score_total_mismatch': 1}"
WSC North,Allan Hancock,29,25,4,1785.2,101.2,89.6,11.5,4.62,1.04,-2.089,-2.525,{'incomplete_minutes_total': 4}
WSC North,Santa Barbara,28,25,3,1724.5,92.8,102.8,-10.0,-3.99,-2.32,-9.889,-5.622,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 2}"
WSC North,Cuesta,29,24,5,1679.1,95.1,92.0,3.1,1.24,-1.38,-5.67,-4.625,{'incomplete_minutes_total': 5}
WSC North,LA Pierce,28,24,4,1718.0,93.3,98.9,-5.6,-2.24,-2.11,-8.711,-5.878,"{'incomplete_player_box': 1, 'incomplete_minutes_total': 3}"
WSC North,Ventura,28,24,4,1831.4,92.0,102.1,-10.2,-4.06,-2.65,-9.917,-5.476,"{'incomplete_minutes_total': 2, 'incomplete_player_box': 1, 'score_total_mismatch': 1}"
WSC South,Antelope Valley,28,24,4,1873.5,100.7,95.9,4.8,1.92,0.86,-5.478,-2.719,{'incomplete_minutes_total': 4}
WSC South,LA Valley,27,24,3,1868.1,87.2,104.1,-16.9,-6.74,-4.55,-11.511,-6.664,"{'incomplete_minutes_total': 2, 'score_total_mismatch': 1}"
Inland Empire Athletic,Chaffey,31,23,8,1940.7,118.1,101.7,16.4,6.57,7.81,-3.366,1.577,"{'incomplete_minutes_total': 7, 'team_missing_from_box': 1}"
Pacific Coast Athletic,Grossmont,28,23,5,1743.3,80.9,114.1,-33.2,-13.26,-7.06,-17.887,-9.103,{'incomplete_minutes_total': 5}
Pacific Coast Athletic,Palomar,29,23,6,1751.6,100.2,96.3,3.9,1.58,0.65,-5.76,-3.48,"{'incomplete_minutes_total': 5, 'incomplete_player_box': 1}"
South Coast-South,LA Harbor,28,23,5,1776.3,93.0,98.7,-5.7,-2.27,-2.23,-8.792,-5.096,"{'incomplete_minutes_total': 4, 'score_total_mismatch': 1}"
Orange Empire Athletic,Irvine Valley,31,22,9,1537.1,95.9,91.0,4.9,1.95,-1.07,-3.829,-3.521,"{'team_missing_from_box': 3, 'incomplete_minutes_total': 6}"
Pacific Coast Athletic,San Diego City,29,22,7,1577.1,103.3,84.8,18.5,7.38,1.89,0.159,-1.121,{'incomplete_minutes_total': 7}
South Coast-North,Pasadena City,29,22,7,1617.2,103.5,96.5,7.0,2.82,1.98,-6.506,-2.945,"{'incomplete_minutes_total': 6, 'team_missing_from_box': 1}"
WSC South,Bakersfield,28,21,7,1651.4,90.5,97.6,-7.0,-2.81,-3.22,-7.999,-5.447,"{'incomplete_minutes_total': 4, 'score_total_mismatch': 1, 'incomplete_player_box': 1, 'team_missing_from_box': 1}"
Inland Empire Athletic,Desert,27,20,7,1628.3,91.4,108.1,-16.6,-6.66,-2.85,-13.865,-6.419,{'incomplete_minutes_total': 7}
South Coast-North,East Los Angeles,28,20,8,1592.8,110.6,86.8,23.8,9.52,4.82,1.701,1.359,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 7}"
South Coast-South,Long Beach,28,20,8,1600.1,96.1,106.1,-9.9,-3.97,-0.98,-9.842,-3.65,"{'score_total_mismatch': 3, 'incomplete_minutes_total': 4, 'team_missing_from_box': 1}"
South Coast-North,Los Angeles City,27,19,8,1458.9,92.9,93.6,-0.7,-0.27,-2.28,-6.897,-5.612,"{'team_missing_from_box': 4, 'incomplete_minutes_total': 4}"
South Coast-North,LA Trade Tech,27,18,9,1432.1,97.5,99.6,-2.2,-0.87,-0.44,-8.492,-4.219,"{'incomplete_minutes_total': 7, 'score_total_mismatch': 2}"
WSC North,Oxnard,24,17,7,1221.2,101.5,97.9,3.7,1.47,1.19,-5.232,-2.781,"{'incomplete_minutes_total': 2, 'score_total_mismatch': 4, 'incomplete_player_box': 1}"
Central Valley,Sequoias,29,16,13,1235.7,116.8,82.8,34.0,13.6,7.28,2.094,0.971,{'incomplete_minutes_total': 13}
South Coast-North,Rio Hondo,22,16,6,1291.5,89.3,110.5,-21.2,-8.49,-3.72,-13.753,-6.343,"{'incomplete_minutes_total': 5, 'score_total_mismatch': 1}"
South Coast-South,Compton,30,16,14,1275.1,103.0,100.1,3.0,1.19,1.79,-6.115,-1.557,"{'incomplete_minutes_total': 12, 'score_total_mismatch': 2}"
Inland Empire Athletic,Victor Valley,28,15,13,1222.2,101.4,104.6,-3.2,-1.28,1.12,-7.626,-2.146,"{'incomplete_minutes_total': 11, 'score_total_mismatch': 1, 'team_missing_from_box': 1}"
Big Eight,Cosumnes River,32,13,19,962.9,103.2,86.8,16.4,6.56,1.86,-0.219,-1.686,"{'incomplete_minutes_total': 18, 'incomplete_player_box': 1}"
Inland Empire Athletic,Copper Mountain,28,12,16,896.6,98.0,106.3,-8.3,-3.3,-0.21,-9.653,-3.36,"{'incomplete_minutes_total': 14, 'incomplete_player_box': 1, 'team_missing_from_box': 1}"
Inland Empire Athletic,Palo Verde,28,12,16,979.7,98.0,124.8,-26.8,-10.74,-0.23,-17.736,-4.569,"{'incomplete_minutes_total': 12, 'score_total_mismatch': 3, 'team_missing_from_box': 1}"
Pacific Coast Athletic,San Diego Mesa,28,12,16,901.4,94.1,88.6,5.4,2.17,-1.8,-4.934,-5.295,"{'team_missing_from_box': 1, 'incomplete_minutes_total': 14, 'incomplete_player_box': 1}"
Pacific Coast Athletic,Southwestern,30,12,18,898.6,105.2,94.1,11.0,4.41,2.63,-3.417,-1.115,"{'incomplete_minutes_total': 17, 'team_missing_from_box': 1}"
South Coast-South,LA Southwest,27,12,15,1006.1,100.3,112.4,-12.1,-4.85,0.69,-10.575,-2.282,"{'incomplete_player_box': 1, 'incomplete_minutes_total': 12, 'score_total_mismatch': 1, 'team_missing_from_box': 1}"
Central Valley,Porterville,28,11,17,738.0,88.6,101.4,-12.7,-5.09,-3.98,-9.058,-5.703,"{'incomplete_minutes_total': 11, 'incomplete_player_box': 6}"
Inland Empire Athletic,Barstow,28,11,17,847.7,84.8,96.8,-12.0,-4.81,-5.5,-9.894,-7.655,"{'incomplete_minutes_total': 16, 'team_missing_from_box': 1}"
Inland Empire Athletic,Cerro Coso,29,11,18,773.8,103.3,107.9,-4.7,-1.86,1.88,-7.901,-1.438,"{'incomplete_minutes_total': 16, 'incomplete_player_box': 1, 'team_missing_from_box': 1}"
Central Valley,Coalinga,28,10,18,780.8,79.1,109.0,-29.8,-11.94,-7.77,-16.421,-9.802,"{'incomplete_minutes_total': 17, 'team_missing_from_box': 1}"
Pacific Coast Athletic,San Diego Miramar,28,10,18,696.1,84.3,104.3,-20.0,-7.99,-5.7,-13.233,-8.101,"{'incomplete_minutes_total': 16, 'incomplete_player_box': 2}"
Inland Empire Athletic,Mt. San Jacinto,28,9,19,729.7,103.2,107.2,-4.0,-1.59,1.85,-7.457,-1.139,"{'incomplete_minutes_total': 6, 'team_missing_from_box': 13}"
South Coast-South,El Camino,27,9,18,735.2,90.9,110.3,-19.5,-7.78,-3.08,-12.99,-5.936,"{'team_missing_from_box': 11, 'incomplete_minutes_total': 3, 'incomplete_player_box': 3, 'score_total_mismatch': 1}"
Pacific Coast Athletic,Cuyamaca,28,8,20,572.9,89.0,94.6,-5.6,-2.23,-3.82,-7.841,-6.198,{'incomplete_minutes_total': 20}
Pacific Coast Athletic,Imperial Valley,27,8,19,630.0,69.4,127.8,-58.4,-23.36,-11.68,-27.307,-13.74,"{'incomplete_minutes_total': 18, 'incomplete_player_box': 1}"
Pacific Coast Athletic,MiraCosta,29,8,21,582.7,91.1,93.5,-2.4,-0.96,-2.98,-7.644,-5.908,"{'incomplete_minutes_total': 20, 'team_missing_from_box': 1}"
Coast-North,San Francisco,33,7,26,569.5,115.5,92.2,23.4,9.34,6.79,-0.231,1.789,{'incomplete_minutes_total': 26}
Coast-South,San Jose,30,7,23,505.5,105.2,86.1,19.2,7.68,2.67,-0.267,-1.444,{'incomplete_minutes_total': 23}
Central Valley,Merced,28,5,23,376.9,105.1,104.0,1.1,0.42,2.6,-6.899,-2.219,"{'incomplete_minutes_total': 20, 'score_total_mismatch': 1, 'incomplete_player_box': 2}"
Coast-North,Chabot,28,5,23,431.3,99.5,95.8,3.7,1.48,0.36,-4.667,-3.049,"{'incomplete_minutes_total': 21, 'incomplete_player_box': 1, 'score_total_mismatch': 1}"
Central Valley,Fresno,30,4,26,353.4,92.3,103.0,-10.8,-4.3,-2.53,-8.683,-4.382,"{'incomplete_minutes_total': 23, 'incomplete_player_box': 3}"
Coast-North,De Anza,28,4,24,286.7,91.0,92.4,-1.4,-0.56,-3.01,-7.039,-5.981,{'incomplete_minutes_total': 24}
Coast-South,Foothill,28,4,24,307.0,85.3,109.8,-24.4,-9.77,-5.29,-14.635,-7.003,{'incomplete_minutes_total': 24}
Big Eight,Folsom Lake,28,3,25,240.5,99.0,109.8,-10.8,-4.32,0.15,-10.454,-2.417,{'incomplete_minutes_total': 25}
Big Eight,Modesto,30,3,27,209.7,86.3,89.7,-3.3,-1.34,-4.9,-7.256,-7.814,"{'incomplete_minutes_total': 23, 'incomplete_player_box': 4}"
Golden Valley,Redwoods,29,3,26,218.5,104.4,92.9,11.4,4.58,2.31,-3.9,-2.524,{'incomplete_minutes_total': 26}
Golden Valley,Shasta,28,3,25,225.1,96.0,93.7,2.2,0.89,-1.05,-7.885,-5.998,{'incomplete_minutes_total': 25}
Bay Valley,Napa Valley,28,2,26,158.0,80.4,98.7,-18.4,-7.34,-7.27,-13.319,-10.611,"{'incomplete_minutes_total': 23, 'score_total_mismatch': 3}"
Big Eight,Diablo Valley,28,2,26,152.1,79.6,105.9,-26.3,-10.52,-7.6,-15.934,-10.02,{'incomplete_minutes_total': 26}
Central Valley,Lemoore,28,2,26,146.8,94.0,109.0,-15.0,-6.0,-1.82,-9.562,-3.125,"{'incomplete_minutes_total': 25, 'incomplete_player_box': 1}"
Central Valley,Reedley,28,2,26,136.5,76.9,114.3,-37.4,-14.95,-8.65,-20.194,-10.472,{'incomplete_minutes_total': 26}
Coast-South,Cabrillo,29,2,27,144.7,87.1,90.6,-3.5,-1.38,-4.59,-9.347,-8.84,{'incomplete_minutes_total': 27}
Coast-South,Hartnell,28,2,26,137.2,78.7,125.4,-46.7,-18.67,-7.93,-24.044,-10.467,{'incomplete_minutes_total': 26}
Coast-South,West Valley,31,2,29,140.3,78.4,103.4,-25.0,-9.98,-8.06,-13.033,-8.689,"{'incomplete_player_box': 1, 'incomplete_minutes_total': 28}"
Golden Valley,Feather River,29,2,27,154.8,86.6,96.9,-10.3,-4.14,-4.8,-9.249,-6.704,{'incomplete_minutes_total': 27}
Bay Valley,Contra Costa,30,1,29,77.1,84.3,120.6,-36.3,-14.52,-5.71,-18.508,-7.653,"{'incomplete_minutes_total': 25, 'incomplete_player_box': 4}"
Bay Valley,Mendocino,29,1,28,80.5,84.5,106.8,-22.4,-8.94,-5.64,-14.535,-7.643,{'incomplete_minutes_total': 28}
Bay Valley,Solano,27,1,26,81.8,105.1,100.2,4.9,1.96,2.61,-6.31,-2.584,{'incomplete_minutes_total': 26}
Big Eight,American River,28,1,27,66.3,92.0,98.0,-6.0,-2.41,-2.65,-7.956,-4.891,"{'incomplete_minutes_total': 26, 'incomplete_player_box': 1}"
Big Eight,Sacramento City,28,1,27,73.8,96.2,116.5,-20.3,-8.13,-0.95,-12.15,-2.397,"{'incomplete_minutes_total': 25, 'score_total_mismatch': 1, 'incomplete_player_box': 1}"
Big Eight,San Joaquin Delta,28,1,27,76.7,56.1,116.1,-60.0,-24.0,-17.0,-25.691,-17.288,"{'incomplete_minutes_total': 22, 'score_total_mismatch': 1, 'incomplete_player_box': 4}"
Big Eight,Santa Rosa,30,1,29,72.9,96.1,93.3,2.7,1.1,-1.0,-5.912,-3.72,"{'incomplete_minutes_total': 27, 'incomplete_player_box': 2}"
Big Eight,Sierra,30,1,29,66.7,108.0,96.0,12.0,4.8,3.76,-1.933,-0.124,{'incomplete_minutes_total': 29}
Central Valley,Columbia,30,1,29,79.3,92.1,131.2,-39.1,-15.64,-2.6,-23.684,-6.891,"{'incomplete_minutes_total': 28, 'incomplete_player_box': 1}"
Coast-North,Las Positas,31,1,30,94.0,77.6,119.1,-41.5,-16.59,-8.38,-21.592,-11.264,{'incomplete_minutes_total': 30}
Coast-North,San Mateo,28,1,27,70.6,90.7,96.4,-5.7,-2.27,-3.16,-10.431,-7.048,{'incomplete_minutes_total': 27}
Golden Valley,Butte,29,1,28,80.0,96.3,83.8,12.5,5.0,-0.91,-2.569,-4.288,"{'incomplete_minutes_total': 27, 'incomplete_player_box': 1}"
