conference,team,games_checked,games_used,games_rejected,strict_possessions,strict_ortg,strict_drtg,strict_net,bpm_team_target,obpm_team_target,team_bpm_adjustment,team_obpm_adjustment,reject_reasons
Central Valley,West Hills Coalinga,28,3,25,246.4,68.6,107.9,-39.4,-15.75,-12.02,-20.431,-13.796,"{'incomplete_player_box': 1, 'incomplete_minutes_total': 24}"
Coast-North,Foothill,28,3,25,208.9,89.5,93.3,-3.8,-1.53,-3.65,-8.149,-6.49,"{'score_total_mismatch': 4, 'incomplete_minutes_total': 20, 'incomplete_player_box': 1}"
Coast-South,Hartnell,27,3,24,219.9,102.3,110.1,-7.7,-3.09,1.48,-12.347,-3.98,{'incomplete_minutes_total': 24}
Golden Valley,Butte,27,3,24,209.6,93.5,94.0,-0.5,-0.19,-2.05,-6.656,-4.937,{'incomplete_minutes_total': 24}
Bay Valley,Los Medanos,29,2,27,183.0,101.1,92.9,8.2,3.28,0.99,-4.641,-3.496,"{'incomplete_minutes_total': 26, 'incomplete_player_box': 1}"
Bay Valley,Mendocino,30,2,28,149.7,117.6,111.6,6.0,2.41,7.59,-5.945,2.591,"{'incomplete_minutes_total': 26, 'incomplete_player_box': 2}"
Big Eight,Sierra,27,2,25,144.0,88.9,95.8,-6.9,-2.78,-3.89,-8.102,-6.153,"{'incomplete_minutes_total': 21, 'score_total_mismatch': 1, 'incomplete_player_box': 3}"
Bay Valley,Alameda,30,1,29,68.1,124.9,108.7,16.2,6.46,10.5,-2.516,5.631,"{'incomplete_minutes_total': 26, 'score_total_mismatch': 1, 'incomplete_player_box': 2}"
Bay Valley,Marin,27,1,26,79.9,105.1,122.6,-17.5,-7.01,2.59,-12.178,-0.684,"{'incomplete_minutes_total': 23, 'incomplete_player_box': 3}"
Bay Valley,Merritt,28,1,27,73.8,93.5,111.1,-17.6,-7.04,-2.06,-13.662,-5.893,"{'incomplete_minutes_total': 21, 'score_total_mismatch': 1, 'incomplete_player_box': 5}"
Big Eight,American River,25,1,24,87.1,109.1,102.2,6.9,2.76,4.17,-2.377,1.648,{'incomplete_minutes_total': 24}
Big Eight,Folsom Lake,28,1,27,79.0,97.5,101.3,-3.8,-1.52,-0.45,-4.529,-1.448,"{'incomplete_minutes_total': 26, 'incomplete_player_box': 1}"
Big Eight,Modesto,28,1,27,76.7,103.0,101.7,1.3,0.52,1.74,-5.08,-1.208,"{'incomplete_minutes_total': 26, 'incomplete_player_box': 1}"
Big Eight,San Joaquin Delta,30,1,29,67.9,88.4,85.4,2.9,1.18,-4.1,-6.384,-8.8,{'incomplete_minutes_total': 29}
Coast-North,Ohlone,28,1,27,75.2,103.7,105.1,-1.3,-0.53,2.05,-6.542,-2.249,"{'incomplete_minutes_total': 26, 'incomplete_player_box': 1}"
Coast-South,Cabrillo,28,1,27,66.8,91.3,106.2,-15.0,-5.98,-2.94,-11.438,-4.975,{'incomplete_minutes_total': 27}
Coast-South,Monterey Peninsula,28,1,27,85.8,73.4,54.8,18.7,7.46,-10.07,3.599,-9.681,{'incomplete_minutes_total': 27}
Golden Valley,Feather River,26,1,25,73.6,80.2,114.1,-34.0,-13.59,-7.38,-19.154,-10.239,{'incomplete_minutes_total': 25}
Golden Valley,Lassen,21,1,20,68.8,78.5,95.9,-17.4,-6.98,-8.06,-7.337,-7.441,"{'incomplete_minutes_total': 18, 'incomplete_player_box': 2}"
Golden Valley,Shasta,28,1,27,74.4,86.0,76.6,9.4,3.76,-5.03,-5.83,-10.093,"{'incomplete_minutes_total': 25, 'incomplete_player_box': 2}"
