rank,conference,team,player,games,strict_team_games,minutes,mpg,min_pct,position_scale,creation_role,raw_bpm,bpm,obpm,dbpm,vorp_style,pts_per100,adj_pts_per100,ast_per100,reb_per100,stl_per100,blk_per100,to_per100,qualifies_minutes
1,Inland Empire Athletic,San Bernardino Valley,Shadale Knight,21,26,600.0,28.6,57.4,1.99,2.15,13.83,14.33,9.48,4.85,2.973,20.6,17.9,11.9,5.8,3.5,0.2,4.3,True
2,WSC South,Citrus,Brady Cook,29,30,502.0,17.3,41.3,2.84,2.87,14.01,14.19,10.67,3.52,2.448,28.8,24.4,4.2,13.0,3.0,0.4,2.8,True
3,Inland Empire Athletic,San Bernardino Valley,Jason Hilliard,26,26,560.0,21.5,53.6,4.96,2.66,13.05,13.54,10.31,3.24,2.642,31.2,27.7,1.5,15.4,2.0,2.2,2.1,True
4,Inland Empire Athletic,Chaffey,Uriyah Rojas,23,23,743.0,32.3,78.8,2.81,1.0,16.84,13.48,13.63,-0.15,3.421,37.0,32.5,7.5,11.9,2.3,0.7,2.4,True
5,WSC South,Citrus,Tyler Isaak,28,30,767.0,27.4,63.1,2.99,2.06,13.21,13.39,11.29,2.1,3.555,31.3,26.4,3.8,9.9,2.6,0.3,2.6,True
6,Orange Empire Athletic,Fullerton,Joe Grahovac,29,30,865.0,29.8,71.7,5.0,1.75,13.08,13.38,7.49,5.89,4.035,30.1,25.8,4.4,12.3,0.9,5.0,4.9,True
7,Pacific Coast Athletic,San Diego City,Logan Huston,22,22,728.0,33.1,81.8,2.54,1.14,12.13,12.29,5.76,6.53,3.136,24.3,22.3,5.0,6.3,3.5,1.0,3.6,True
8,Orange Empire Athletic,Fullerton,Jaqari Miles,30,30,689.0,23.0,57.1,2.35,2.42,11.87,12.17,8.15,4.01,2.961,36.8,31.0,3.9,6.7,2.9,0.1,3.7,True
9,Inland Empire Athletic,San Bernardino Valley,Jason Lee,25,26,734.0,29.4,70.3,2.15,2.42,11.02,11.51,6.41,5.1,3.01,18.5,15.5,10.8,11.0,4.0,0.1,3.7,True
10,Inland Empire Athletic,San Bernardino Valley,Khemanni Davis,26,26,751.0,28.9,71.9,2.72,2.76,10.7,11.2,7.87,3.33,3.008,23.0,19.7,4.4,8.7,2.8,0.4,1.9,True
11,South Coast-North,East Los Angeles,Daniel Michelini-Jackson,20,20,563.0,28.1,70.0,2.47,2.38,9.47,11.17,6.64,4.54,2.249,24.8,21.1,4.1,9.0,2.8,0.6,3.3,True
12,South Coast-North,East Los Angeles,Donjae Lindsey,20,20,468.0,23.4,58.2,2.33,2.62,9.0,10.7,5.98,4.72,1.803,26.6,22.4,5.1,7.7,3.4,0.4,4.3,True
13,WSC North,Allan Hancock,Trenten Lavender,19,25,448.0,23.6,43.9,2.28,2.09,12.78,10.69,5.83,4.86,1.698,27.3,26.3,7.2,10.2,2.2,0.5,5.6,True
14,South Coast-North,East Los Angeles,Esteban Mann,19,20,493.0,25.9,61.3,3.48,2.46,8.59,10.29,6.9,3.39,1.838,29.2,25.2,2.6,11.8,1.7,0.7,4.3,True
15,South Coast-North,Mt. San Antonio,Jaidyn Simpson,24,26,788.0,32.8,75.0,3.1,1.64,13.99,10.24,7.49,2.75,2.91,31.5,29.2,3.4,9.7,2.8,1.5,3.6,True
16,WSC South,Citrus,KJ Perry,30,30,754.0,25.1,62.1,2.79,2.35,10.01,10.19,8.51,1.69,2.77,31.9,26.2,5.2,4.6,3.3,0.5,3.8,True
17,South Coast-North,East Los Angeles,Denton Latimore,20,20,329.0,16.4,40.9,2.46,3.43,8.41,10.11,4.9,5.22,1.209,18.2,15.5,3.9,12.0,2.6,0.5,3.1,True
18,WSC South,Citrus,Amiri Meadows,30,30,711.0,23.7,58.5,2.41,2.88,9.68,9.86,4.8,5.07,2.541,13.1,10.8,6.5,6.7,4.9,0.5,3.9,True
19,South Coast-North,East Los Angeles,Kamren Williams,20,20,427.0,21.4,53.1,1.75,2.79,8.13,9.83,3.26,6.57,1.532,14.4,12.1,8.1,4.9,4.0,1.0,4.6,True
20,WSC South,Citrus,Blake Ballard,30,30,535.0,17.8,44.0,3.3,2.93,9.59,9.77,8.74,1.03,1.896,32.9,27.7,1.9,7.2,1.8,0.6,3.0,True
21,Pacific Coast Athletic,San Diego City,Cameron Marshall,22,22,355.0,16.1,39.9,2.26,3.1,9.09,9.25,4.73,4.52,1.204,25.8,23.3,5.1,3.5,2.5,0.3,4.8,True
22,Inland Empire Athletic,Chaffey,Jermaine Rogers,23,23,572.0,24.9,60.7,2.87,3.16,12.57,9.2,11.48,-2.27,1.906,29.2,25.9,0.6,7.5,2.0,0.3,1.1,True
23,Orange Empire Athletic,Fullerton,Addy G'Bye,28,30,763.0,27.2,63.3,2.48,3.23,8.81,9.1,6.11,2.99,2.57,24.6,20.5,2.3,8.2,1.6,0.2,1.2,True
24,WSC South,Citrus,Ryan Raad,30,30,403.0,13.4,33.2,2.66,3.43,8.87,9.05,6.33,2.72,1.342,23.6,19.6,4.1,8.8,2.5,0.6,2.8,True
25,Inland Empire Athletic,San Bernardino Valley,Darius Carr,25,26,761.0,30.4,72.8,2.78,2.53,8.12,8.62,7.21,1.4,2.452,34.5,29.0,5.3,7.0,2.7,0.5,4.8,True
26,Inland Empire Athletic,San Bernardino Valley,Benjamin Byrd,26,26,377.0,14.5,36.1,4.88,4.02,8.01,8.51,4.97,3.54,1.202,16.0,14.0,0.4,12.7,3.0,2.6,2.0,True
