conference,team,name,games,pos_class,pos_no_ht,height,p_pg,p_sg,p_sf,p_pf,p_c
Bay Valley,Alameda,Alexander Tanis,9,PG,PG,,87.7,10.8,1.3,0.0,0.1
Bay Valley,Alameda,Authman Ibrahim,28,CG,CG,,40.7,44.6,12.7,0.4,1.5
Bay Valley,Alameda,Brandon Harris,14,S-PF,S-PF,,0.3,0.4,25.8,73.2,0.3
Bay Valley,Alameda,Donquail Bishop,15,CG,CG,,29.1,52.7,15.0,0.9,2.2
Bay Valley,Alameda,Jackson Beieler,13,CG,CG,,46.5,51.4,1.7,0.0,0.4
Bay Valley,Alameda,Jaimen Williams,7,PG,PG,,97.5,2.3,0.1,0.0,0.0
Bay Valley,Alameda,Jerald Daniels,12,PG,PG,,93.0,7.0,0.0,0.0,0.0
Bay Valley,Alameda,Julian Taylor,28,CG,CG,,16.0,70.3,9.4,2.2,2.1
Bay Valley,Alameda,Khalil Ramsey,28,WG,WG,,8.9,36.7,34.4,8.1,11.9
Bay Valley,Alameda,Larry Ware,12,PF/C,PF/C,,1.3,15.6,25.5,3.8,53.9
Bay Valley,Alameda,Mar'ya Taylor,11,PF/C,PF/C,,7.6,24.0,2.2,0.8,65.4
Bay Valley,Alameda,Michael Woolridge,5,PG,PG,,94.1,5.7,0.1,0.0,0.0
Bay Valley,Alameda,Mutazz Whitehead,10,PG,PG,,99.4,0.4,0.2,0.0,0.0
Bay Valley,Alameda,Patrick Washington,28,CG,CG,,42.7,57.2,0.1,0.0,0.0
Bay Valley,Alameda,Savon Crawley,28,CG,CG,,48.8,48.6,2.2,0.0,0.4
Bay Valley,Alameda,Treyvon Watson,6,CG,CG,,40.8,55.4,3.3,0.0,0.4
Bay Valley,Contra Costa,Andrew Guiang,21,s-PG,s-PG,,50.8,41.9,5.8,0.2,1.3
Bay Valley,Contra Costa,Arwinder Singh-Bhullar,11,WF,WF,,0.2,0.5,76.9,22.0,0.3
Bay Valley,Contra Costa,Dan Brown,24,WF,WF,,0.1,0.4,57.9,41.1,0.6
Bay Valley,Contra Costa,DeVonte Ross,12,WF,WF,,2.6,20.7,48.8,23.9,4.0
Bay Valley,Contra Costa,Elijah Canales,25,CG,CG,,11.1,80.9,6.2,0.2,1.6
Bay Valley,Contra Costa,Elijah Sturgis,15,CG,CG,,40.1,39.3,18.5,0.9,1.2
Bay Valley,Contra Costa,Eric Jones,26,s-PG,s-PG,,55.0,45.0,0.0,0.0,0.0
Bay Valley,Contra Costa,Evan Thompson,26,CG,CG,,23.4,75.2,1.0,0.1,0.4
Bay Valley,Contra Costa,Isaiah Attles,26,CG,CG,,29.9,59.8,8.5,0.1,1.8
Bay Valley,Contra Costa,Rashon Wallace,26,S-PF,S-PF,,0.1,0.5,34.0,64.4,1.0
Bay Valley,Contra Costa,Zakius Boquet,26,WG,WG,,3.8,25.0,50.8,13.0,7.5
Bay Valley,Los Medanos,Carson Musgrove,18,PG,PG,,99.4,0.6,0.0,0.0,0.0
Bay Valley,Los Medanos,Charles Jones,27,PG,PG,,100.0,0.0,0.0,0.0,0.0
Bay Valley,Los Medanos,Elliot Abdullah,19,PG,PG,,100.0,0.0,0.0,0.0,0.0
Bay Valley,Los Medanos,Henry Sires,26,s-PG,s-PG,,55.7,43.4,0.4,0.0,0.4
Bay Valley,Los Medanos,Jacob Long,13,WG,WG,,28.9,41.7,20.1,1.8,7.5
Bay Valley,Los Medanos,Jared Martin,8,S-PF,S-PF,,0.2,0.8,41.7,53.7,3.6
Bay Valley,Los Medanos,Jaylen Malone,26,PG,PG,,100.0,0.0,0.0,0.0,0.0
Bay Valley,Los Medanos,Kalil Freeman,24,PG,PG,,100.0,0.0,0.0,0.0,0.0
Bay Valley,Los Medanos,Marcus Oducado,17,PG,PG,,98.3,1.7,0.0,0.0,0.0
Bay Valley,Los Medanos,Nnamdi Vixon,23,PG,PG,,100.0,0.0,0.0,0.0,0.0
Bay Valley,Los Medanos,Raazhel Watkins,24,PG,PG,,100.0,0.0,0.0,0.0,0.0
Bay Valley,Los Medanos,Ray Robinson,21,PG,PG,,99.3,0.7,0.0,0.0,0.0
Bay Valley,Los Medanos,Shane Landon,27,C,C,,0.0,0.0,0.0,0.0,100.0
Bay Valley,Los Medanos,Somto Boardman,23,s-PG,s-PG,,77.2,20.7,0.7,0.0,1.5
Bay Valley,Marin,Alfonso Murrie,27,WF,WF,,5.9,27.6,32.6,21.0,13.0
Bay Valley,Marin,Christopher Kress,24,s-PG,s-PG,,73.2,25.2,1.4,0.0,0.3
Bay Valley,Marin,Eric Mireri,27,s-PG,s-PG,,71.1,25.8,2.8,0.0,0.2
Bay Valley,Marin,Ethan Battistini,25,WF,WF,,0.5,0.9,69.5,28.3,0.9
Bay Valley,Marin,Franco Barefield,27,s-PG,s-PG,,63.5,29.4,6.8,0.1,0.1
Bay Valley,Marin,Jaime Banegas,27,WF,WF,,0.4,1.1,69.4,28.4,0.7
Bay Valley,Marin,Jalen Chandler,26,WG,WG,,12.5,47.5,30.3,3.1,6.6
Bay Valley,Marin,Joey Potts,27,C,C,,0.0,0.0,0.1,3.7,96.2
Bay Valley,Marin,Lane Young,17,s-PG,s-PG,,60.5,25.5,11.6,0.3,2.1
Bay Valley,Marin,Malik Ghiden,21,WG,WG,,17.0,31.8,41.4,6.5,3.2
Bay Valley,Marin,Rodwell Cutkelvin,21,s-PG,s-PG,,63.2,31.8,4.6,0.1,0.2
Bay Valley,Marin,Zamaria Odom,26,S-PF,S-PF,,1.1,9.2,23.7,34.6,31.5
Bay Valley,Mendocino,Bymnet Tecle,28,WG,WG,,12.4,58.9,18.2,1.4,9.2
Bay Valley,Mendocino,Cole Kinslow,28,WF,WF,,0.4,1.3,62.7,32.4,3.1
Bay Valley,Mendocino,D'Angelo Belton,21,WG,WG,,32.7,23.7,36.1,4.1,3.4
Bay Valley,Mendocino,Diego Reyes,28,s-PG,s-PG,,75.3,23.6,1.1,0.0,0.0
Bay Valley,Mendocino,Divon Davis-Boddie,28,s-PG,s-PG,,56.6,35.9,7.0,0.2,0.3
Bay Valley,Mendocino,Fred Bryant,25,CG,CG,,40.9,46.1,11.0,0.9,1.1
Bay Valley,Mendocino,Gabe Knight,28,WG,WG,,12.9,70.1,7.0,1.0,9.0
Bay Valley,Mendocino,Jared Strate,28,WG,WG,,12.1,55.9,15.2,6.5,10.3
Bay Valley,Mendocino,Kevin Deel,27,CG,CG,,46.8,48.6,3.6,0.1,0.9
Bay Valley,Mendocino,Landon Garcia-floyd,28,WG,WG,,16.9,30.6,45.3,6.0,1.3
