rank,conference,team,player,games,strict_team_games,minutes,mpg,min_pct,position_scale,creation_role,raw_bpm,bpm,obpm,dbpm,vorp_style,pts_per100,adj_pts_per100,ast_per100,reb_per100,stl_per100,blk_per100,to_per100,qualifies_minutes
1,Orange Empire Athletic,Fullerton,Lance Coleman II,26,26,819.0,31.5,78.7,3.66,1.52,12.62,14.18,10.58,3.59,4.038,35.3,30.7,3.9,13.8,1.1,0.5,3.5,True
2,WSC North,Cuesta,Joshua Wilson-Murry,19,19,560.0,29.5,73.7,2.71,2.0,18.28,13.25,9.68,3.57,2.603,36.0,32.6,3.9,14.7,4.7,1.0,3.4,True
3,WSC North,Allan Hancock,Mike Mensah,23,23,380.0,16.5,41.4,2.59,2.6,12.9,12.51,9.0,3.51,1.687,33.7,30.3,2.8,6.9,2.3,0.3,4.5,True
4,Inland Empire Athletic,San Bernardino Valley,Roman Silva,17,19,398.0,23.4,52.4,5.0,2.86,11.95,12.5,9.86,2.65,1.761,34.7,29.3,0.9,16.3,2.4,4.1,3.1,True
5,Inland Empire Athletic,San Bernardino Valley,Eric Hancik,19,19,507.0,26.7,66.8,2.85,2.73,11.13,11.69,9.87,1.82,2.117,24.9,20.6,4.3,8.8,2.3,1.1,2.8,True
6,Inland Empire Athletic,San Bernardino Valley,K'Lon Williams,19,19,452.0,23.8,59.5,3.06,2.98,10.75,11.31,8.51,2.8,1.835,23.4,19.6,3.6,10.2,2.3,1.2,1.4,True
7,Big Eight,Cosumnes River,Khari Hutt,24,24,566.0,23.6,58.0,2.19,1.18,15.94,11.21,6.33,4.88,2.243,32.9,31.2,8.3,7.1,3.9,1.3,5.2,True
8,Orange Empire Athletic,Fullerton,Ronne Readus,26,26,678.0,26.1,65.2,4.94,3.14,9.58,11.13,7.07,4.06,2.713,26.2,22.7,1.6,25.1,1.3,3.3,2.8,True
9,Inland Empire Athletic,San Bernardino Valley,Nathan Pendarvis,19,19,525.0,27.6,69.1,2.0,1.97,10.44,10.99,7.9,3.1,2.082,18.1,14.2,14.9,7.3,3.6,0.1,4.8,True
10,Big Eight,Cosumnes River,Marcus Robinson,24,24,619.0,25.8,63.5,2.2,1.0,15.61,10.88,5.87,5.01,2.392,28.5,27.1,9.0,11.4,3.3,0.3,4.2,True
11,WSC North,Allan Hancock,JT Riddick,16,23,283.0,17.7,30.9,5.0,3.49,11.23,10.85,4.68,6.17,1.112,26.3,23.3,1.0,14.9,1.4,8.8,4.3,True
12,Orange Empire Athletic,Fullerton,Dylan Banks,20,26,355.0,17.8,34.1,1.9,3.53,9.01,10.56,2.62,7.94,1.359,16.2,13.9,7.5,5.8,4.2,0.5,4.7,True
13,Orange Empire Athletic,Saddleback,J.J. Overton,19,23,525.0,27.6,56.8,3.37,2.12,10.51,10.38,5.12,5.26,1.971,31.7,26.2,6.4,14.1,2.8,1.7,5.4,True
14,Central Valley,Sequoias,Keshawn Gibbs,20,20,615.0,30.8,76.9,2.18,1.22,10.61,10.32,7.05,3.27,2.31,33.8,29.9,5.0,6.8,2.6,0.3,5.1,True
15,WSC South,Bakersfield,Shahadah Camp,21,21,644.0,30.7,76.2,2.74,1.0,15.6,10.21,8.38,1.83,2.382,34.5,32.6,5.0,7.2,2.4,0.5,3.9,True
16,Inland Empire Athletic,San Bernardino Valley,Brandon Thompson,17,19,349.0,20.5,46.0,2.22,3.41,9.09,9.65,6.32,3.33,1.241,16.9,13.8,6.5,5.1,3.2,0.4,2.8,True
17,WSC North,Allan Hancock,Glenn Jordan,23,23,615.0,26.7,67.1,2.19,1.86,9.99,9.61,7.11,2.49,2.183,24.7,21.7,6.5,4.6,2.0,0.0,3.2,True
18,Inland Empire Athletic,San Bernardino Valley,Damani Washington,19,19,484.0,25.5,63.7,2.91,2.44,8.93,9.49,7.13,2.36,1.698,32.0,26.5,4.8,7.4,3.3,0.6,5.0,True
19,Pacific Coast Athletic,Southwestern,Nathaniel Pearson,21,23,635.0,30.2,68.7,4.52,1.94,11.1,9.23,6.35,2.89,2.166,26.5,23.9,5.2,11.7,1.4,1.6,3.9,True
20,Pacific Coast Athletic,Southwestern,Marc Combs,23,23,382.0,16.6,41.4,2.31,3.32,11.09,9.22,3.72,5.5,1.302,25.2,22.7,3.2,10.0,5.4,0.1,5.1,True
21,Pacific Coast Athletic,Southwestern,Jordan Cooke,23,23,560.0,24.3,60.6,5.0,3.03,11.06,9.19,4.48,4.72,1.903,23.2,21.1,1.5,15.1,2.5,4.8,2.6,True
22,Orange Empire Athletic,Fullerton,Jailen Moore,26,26,728.0,28.0,70.0,2.3,2.94,7.62,9.17,5.98,3.19,2.478,22.3,19.4,2.3,3.0,1.3,0.2,1.9,True
23,Inland Empire Athletic,San Bernardino Valley,Cameron Butler,15,19,262.0,17.5,34.5,4.93,3.81,8.61,9.17,7.1,2.07,0.893,20.9,17.5,1.0,17.2,1.2,3.7,2.0,True
