conference,team,name,games,pos_class,pos_no_ht,height,p_pg,p_sg,p_sf,p_pf,p_c
Bay Valley,Alameda,Chiddy Golden,24,PF/C,PF/C,,0.4,4.1,8.6,51.3,35.5
Bay Valley,Alameda,DJ Ward,24,CG,CG,,24.5,71.8,1.6,0.4,1.8
Bay Valley,Alameda,Danyell Henderson,21,s-PG,s-PG,,54.3,43.3,2.2,0.0,0.2
Bay Valley,Alameda,Devin Rhoads,14,PF/C,PF/C,,0.3,3.5,0.4,92.6,3.2
Bay Valley,Alameda,Donte Nobels,24,s-PG,s-PG,,64.4,33.5,1.8,0.0,0.4
Bay Valley,Alameda,Edwardo Lugris,19,WF,WF,,1.3,2.4,75.1,19.0,2.2
Bay Valley,Alameda,Faheim Favyaz,22,PG,PG,,86.7,12.0,1.2,0.0,0.1
Bay Valley,Alameda,Joshua Hamilton,24,C,C,,0.0,0.0,0.0,2.9,97.1
Bay Valley,Alameda,Micheal Blackwell,6,WG,WG,,29.1,9.6,52.8,7.0,1.5
Bay Valley,Alameda,Micheal Garnette,13,WG,WG,,30.0,13.8,54.3,1.1,0.8
Bay Valley,Alameda,Muhammad Gilchrist,24,CG,CG,,40.2,46.3,11.7,0.7,1.2
Bay Valley,Alameda,RHYS Hohlensein,22,PG,PG,,100.0,0.0,0.0,0.0,0.0
Bay Valley,Alameda,Ranpreet Badyal,19,CG,CG,,38.6,29.2,25.5,1.7,5.1
Bay Valley,Contra Costa,Demond Washington,24,WG,WG,,17.2,36.1,35.1,3.2,8.4
Bay Valley,Contra Costa,Eric Jones,25,s-PG,s-PG,,69.1,30.8,0.1,0.0,0.0
Bay Valley,Contra Costa,Evan Thompson,25,s-PG,s-PG,,50.8,45.3,3.2,0.1,0.5
Bay Valley,Contra Costa,Isaiah Attles,25,s-PG,s-PG,,57.1,34.9,6.7,0.2,1.1
Bay Valley,Contra Costa,Jordan Strane,24,PF/C,PF/C,,0.0,0.1,11.0,88.1,0.9
Bay Valley,Contra Costa,Jovell Vance,25,CG,CG,,26.0,68.0,1.6,0.0,4.4
Bay Valley,Contra Costa,Karjaun Brown,6,WG,WG,,18.7,6.4,53.2,20.6,1.1
Bay Valley,Contra Costa,Kemare Wright,21,CG,CG,,18.1,77.7,3.9,0.2,0.1
Bay Valley,Contra Costa,Marquis Jones,13,S-PF,S-PF,,0.1,0.3,42.4,55.9,1.3
Bay Valley,Contra Costa,Matthew Murray,24,S-PF,S-PF,,0.5,2.4,12.4,71.8,12.9
Bay Valley,Contra Costa,Okwaas Muhammad,16,S-PF,S-PF,,1.4,6.1,40.2,47.3,4.9
Bay Valley,Contra Costa,Steve Evans,20,PG,PG,,99.6,0.2,0.2,0.0,0.0
Bay Valley,Contra Costa,Trevon Silas,24,PF/C,PF/C,,0.0,0.0,0.5,23.0,76.5
Bay Valley,Los Medanos,Andrew Hall,27,CG,CG,,14.8,82.9,1.4,0.1,0.8
Bay Valley,Los Medanos,Charles Jones,21,PF/C,PF/C,,0.1,1.7,17.3,41.7,39.2
Bay Valley,Los Medanos,Demauriaye Smith,26,CG,CG,,17.1,77.3,4.9,0.1,0.6
Bay Valley,Los Medanos,Donovan Pope,12,PG,PG,,98.0,1.7,0.2,0.0,0.0
Bay Valley,Los Medanos,Marcus Oducado,25,CG,CG,,40.8,55.1,3.4,0.0,0.7
Bay Valley,Los Medanos,Oshe White,22,WG,WG,,9.4,28.5,51.2,9.7,1.2
Bay Valley,Los Medanos,Paul Oha,10,C,C,,0.0,0.0,0.0,5.2,94.8
Bay Valley,Los Medanos,Quincey Smith,27,s-PG,s-PG,,53.1,39.2,6.4,0.6,0.7
Bay Valley,Los Medanos,Raazhel Watkins,26,s-PG,s-PG,,52.7,45.1,2.0,0.1,0.2
Bay Valley,Los Medanos,Randy Bell,20,WF,WF,,0.3,1.0,64.0,33.5,1.3
Bay Valley,Los Medanos,Ray Robinson,19,WF,WF,,0.6,1.2,49.0,48.1,1.1
Bay Valley,Los Medanos,Thomas McDonald,6,s-PG,s-PG,,84.5,14.8,0.4,0.0,0.3
Bay Valley,Marin,Carlton Coleman,12,s-PG,s-PG,,67.1,21.9,8.6,0.4,2.1
Bay Valley,Marin,Christopher Kress,24,s-PG,s-PG,,70.2,20.2,7.7,0.2,1.6
Bay Valley,Marin,Derek Morgan,23,PF/C,PF/C,,0.0,0.0,0.0,96.8,3.1
Bay Valley,Marin,Eric Mireri,24,WG,WG,,19.5,54.5,22.6,1.0,2.4
Bay Valley,Marin,Garrick Sherrod,24,CG,CG,,30.8,61.4,7.1,0.2,0.4
Bay Valley,Marin,Jack Soldavini,23,s-PG,s-PG,,72.6,12.8,14.3,0.3,0.1
Bay Valley,Marin,Jaime Banegas,24,WG,WG,,3.1,14.8,70.0,8.2,3.9
Bay Valley,Marin,Joey Potts,23,C,C,,0.0,0.1,1.2,12.3,86.3
Bay Valley,Marin,Kevin Kahriman,23,WF,WF,,0.3,2.0,72.3,21.1,4.5
Bay Valley,Marin,RJ Cutkelvin,24,CG,CG,,37.9,52.8,9.0,0.2,0.2
Bay Valley,Mendocino,Darius Traylor,27,S-PF,S-PF,,2.6,18.4,17.7,52.2,9.1
Bay Valley,Mendocino,Dashaunte Woods,19,CG,CG,71,48.2,51.7,0.2,0.0,0.0
Bay Valley,Mendocino,Diegoe Reyes,26,s-PG,s-PG,,74.2,24.6,1.0,0.1,0.1
Bay Valley,Mendocino,Gabriel Howard,27,PG,PG,,98.5,1.5,0.0,0.0,0.0
Bay Valley,Mendocino,Isaiah Halstead,21,CG,CG,,38.3,48.6,8.2,0.5,4.4
Bay Valley,Mendocino,Jamralin Jackson,26,CG,CG,,8.3,88.3,0.3,1.5,1.5
Bay Valley,Mendocino,Jared Strate,23,CG,CG,,43.6,47.7,5.1,0.8,2.7
Bay Valley,Mendocino,Lawrene Bryson,27,C,C,,0.2,4.6,1.7,5.0,88.6
Bay Valley,Mendocino,Malik Bourne,12,s-PG,s-PG,,65.3,17.9,13.0,1.5,2.3
Bay Valley,Mendocino,Nate Hale,26,CG,CG,,21.0,60.1,9.1,2.7,7.0
Bay Valley,Mendocino,Quentin Davis,26,CG,CG,,34.6,27.3,31.2,3.2,3.8
Bay Valley,Merritt,Deon Steward,28,C,C,,0.0,0.4,3.1,10.9,85.6
Bay Valley,Merritt,Dereke Bell,14,S-PF,S-PF,,0.1,0.3,28.0,67.5,4.1
Bay Valley,Merritt,Isiah Davis,24,WG,WG,,12.2,68.3,13.6,4.9,1.0
Bay Valley,Merritt,Jahn Chensee,27,CG,CG,,28.3,55.8,13.6,0.4,1.9
Bay Valley,Merritt,John Edmond,22,WG,WG,,24.4,20.2,54.6,0.5,0.4
Bay Valley,Merritt,Karim Helalil,28,CG,CG,,38.6,51.0,10.2,0.2,0.1
Bay Valley,Merritt,Lamont Banks,28,WG,WG,,13.3,25.3,53.3,1.5,6.7
Bay Valley,Merritt,Obie Richard,28,s-PG,PG,78,70.1,29.7,0.2,0.0,0.0
Bay Valley,Merritt,Sean Spikes,28,CG,CG,,48.0,44.3,6.5,0.1,1.2
Bay Valley,Merritt,Tommy Faustka,28,WF,WF,,2.1,18.9,45.6,10.4,23.0
Bay Valley,Merritt,Tyler Hillman,14,CG,CG,,28.8,63.4,5.5,0.1,2.2
Bay Valley,Napa Valley,Adopo Amancho,26,WG,WG,,14.0,60.3,7.9,11.8,6.0
Bay Valley,Napa Valley,Akeem Dear,25,CG,CG,,25.2,72.0,2.6,0.2,0.1
Bay Valley,Napa Valley,Armani Mills,27,s-PG,s-PG,,52.2,43.7,4.1,0.0,0.1
Bay Valley,Napa Valley,Calvin Johnson,26,S-PF,S-PF,,0.0,0.2,23.7,74.5,1.5
Bay Valley,Napa Valley,DeAundre Twilly,6,WG,WG,,2.3,19.9,66.8,8.4,2.6
Bay Valley,Napa Valley,James Ned,26,WF,WF,,4.8,16.8,48.7,18.8,10.8
Bay Valley,Napa Valley,Jayden Hampton,24,s-PG,s-PG,,68.0,31.7,0.3,0.0,0.0
Bay Valley,Napa Valley,Joe Fons,25,WG,WG,,1.7,33.2,33.0,11.2,21.0
Bay Valley,Napa Valley,Malcon Bracy,25,PG,PG,,88.2,10.7,0.9,0.0,0.1
Bay Valley,Napa Valley,Nick Pfann,12,WG,WG,,23.6,33.9,34.1,3.0,5.4
Bay Valley,Napa Valley,Sasha French,27,C,C,,0.0,0.1,1.2,3.2,95.4
Bay Valley,Napa Valley,Sayvon Abdur-Rahman,12,S-PF,S-PF,,0.3,3.6,26.6,64.3,5.2
Bay Valley,Napa Valley,Tom Salsman,27,CG,CG,,48.6,38.5,11.8,0.2,0.9
