conference,team,name,games,pos_class,pos_no_ht,height,p_pg,p_sg,p_sf,p_pf,p_c
Bay Valley,Alameda,E'marrious Vickers,24,WG,WG,,7.7,43.9,4.1,1.3,43.0
Bay Valley,Alameda,Humza Alqublani,26,CG,CG,,34.0,29.0,14.6,10.6,11.8
Bay Valley,Alameda,Jacoby Simon,12,CG,CG,,25.3,61.3,9.8,1.1,2.4
Bay Valley,Alameda,Jase Brock,24,CG,CG,,18.9,66.0,5.5,1.3,8.4
Bay Valley,Alameda,Jordan Washington,24,WG,WG,,10.7,47.9,9.3,5.8,26.3
Bay Valley,Alameda,Joshua Sanders,25,PG,PG,,97.1,2.9,0.1,0.0,0.0
Bay Valley,Alameda,Michael Flores Quan,26,s-PG,s-PG,,65.0,33.0,1.4,0.1,0.5
Bay Valley,Alameda,Tayvion Fisher-Peavey,6,WG,WG,,18.5,47.0,16.7,7.1,10.6
Bay Valley,Alameda,Treyvon Watson,7,WG,WG,,21.7,52.0,17.9,2.0,6.4
Bay Valley,Contra Costa,Broderick Payne,6,PF/C,PF/C,,0.9,24.1,17.6,8.5,48.9
Bay Valley,Contra Costa,Donovan Sanor,22,CG,CG,,32.8,56.6,6.8,0.4,3.5
Bay Valley,Contra Costa,Jakarri Lindsey,27,CG,CG,,46.7,49.1,3.4,0.3,0.5
Bay Valley,Contra Costa,Jalen Zeno,26,WF,WF,,1.4,10.0,47.8,25.4,15.4
Bay Valley,Contra Costa,John Wade II,26,CG,CG,,7.3,89.7,0.2,0.1,2.7
Bay Valley,Contra Costa,Jordan Rosales,20,s-PG,s-PG,,82.9,15.7,1.2,0.0,0.2
Bay Valley,Contra Costa,Jordyn Lilley,26,CG,CG,,40.4,47.1,8.3,0.4,3.8
Bay Valley,Contra Costa,Julian Johnson,8,s-PG,s-PG,,56.0,32.0,10.1,0.5,1.4
Bay Valley,Contra Costa,Kareem Howze,22,WF,WF,,0.3,2.1,56.0,37.9,3.7
Bay Valley,Contra Costa,Landen Manuel,19,s-PG,s-PG,,74.2,24.2,1.6,0.0,0.1
Bay Valley,Contra Costa,Miles Lewis,27,CG,CG,,28.5,48.6,16.8,1.3,4.7
Bay Valley,Contra Costa,Prime Payton,15,CG,CG,,37.5,35.5,24.3,1.1,1.6
Bay Valley,Contra Costa,Seneca Willoughby,27,s-PG,s-PG,,70.3,29.6,0.0,0.0,0.0
Bay Valley,Contra Costa,Vashon Ford,27,S-PF,S-PF,,0.0,0.2,17.1,82.0,0.7
