rank,conference,team,player,games,strict_team_games,minutes,mpg,min_pct,position_scale,creation_role,raw_bpm,bpm,obpm,dbpm,vorp_style,pts_per100,adj_pts_per100,ast_per100,reb_per100,stl_per100,blk_per100,to_per100,qualifies_minutes
49,South Coast-North,Mt. San Antonio,Mikah Gardner,24,25,505.0,21.0,50.3,2.63,3.33,6.41,6.22,4.02,2.2,1.261,24.2,20.7,2.0,9.2,1.5,1.3,4.1,True
50,Inland Empire Athletic,San Bernardino Valley,Michael Miller,22,22,617.0,28.0,69.2,2.76,2.53,10.17,6.19,1.52,4.67,1.52,27.3,26.5,4.2,9.1,4.1,0.5,3.7,True
51,Inland Empire Athletic,Chaffey,Jacob Barcelo,22,22,324.0,14.7,36.4,2.49,3.53,7.13,6.16,4.54,1.62,0.797,16.2,14.0,4.2,5.9,3.0,0.3,2.9,True
52,South Coast-North,Mt. San Antonio,Jerimiyah Smith,25,25,512.0,20.5,51.0,2.95,2.86,6.32,6.12,3.09,3.03,1.263,26.1,22.5,3.2,10.1,2.4,0.2,4.6,True
53,WSC South,Citrus,Rudy Suarez,27,27,697.0,25.8,63.7,2.0,3.09,8.48,6.07,1.37,4.7,1.691,16.7,15.7,3.6,4.1,3.8,0.0,2.3,True
54,Orange Empire Athletic,Irvine Valley,Luke Farrington,20,20,648.0,32.4,80.5,2.33,2.05,11.55,6.05,4.06,1.99,1.58,20.3,19.0,4.0,7.5,1.5,0.9,2.0,True
55,Inland Empire Athletic,Chaffey,Elijah Goad,22,22,362.0,16.5,40.7,2.72,3.7,6.92,5.95,6.41,-0.46,0.868,19.5,16.9,0.9,5.0,2.1,0.0,1.0,True
56,Central Valley,Sequoias,Jaden Haire,27,27,838.0,31.0,77.3,4.45,3.07,6.65,5.87,3.35,2.52,2.001,21.0,19.1,2.3,15.6,1.1,0.9,3.2,True
57,South Coast-North,East Los Angeles,Jalai Okeith,23,23,413.0,18.0,44.8,2.22,3.18,8.47,5.76,4.67,1.09,0.976,20.4,17.9,4.2,8.0,3.0,0.3,2.3,True
58,WSC North,Allan Hancock,Noah Haaland,25,26,365.0,14.6,34.5,3.68,3.41,6.63,5.76,1.95,3.81,0.847,28.6,25.7,1.6,13.1,1.9,2.0,5.6,True
59,Orange Empire Athletic,Orange Coast,Sam Hunter,15,28,465.0,31.0,41.4,2.96,2.2,15.65,5.7,4.29,1.41,1.088,34.5,35.2,3.8,8.3,2.3,1.1,4.2,True
60,Central Valley,Sequoias,Davis White,26,27,553.0,21.3,51.0,2.05,3.9,6.45,5.67,0.82,4.85,1.288,15.6,14.1,2.4,7.8,1.8,0.9,2.5,True
61,South Coast-South,Cerritos,Eric Clark,24,25,394.0,16.4,39.4,3.69,3.27,9.75,5.63,4.88,0.75,0.916,29.0,27.5,1.8,14.8,2.1,0.4,3.9,True
62,Pacific Coast Athletic,San Diego City,Dillon Cubit,24,25,434.0,18.1,41.6,4.29,4.13,4.64,5.39,3.45,1.93,0.936,18.2,15.1,0.8,10.0,1.2,2.9,2.7,True
63,Pacific Coast Athletic,San Diego City,Kenny Gonzalez,23,25,409.0,17.8,39.2,1.96,4.07,4.61,5.35,1.63,3.73,0.878,10.5,8.2,5.2,4.1,3.3,0.4,2.3,True
64,WSC South,Citrus,Grant Martin,27,27,472.0,17.5,43.1,3.28,3.67,7.74,5.33,0.03,5.3,1.04,15.4,14.5,3.0,13.3,3.5,1.8,4.9,True
65,South Coast-North,LA Trade Tech,Devon Jainlett,17,18,402.0,23.6,55.5,3.1,2.76,12.06,5.27,4.78,0.49,0.886,24.3,22.7,2.4,11.2,2.5,1.7,2.3,True
66,WSC North,Allan Hancock,Jeremyah Aquino,26,26,467.0,18.0,44.1,1.68,3.4,6.12,5.24,0.43,4.81,1.013,17.5,15.4,4.7,4.5,4.0,0.0,5.2,True
67,Inland Empire Athletic,San Bernardino Valley,Sylis Gray,19,22,506.0,26.6,56.7,2.68,3.25,9.17,5.19,1.54,3.65,1.094,21.1,20.5,3.8,6.0,2.5,1.5,2.7,True
68,Orange Empire Athletic,Santiago Canyon,Joey Longo,25,25,751.0,30.0,74.8,2.78,3.38,8.28,5.17,3.81,1.36,1.636,13.2,11.1,4.4,10.1,3.0,0.6,1.8,True
69,WSC North,Ventura,Caleb Gilbert,22,22,661.0,30.0,75.1,5.0,2.11,8.81,5.17,4.43,0.74,1.444,24.8,22.8,2.5,15.1,1.6,1.8,3.3,True
70,Orange Empire Athletic,Santiago Canyon,Isaiah Arthurton,24,25,552.0,23.0,55.0,2.27,3.05,8.25,5.14,4.82,0.32,1.197,14.4,12.4,7.2,6.8,1.3,0.5,2.1,True
71,South Coast-North,East Los Angeles,Shemar Morrow,21,23,394.0,18.8,42.8,2.34,2.85,7.85,5.14,2.4,2.74,0.856,21.1,18.6,6.9,5.9,3.8,0.9,4.6,True
72,Orange Empire Athletic,Saddleback,James Burries,25,26,736.0,29.4,70.3,3.35,1.48,11.77,5.12,3.43,1.69,1.587,32.8,30.9,3.8,12.3,2.5,1.1,5.7,True
73,South Coast-North,Pasadena City,Myles Watkins,26,26,864.0,33.2,83.1,2.88,2.03,11.18,5.06,4.19,0.87,1.859,30.1,27.9,4.5,7.7,3.1,0.8,3.8,True
74,South Coast-North,East Los Angeles,Dylan Godfrey,23,23,511.0,22.2,55.5,4.23,2.85,7.74,5.03,6.38,-1.35,1.094,27.3,24.3,1.5,11.1,1.7,0.7,3.6,True
75,South Coast-South,Cerritos,Taeo Thomas,23,25,572.0,24.9,57.2,2.73,2.94,9.11,4.99,2.86,2.13,1.218,23.3,21.9,4.4,9.7,2.8,1.1,3.4,True
76,South Coast-North,Pasadena City,Deen Abdur-Rahmann,26,26,821.0,31.6,78.9,2.86,2.5,10.94,4.82,4.38,0.44,1.707,23.3,21.9,2.9,8.7,2.5,0.5,3.5,True
77,Orange Empire Athletic,Santiago Canyon,Chico Lopez,25,25,470.0,18.8,46.8,3.96,3.37,7.92,4.81,4.44,0.37,0.972,26.7,23.1,3.6,10.2,1.5,2.2,3.6,True
78,WSC South,Santa Monica,Elijah Scranton,24,25,637.0,26.5,63.1,4.42,2.43,11.1,4.8,4.85,-0.04,1.31,26.0,25.2,2.4,20.1,3.1,1.3,3.3,True
79,South Coast-North,East Los Angeles,Gregory Melvin,23,23,554.0,24.1,60.1,3.5,2.98,7.51,4.8,4.31,0.49,1.146,22.0,19.2,3.3,12.2,3.1,1.1,3.6,True
80,Inland Empire Athletic,San Bernardino Valley,Kenyani Lee,21,22,331.0,15.8,37.1,2.86,3.58,8.77,4.8,-2.03,6.82,0.677,17.6,17.2,4.5,6.6,4.8,0.2,3.6,True
81,WSC South,Citrus,Brandon Suber,27,27,597.0,22.1,54.5,3.61,2.9,7.04,4.62,1.15,3.47,1.189,21.6,20.4,3.7,9.6,2.1,0.4,4.1,True
82,South Coast-South,Cerritos,Darron Henry,24,25,622.0,25.9,62.2,1.96,2.3,8.73,4.61,3.46,1.15,1.253,20.4,19.2,7.3,3.8,2.8,0.0,3.8,True
83,Pacific Coast Athletic,San Diego City,Dexter Stratton,25,25,465.0,18.6,44.5,4.02,3.9,3.84,4.59,4.68,-0.09,0.895,24.6,20.2,1.9,14.5,1.0,0.0,3.1,True
84,South Coast-South,Cerritos,Miles Ceballos,25,25,695.0,27.8,69.5,2.32,1.89,8.65,4.53,3.36,1.18,1.383,19.5,18.3,8.8,11.3,1.4,0.6,3.9,True
85,WSC South,Antelope Valley,Tre Hawkins,24,24,553.0,23.0,56.7,2.61,2.4,11.74,4.48,4.25,0.22,1.074,28.8,26.4,3.9,7.9,4.2,0.8,4.6,True
86,WSC North,Moorpark,Kenji Cooper,25,25,632.0,25.3,62.3,2.72,3.6,7.13,4.47,3.08,1.38,1.228,19.3,17.2,2.1,7.9,1.7,1.0,2.2,True
87,Pacific Coast Athletic,Palomar,Spivey Word,20,20,710.0,35.5,87.8,2.74,1.0,10.02,4.44,5.6,-1.16,1.379,34.8,31.6,5.0,5.5,2.9,0.4,5.2,True
88,South Coast-North,Pasadena City,Dylan Swillis,25,26,695.0,27.8,66.8,4.87,3.35,10.52,4.41,3.69,0.72,1.357,23.7,22.1,1.9,13.6,3.5,1.7,2.8,True
89,South Coast-North,Mt. San Antonio,Elijah Cirilo,24,25,538.0,22.4,53.6,2.21,3.04,4.44,4.24,1.78,2.47,1.021,14.7,12.6,4.6,4.6,1.5,0.5,3.4,True
90,South Coast-North,LA Trade Tech,Jayden Brown,15,18,243.0,16.2,33.6,2.3,3.06,10.97,4.18,2.69,1.49,0.455,22.3,20.8,6.0,4.8,3.2,0.2,2.8,True
91,WSC South,West LA,Isaiah Daniel,25,28,490.0,19.6,42.3,2.44,2.91,5.27,4.17,1.12,3.05,0.891,22.2,19.7,6.3,7.4,2.4,0.1,5.7,True
92,South Coast-North,Pasadena City,Jalen Vazquez,26,26,815.0,31.3,78.4,2.1,2.24,10.25,4.13,2.13,2.0,1.524,13.8,12.8,8.9,6.8,3.4,0.5,3.6,True
93,Inland Empire Athletic,San Bernardino Valley,Benjamin Byrd,22,22,334.0,15.2,37.4,4.76,3.88,7.96,3.99,0.92,3.06,0.601,14.9,14.5,1.3,11.7,1.4,1.8,1.4,True
94,South Coast-South,Cerritos,Dillon Botts,25,25,646.0,25.8,64.6,2.53,2.76,8.1,3.98,2.98,1.0,1.177,19.2,18.2,3.7,6.2,2.5,0.3,3.7,True
95,WSC South,Bakersfield,Erik Gallardo,21,24,296.0,14.1,30.7,3.98,3.47,9.0,3.94,2.1,1.83,0.533,19.0,18.6,2.4,15.1,1.1,0.9,2.2,True
96,South Coast-North,Mt. San Antonio,Jon McCullough,23,25,439.0,19.1,43.7,2.07,2.93,4.12,3.93,0.88,3.05,0.79,19.9,17.2,5.7,6.4,2.6,0.5,7.1,True
97,WSC South,Antelope Valley,Malik Larane,24,24,553.0,23.0,56.7,2.75,2.11,11.18,3.91,4.28,-0.37,0.981,28.2,25.9,5.4,12.1,2.6,0.8,4.4,True
98,WSC North,Ventura,Caleb Geisendorfer,17,22,271.0,15.9,30.8,3.67,3.2,7.55,3.91,3.55,0.36,0.488,30.6,28.4,1.2,18.6,0.8,0.8,5.3,True
99,WSC North,Moorpark,Jack Benyshek,24,25,776.0,32.3,76.5,3.24,1.88,6.56,3.89,3.37,0.52,1.374,28.8,26.0,4.2,6.0,1.6,0.0,4.7,True
100,WSC North,Ventura,Vernon Henry,17,22,348.0,20.5,39.5,2.15,2.48,7.52,3.88,1.52,2.36,0.623,19.6,17.9,9.2,6.5,2.5,0.0,4.9,True
101,Orange Empire Athletic,Cypress,Mark Onyejekwe,25,25,782.0,31.3,77.4,2.82,1.74,10.64,3.83,-0.17,4.0,1.374,21.3,21.6,3.7,9.1,3.3,0.8,3.5,True
102,South Coast-North,East Los Angeles,Hassan Hughey,23,23,380.0,16.5,41.2,1.59,2.85,6.52,3.81,2.85,0.95,0.672,6.6,5.5,12.4,3.9,2.5,0.0,3.5,True
103,WSC North,Moorpark,Jordan Torres,24,25,392.0,16.3,38.7,1.87,3.55,6.44,3.77,-0.62,4.39,0.68,13.6,12.1,7.0,8.2,4.2,0.1,6.1,True
104,South Coast-South,Long Beach,Brandon Cerda,24,24,858.0,35.8,88.4,2.22,1.0,11.53,3.68,5.69,-2.02,1.469,28.3,27.1,6.8,5.3,2.6,0.3,4.2,True
105,WSC South,Bakersfield,Tyler Silva,24,24,698.0,29.1,72.3,2.16,2.0,8.73,3.66,1.87,1.8,1.199,21.1,20.7,5.3,7.5,2.2,0.5,3.5,True
106,WSC South,Citrus,Myles Blackman,26,27,364.0,14.0,33.2,4.04,3.95,6.06,3.65,1.05,2.59,0.618,20.3,18.9,2.1,9.5,1.2,1.8,1.7,True
107,South Coast-South,LA Harbor,Raymond Sims,21,21,321.0,15.3,38.0,3.2,3.24,9.05,3.58,3.06,0.52,0.544,29.4,28.4,0.7,7.1,1.5,0.8,3.1,True
108,WSC North,Allan Hancock,Jaden Pena,26,26,327.0,12.6,30.9,4.26,3.92,4.32,3.44,2.05,1.4,0.533,22.1,19.2,2.3,19.5,1.6,1.2,5.9,True
109,Orange Empire Athletic,Irvine Valley,Ammon Allan,20,20,346.0,17.3,43.0,2.38,3.12,8.72,3.21,0.11,3.11,0.547,22.3,20.6,8.0,11.2,2.0,0.7,5.1,True
110,South Coast-North,Pasadena City,Shant Chenorhavorian,26,26,782.0,30.1,75.2,2.34,2.85,9.32,3.2,2.41,0.79,1.24,21.2,19.5,5.8,7.7,3.2,0.2,3.4,True
111,Orange Empire Athletic,Irvine Valley,Jesse Stines,20,20,659.0,33.0,81.9,5.0,2.34,8.68,3.18,1.82,1.35,1.034,26.0,23.9,3.4,13.7,1.6,2.0,4.7,True
112,South Coast-North,LA Trade Tech,Jessiah Pierre-Johnson,18,18,232.0,12.9,32.0,3.12,3.25,9.97,3.18,3.9,-0.72,0.364,24.6,22.8,4.8,12.5,2.9,0.0,5.2,True
113,Inland Empire Athletic,San Bernardino Valley,Malachi Owens,19,22,422.0,22.2,47.3,3.06,3.38,7.04,3.06,-0.8,3.86,0.643,23.3,22.7,2.3,8.0,2.5,1.8,5.2,True
114,South Coast-North,Mt. San Antonio,Ernest Love,25,25,467.0,18.7,46.5,2.22,3.71,3.23,3.04,1.44,1.6,0.715,18.6,15.9,1.6,3.9,1.5,0.3,2.6,True
115,WSC South,West LA,Daniel Cooper,28,28,548.0,19.6,47.3,2.26,3.49,4.09,3.0,0.58,2.42,0.807,17.8,15.7,3.5,5.9,2.1,0.1,3.3,True
116,Orange Empire Athletic,Saddleback,John McFadden,26,26,818.0,31.5,78.1,3.69,2.26,9.62,2.97,0.38,2.59,1.231,25.7,24.1,3.5,16.2,3.6,1.5,4.9,True
117,Orange Empire Athletic,Santiago Canyon,Damien Parker,20,25,547.0,27.4,54.5,2.79,3.09,6.01,2.9,3.0,-0.1,0.814,20.9,17.9,6.5,7.3,2.0,0.0,4.3,True
118,WSC South,Glendale,Powell Mousaian,25,28,865.0,34.6,77.0,3.73,2.26,8.61,2.88,4.08,-1.2,1.285,21.8,20.6,3.4,12.3,1.3,0.1,3.1,True
119,South Coast-South,LA Harbor,Christian Martinez,19,21,477.0,25.1,56.5,1.84,2.26,8.31,2.84,-1.29,4.13,0.7,14.4,13.8,8.1,7.0,4.1,0.1,4.3,True
120,WSC South,Bakersfield,Kemonte Jackson,23,24,531.0,23.1,55.0,2.92,3.02,7.9,2.83,1.58,1.26,0.778,18.2,17.8,2.9,10.7,1.3,0.5,2.6,True
121,WSC South,Bakersfield,Terrin Dickey,15,24,331.0,22.1,34.3,4.09,3.31,7.83,2.77,1.24,1.53,0.478,23.2,22.7,2.3,14.8,2.3,0.0,3.8,True
122,WSC South,Bakersfield,Elijah Williams,18,24,515.0,28.6,53.4,4.42,2.78,7.82,2.76,1.09,1.67,0.743,22.2,21.8,3.5,13.6,1.7,1.4,4.5,True
123,WSC North,Ventura,Carter Alexander,18,22,512.0,28.4,58.2,2.57,2.76,6.38,2.74,2.68,0.06,0.739,22.3,20.6,1.9,5.2,1.6,0.1,3.5,True
124,South Coast-North,East Los Angeles,Javion Langston,23,23,363.0,15.8,39.4,3.17,3.47,5.45,2.74,1.25,1.49,0.524,14.6,12.9,3.5,9.9,2.6,1.6,5.0,True
125,Pacific Coast Athletic,Palomar,Thomas Marcus,11,20,383.0,34.8,47.3,2.78,2.71,8.29,2.71,2.88,-0.17,0.544,26.0,23.6,6.5,10.5,2.3,0.9,6.2,True
126,WSC South,Bakersfield,Malik Petty,24,24,455.0,19.0,47.1,3.23,2.85,7.74,2.68,-0.07,2.75,0.645,26.9,26.4,4.0,14.0,3.8,0.7,6.6,True
127,WSC South,Glendale,Karson Peffer,24,28,623.0,26.0,55.5,3.25,2.7,8.38,2.65,2.87,-0.22,0.881,28.7,27.1,3.7,14.5,0.9,1.1,5.1,True
128,WSC South,Glendale,Abiel Pearl,24,28,579.0,24.1,51.6,3.49,3.6,8.34,2.61,2.17,0.44,0.813,19.3,18.2,1.9,9.1,1.7,1.3,2.0,True
129,WSC North,Allan Hancock,Jaren Johnson,24,26,525.0,21.9,49.6,2.36,3.73,3.45,2.57,-1.19,3.76,0.718,6.7,5.8,4.7,8.7,1.3,0.9,4.1,True
130,Orange Empire Athletic,Santiago Canyon,Eli Arthurton,24,25,599.0,25.0,59.6,2.74,3.16,5.54,2.43,3.29,-0.87,0.805,21.2,18.3,4.0,5.2,2.1,0.0,4.4,True
131,South Coast-South,Long Beach,Travin Thompson,23,24,459.0,20.0,47.3,4.67,3.96,9.91,2.05,3.23,-1.18,0.561,13.1,12.5,2.2,16.2,2.0,2.2,1.1,True
132,South Coast-South,LA Harbor,Chase Nelson,21,21,451.0,21.5,53.4,3.1,3.04,7.5,2.03,-0.04,2.08,0.552,17.8,17.2,2.1,8.3,2.5,0.0,2.7,True
133,South Coast-South,Cerritos,Everett May,21,25,589.0,28.0,58.9,2.67,3.59,6.01,1.89,2.34,-0.45,0.698,19.6,18.3,2.2,7.3,1.1,1.0,2.3,True
134,South Coast-North,Pasadena City,Kaiden Fine,23,26,325.0,14.1,31.2,2.86,4.07,7.93,1.82,1.68,0.14,0.378,19.9,18.6,4.0,7.8,1.9,0.3,5.1,True
135,South Coast-North,LA Trade Tech,Jerome Smith,18,18,311.0,17.3,42.9,2.37,2.77,8.54,1.75,2.63,-0.88,0.353,20.7,19.3,6.5,4.8,2.2,0.2,5.1,True
136,Orange Empire Athletic,Saddleback,Andre Speight,24,26,633.0,26.4,60.5,2.47,2.49,8.39,1.74,1.25,0.49,0.717,23.2,21.8,5.2,3.9,2.1,0.4,3.9,True
137,WSC South,Glendale,Tyson Jackson,28,28,926.0,33.1,82.5,2.53,1.56,7.4,1.67,3.38,-1.71,1.034,31.0,29.2,3.5,5.7,1.7,0.3,5.1,True
138,Orange Empire Athletic,Cypress,Luke Washington,24,25,317.0,13.2,31.4,3.93,3.52,8.44,1.63,-2.11,3.74,0.347,19.0,19.3,4.3,11.8,1.5,2.1,3.9,True
