rank,conference,team,player,games,strict_team_games,minutes,mpg,min_pct,position_scale,creation_role,raw_bpm,bpm,obpm,dbpm,vorp_style,pts_per100,adj_pts_per100,ast_per100,reb_per100,stl_per100,blk_per100,to_per100,qualifies_minutes
1,WSC South,West LA,CJ Hardy,28,28,999.0,35.7,86.2,2.38,1.0,15.11,14.02,8.75,5.27,4.712,31.4,28.5,7.1,7.7,3.6,0.4,4.2,True
2,Orange Empire Athletic,Fullerton,Christian Watson,31,31,760.0,24.5,61.1,3.74,2.17,12.69,13.67,6.49,7.18,3.618,25.9,21.8,7.1,11.6,3.7,2.7,4.3,True
3,Inland Empire Athletic,Chaffey,Marcus Green,22,22,442.0,20.1,49.7,3.07,2.53,14.16,13.2,10.83,2.36,2.024,37.3,32.6,2.8,8.6,3.7,1.2,2.5,True
4,Pacific Coast Athletic,San Diego City,KJay Bradley,25,25,797.0,31.9,76.4,2.22,1.31,12.19,12.93,9.33,3.6,3.476,29.0,23.9,9.0,6.2,4.2,0.2,4.7,True
5,WSC North,Allan Hancock,Mylo Santos,26,26,781.0,30.0,73.7,2.79,1.54,13.32,12.44,8.12,4.32,3.376,33.6,30.1,2.9,11.9,3.3,0.7,4.6,True
6,Inland Empire Athletic,Chaffey,Brody Davis,22,22,511.0,23.2,57.4,5.0,2.42,13.04,12.07,11.16,0.92,2.167,28.0,24.6,3.8,14.0,2.4,1.6,2.4,True
7,Inland Empire Athletic,Chaffey,Nate Simon,22,22,555.0,25.2,62.3,2.42,2.47,12.54,11.57,8.46,3.11,2.27,23.2,19.9,6.2,4.9,4.7,0.4,2.0,True
8,Pacific Coast Athletic,San Diego City,Alex Crawford,24,25,680.0,28.3,65.1,5.0,2.47,10.76,11.51,8.0,3.51,2.683,27.9,23.9,3.0,11.4,2.4,2.9,4.3,True
9,Pacific Coast Athletic,San Diego City,Al Green,25,25,749.0,30.0,71.8,2.51,2.39,10.7,11.44,7.79,3.65,2.941,26.4,22.1,4.5,5.5,3.9,0.7,3.5,True
10,South Coast-North,Mt. San Antonio,Nick Hopkins,23,25,761.0,33.1,75.8,4.4,1.24,11.39,11.2,8.29,2.91,3.051,32.5,28.3,3.4,14.4,2.5,0.9,4.5,True
11,Central Valley,Sequoias,Jose Cuello,26,27,834.0,32.1,76.9,2.23,1.6,11.88,11.1,6.5,4.6,3.316,35.5,32.2,5.7,9.1,2.9,0.4,4.8,True
12,Pacific Coast Athletic,San Diego City,Keavie Love,25,25,564.0,22.6,54.0,2.5,3.07,10.1,10.85,7.49,3.36,2.117,26.1,22.1,3.1,9.8,3.3,0.2,3.5,True
13,Orange Empire Athletic,Fullerton,Jeremiah Davis,27,31,736.0,27.3,59.1,2.94,2.3,9.6,10.58,6.51,4.08,2.813,29.1,24.9,4.3,8.3,2.4,1.1,3.9,True
14,Orange Empire Athletic,Santiago Canyon,Trevor Manning,25,25,398.0,15.9,39.6,3.04,3.12,13.59,10.48,8.36,2.12,1.508,30.2,26.7,3.7,9.4,3.2,0.9,2.9,True
15,WSC North,Moorpark,Avi Halpert,24,25,782.0,32.6,77.1,2.19,1.0,12.98,10.31,7.3,3.01,2.894,28.6,26.0,8.0,5.2,3.4,0.2,4.9,True
16,WSC North,Allan Hancock,Assad Madassalia,25,26,604.0,24.2,57.0,5.0,3.34,10.96,10.09,3.09,6.99,2.185,17.4,15.6,1.8,11.8,1.7,7.6,2.4,True
17,Central Valley,Sequoias,Jaylon Lee,23,27,558.0,24.3,51.4,4.85,3.29,10.86,10.08,2.61,7.47,2.047,18.8,17.2,4.9,22.7,2.3,5.0,6.1,True
18,Orange Empire Athletic,Fullerton,RJ Banks,19,31,408.0,21.5,32.8,2.37,3.25,8.77,9.74,5.05,4.69,1.455,20.8,17.6,6.3,7.4,2.2,0.7,3.6,True
19,Orange Empire Athletic,Fullerton,Amound Anderson II,26,31,722.0,27.8,58.0,2.5,2.82,8.6,9.57,5.54,4.03,2.538,19.5,16.6,4.2,8.4,2.0,0.5,2.0,True
20,South Coast-North,LA Trade Tech,Omari Ferguson,18,18,466.0,25.9,64.3,2.92,1.22,16.23,9.44,8.44,0.99,1.616,30.1,28.3,5.9,9.8,3.7,0.2,3.9,True
21,Inland Empire Athletic,San Bernardino Valley,Jason Lee,22,22,775.0,35.2,86.9,2.08,1.0,13.32,9.35,4.4,4.95,2.645,23.6,22.9,10.5,5.9,3.9,0.2,4.1,True
22,WSC South,Citrus,JJ Mitchell,27,27,755.0,28.0,68.9,4.96,2.38,11.64,9.23,5.08,4.15,2.549,26.0,24.5,2.8,14.7,3.1,2.0,3.6,True
23,Inland Empire Athletic,Chaffey,Shadale Knight,21,22,512.0,24.4,57.5,2.09,2.57,10.09,9.12,6.74,2.38,1.716,17.1,14.5,8.4,6.3,3.8,0.1,2.9,True
24,Central Valley,Sequoias,Alex Argandar,25,27,787.0,31.5,72.6,1.43,2.21,9.52,8.73,3.33,5.4,2.565,15.6,14.2,9.0,5.3,2.7,0.8,3.5,True
25,WSC North,LA Pierce,Keshawn Christian,15,24,418.0,27.9,43.4,4.34,2.4,18.15,8.61,4.59,4.02,1.349,36.2,39.7,1.3,17.5,5.4,1.5,3.9,True
26,Inland Empire Athletic,Chaffey,Shaden Knight,17,22,354.0,20.8,39.8,2.26,2.86,9.55,8.58,7.83,0.76,1.129,25.0,21.7,7.1,3.8,2.4,0.1,4.1,True
27,WSC North,Moorpark,Jamaal Unuakalu,25,25,775.0,31.0,76.4,5.0,2.66,11.24,8.57,5.58,2.99,2.462,24.3,22.0,1.8,16.9,1.2,4.9,2.5,True
28,WSC North,Allan Hancock,Taevon Pierre-Louis,26,26,739.0,28.4,69.8,3.68,1.68,9.44,8.56,4.04,4.52,2.336,23.6,20.7,8.2,16.8,2.4,1.3,7.6,True
29,South Coast-North,East Los Angeles,Brandon WIlson,22,23,450.0,20.5,48.8,4.14,2.47,11.25,8.54,8.76,-0.21,1.444,32.0,28.7,2.8,15.9,2.0,0.7,4.2,True
30,Orange Empire Athletic,Santiago Canyon,Kai Smith,25,25,808.0,32.3,80.5,3.17,1.72,11.52,8.41,8.53,-0.12,2.553,31.0,27.2,4.0,9.7,2.4,0.3,3.4,True
31,Orange Empire Athletic,Santiago Canyon,Tony Colley,25,25,554.0,22.2,55.2,3.56,3.04,11.43,8.32,7.02,1.3,1.736,24.1,21.0,3.9,12.9,2.8,1.5,3.7,True
32,Central Valley,Sequoias,Cameron Clark,27,27,520.0,19.3,47.9,5.0,3.62,9.07,8.28,1.54,6.74,1.623,19.7,17.9,3.4,15.5,1.4,5.7,3.9,True
33,Orange Empire Athletic,Fullerton,Jaden Byers,29,31,497.0,17.1,39.9,2.86,3.0,7.25,8.23,4.54,3.69,1.544,25.8,21.9,5.4,5.8,1.8,0.4,3.3,True
34,Orange Empire Athletic,Santa Ana,Kaden Minter,25,26,864.0,34.6,81.3,4.35,1.27,14.99,8.21,7.47,0.74,2.632,29.7,28.9,2.8,12.2,2.1,1.9,2.4,True
35,Inland Empire Athletic,Chaffey,Uriyah Rojas,21,22,457.0,21.8,51.3,2.83,3.02,9.11,8.15,7.75,0.4,1.398,27.1,23.1,4.8,11.2,2.5,0.2,3.0,True
36,Pacific Coast Athletic,San Diego City,Kevin Moore,24,25,632.0,26.3,60.5,2.3,3.34,7.31,8.05,5.35,2.7,1.856,17.8,14.7,4.1,7.1,2.2,0.6,2.5,True
37,Orange Empire Athletic,Fullerton,Justin Davis,30,31,564.0,18.8,45.3,2.09,3.2,7.05,8.03,1.77,6.26,1.718,10.9,9.2,6.0,7.8,3.1,0.4,2.8,True
38,WSC South,Citrus,Tyrel Creger,27,27,734.0,27.2,67.0,2.39,1.62,10.27,7.86,3.95,3.91,2.176,26.5,25.0,6.4,8.3,2.2,0.3,4.0,True
39,South Coast-South,Cerritos,Cameron McCoy,25,25,548.0,21.9,54.8,4.57,2.87,11.88,7.76,6.23,1.53,1.63,25.4,24.1,2.4,17.1,2.8,1.0,2.7,True
40,Central Valley,Sequoias,Omari Nesbit,26,27,662.0,25.5,61.0,2.08,3.11,8.53,7.74,3.16,4.58,1.958,23.9,21.7,4.0,8.2,3.0,0.2,4.2,True
41,WSC South,West LA,Blake Lander,28,28,851.0,30.4,73.4,2.6,2.63,8.6,7.51,5.27,2.24,2.383,23.9,21.4,1.9,8.9,2.0,0.1,1.7,True
42,Orange Empire Athletic,Fullerton,Godfrey Little,31,31,497.0,16.0,39.9,2.33,3.37,6.07,7.04,4.74,2.31,1.365,23.4,19.6,3.4,3.7,1.6,0.1,2.4,True
43,WSC South,West LA,Marland Harris,28,28,764.0,27.3,65.9,5.0,3.08,8.08,6.99,3.62,3.37,2.022,23.4,20.9,1.1,15.6,1.1,4.6,3.3,True
44,South Coast-North,East Los Angeles,Daniel Michelini-Jackson,19,23,505.0,26.6,54.8,2.47,2.21,9.64,6.93,5.82,1.11,1.373,30.0,26.8,4.4,10.8,2.6,0.3,4.9,True
45,South Coast-North,Mt. San Antonio,CJ Fisher,24,25,679.0,28.3,67.7,2.87,2.91,7.01,6.82,3.92,2.91,1.82,21.2,18.0,2.8,13.4,2.5,0.8,3.7,True
46,Inland Empire Athletic,San Bernardino Valley,Chine Nwanevu,22,22,536.0,24.4,60.1,4.03,3.23,10.64,6.66,2.02,4.65,1.396,15.7,15.3,2.9,15.3,3.0,1.0,2.2,True
47,Orange Empire Athletic,Fullerton,Alex Archer,30,31,565.0,18.8,45.4,3.81,3.17,5.61,6.59,2.66,3.92,1.474,15.4,13.4,3.8,10.6,1.3,0.4,3.1,True
48,WSC South,Citrus,Malik Khouzam,27,27,710.0,26.3,64.8,2.17,2.75,8.64,6.23,2.95,3.28,1.756,21.6,20.3,3.6,5.9,2.4,0.0,2.4,True
