conference,team,name,games,pos_class,pos_no_ht,height,p_pg,p_sg,p_sf,p_pf,p_c
Bay Valley,Alameda,Barry Stewart,12,WG,WG,,25.9,33.8,25.8,1.6,12.9
Bay Valley,Alameda,Davron Murrell,28,s-PG,s-PG,,51.4,47.7,0.6,0.0,0.2
Bay Valley,Alameda,Donte Henderson,28,CG,CG,,24.0,62.0,13.2,0.6,0.1
Bay Valley,Alameda,Dwayne Ealy,28,CG,CG,,36.1,56.4,7.3,0.1,0.1
Bay Valley,Alameda,Isaiah Fortenberry,22,WG,WG,,6.7,56.1,7.5,1.7,28.0
Bay Valley,Alameda,Jamahni Walker,25,CG,CG,,37.5,49.2,12.2,0.2,0.9
Bay Valley,Alameda,Jayce Jones,20,WG,WG,,22.5,37.0,38.3,1.7,0.4
Bay Valley,Alameda,Justin Baylis,6,CG,CG,,45.6,37.9,13.6,0.8,2.1
Bay Valley,Alameda,Paul Diomande,26,WF,WF,,0.3,3.8,53.5,32.2,10.2
Bay Valley,Alameda,Ques Williams,27,s-PG,s-PG,,82.7,17.1,0.2,0.0,0.0
Bay Valley,Alameda,Raphael Amante,25,s-PG,s-PG,,67.2,30.7,1.9,0.1,0.2
Bay Valley,Alameda,Saji Muanza,13,S-PF,S-PF,,0.1,0.4,17.2,81.1,1.2
Bay Valley,Alameda,Trevaughn Tate,22,CG,CG,,40.6,51.9,6.2,0.6,0.6
Bay Valley,Contra Costa,Alvon Watts,11,S-PF,S-PF,,0.0,0.2,28.7,67.2,3.9
Bay Valley,Contra Costa,Amari Robinson,24,WF,WF,,6.4,16.5,48.0,16.6,12.4
Bay Valley,Contra Costa,Christopher Sanders,23,PF/C,PF/C,,1.1,10.6,18.2,3.9,66.2
Bay Valley,Contra Costa,Devyn Mclean,9,WG,WG,,18.3,47.3,20.6,0.8,13.0
Bay Valley,Contra Costa,Jamil Harris,25,CG,CG,,25.8,64.2,6.4,1.3,2.4
Bay Valley,Contra Costa,JeLani Clark,19,WG,WG,,11.4,43.8,24.1,1.3,19.5
Bay Valley,Contra Costa,Joseph Gould,25,WG,WG,,22.9,38.0,24.9,10.5,3.7
Bay Valley,Contra Costa,Kaleb Allison,21,s-PG,s-PG,,52.8,39.6,5.8,0.5,1.3
Bay Valley,Contra Costa,Mikey Pierce,25,CG,CG,,33.0,50.9,12.7,0.5,3.0
Bay Valley,Contra Costa,Myles Gilder,22,WF,WF,,12.1,5.0,64.0,17.5,1.3
Bay Valley,Contra Costa,Prime Payton,24,WF,WF,,2.9,3.2,59.6,31.3,2.9
Bay Valley,Contra Costa,Robert Chang,15,WG,WG,,25.9,33.4,30.3,2.6,7.9
Bay Valley,Contra Costa,Zayn Kimbrough,14,WF,WF,,6.9,14.0,57.1,14.8,7.2
Bay Valley,Los Medanos,AJ Dungo,28,s-PG,s-PG,,83.6,16.3,0.1,0.0,0.0
Bay Valley,Los Medanos,Devin Carson,27,CG,CG,,25.1,73.8,0.6,0.0,0.4
Bay Valley,Los Medanos,Hamza Najib,28,s-PG,s-PG,,76.2,22.9,0.4,0.0,0.4
Bay Valley,Los Medanos,JJ Robertson,28,CG,CG,,21.8,69.5,6.5,0.6,1.6
Bay Valley,Los Medanos,James Wong,27,PG,PG,,93.1,6.7,0.2,0.0,0.1
Bay Valley,Los Medanos,Kell Page,25,S-PF,S-PF,,0.1,0.2,34.7,63.8,1.2
Bay Valley,Los Medanos,Ramon Bailey,28,WG,WG,,6.0,75.9,1.6,0.6,15.9
Bay Valley,Los Medanos,Rochea Butler,15,s-PG,s-PG,,58.7,37.9,2.2,0.0,1.3
Bay Valley,Los Medanos,Tochi Onyeador,28,PF/C,PF/C,,0.0,0.0,0.4,19.3,80.3
Bay Valley,Los Medanos,Vinny Andrea,28,CG,CG,,33.9,48.9,10.9,0.7,5.7
Bay Valley,Marin,Aadam Coulibaly,22,PF/C,PF/C,,0.0,0.1,2.0,35.9,62.0
Bay Valley,Marin,Cobi Wilson,27,CG,CG,,25.0,73.0,1.5,0.2,0.3
Bay Valley,Marin,Denim Tuala-Fata,23,S-PF,S-PF,,0.5,4.6,31.2,37.1,26.6
Bay Valley,Marin,Desmond West,23,S-PF,S-PF,,0.1,0.5,24.2,73.9,1.2
Bay Valley,Marin,Devin Mims,27,S-PF,S-PF,,1.3,5.8,23.1,47.2,22.6
Bay Valley,Marin,Jabez Worthington,26,PF/C,PF/C,,4.2,20.1,27.5,11.4,36.9
Bay Valley,Marin,Jared Williams,18,WF,WF,,4.0,14.6,52.6,9.6,19.3
Bay Valley,Marin,Jhaunte Helton,8,PF/C,PF/C,,0.1,0.8,14.6,66.5,18.0
Bay Valley,Marin,Justin Aquino,24,CG,CG,,29.9,65.7,3.4,0.3,0.8
Bay Valley,Marin,Kaleb McKenzie,7,CG,CG,,39.0,45.5,11.7,0.6,3.1
Bay Valley,Marin,Logan Coverson,18,CG,CG,,36.5,61.0,2.0,0.2,0.2
Bay Valley,Marin,Te'Shawn Gamble,6,CG,CG,,22.5,77.3,0.0,0.1,0.1
Bay Valley,Marin,Tre McPherson,27,CG,CG,,12.9,77.6,5.7,2.8,1.0
Bay Valley,Mendocino,Ahmad Artis,27,CG,CG,,16.9,70.2,3.4,2.5,7.0
Bay Valley,Mendocino,Benji Crebs,27,s-PG,s-PG,,55.6,37.7,5.9,0.2,0.6
Bay Valley,Mendocino,Darius Ford,27,CG,CG,,23.1,71.5,3.8,0.3,1.3
Bay Valley,Mendocino,Eduardo Badillo,9,PG,s-PG,70,91.6,8.4,0.0,0.0,0.0
Bay Valley,Mendocino,Gavin Reid,26,WG,WG,,20.3,40.6,12.3,5.1,21.7
Bay Valley,Mendocino,Indy Dosanjh,26,PG,PG,,98.6,1.3,0.1,0.0,0.0
Bay Valley,Mendocino,Jaymaree Johnson,26,WF,S-PF,77,0.1,0.5,49.7,48.3,1.4
Bay Valley,Mendocino,Jordan Emory,27,CG,CG,,24.9,67.6,6.1,0.3,1.1
Bay Valley,Mendocino,Keanu Ford,8,s-PG,s-PG,,59.8,35.2,3.5,0.1,1.3
Bay Valley,Mendocino,Nathan Behr,27,PF/C,PF/C,,0.0,0.4,8.1,52.8,38.7
Bay Valley,Mendocino,Nik Burns,27,PG,PG,,91.2,8.8,0.0,0.0,0.0
Bay Valley,Mendocino,Omare Edwards,26,PG,PG,,95.5,4.4,0.0,0.0,0.0
Bay Valley,Merritt,Aziz Hantous,7,PF/C,PF/C,,0.2,1.4,22.3,46.5,29.6
