Moorpark College — 29 Games — All Athletes — Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #11 E.E. #22 R.F.,#3 E.K.,#11 E.E.,#22 R.F.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,#33 T.H.,#21 J.J.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,#1 J.C. #4 M.S. #22 R.F. #31 N.C.,#1 J.C.,#4 M.S.,#22 R.F.,#31 N.C.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #15 P.K. #30 C.S.,#1 J.C.,#2 A.B.,#10 Z.B.,#15 P.K.,#30 C.S.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #11 E.E. #24 A.G.,#3 E.K.,#11 E.E.,#24 A.G.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,#33 T.H.,#22 R.F.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,#1 J.C. #4 M.S. #22 R.F. #33 T.H.,#1 J.C.,#4 M.S.,#22 R.F.,#33 T.H.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #15 P.K. #31 N.C.,#1 J.C.,#2 A.B.,#10 Z.B.,#15 P.K.,#31 N.C.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #11 E.E. #30 C.S.,#3 E.K.,#11 E.E.,#30 C.S.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,#33 T.H.,#24 A.G.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,#1 J.C. #4 M.S. #24 A.G. #30 C.S.,#1 J.C.,#4 M.S.,#24 A.G.,#30 C.S.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #15 P.K. #33 T.H.,#1 J.C.,#2 A.B.,#10 Z.B.,#15 P.K.,#33 T.H.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #11 E.E. #31 N.C.,#3 E.K.,#11 E.E.,#31 N.C.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,#33 T.H.,#30 C.S.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,#1 J.C. #4 M.S. #24 A.G. #31 N.C.,#1 J.C.,#4 M.S.,#24 A.G.,#31 N.C.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #20 J.F. #21 J.J.,#1 J.C.,#2 A.B.,#10 Z.B.,#20 J.F.,#21 J.J.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #11 E.E. #33 T.H.,#3 E.K.,#11 E.E.,#33 T.H.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,#33 T.H.,#31 N.C.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,#1 J.C. #4 M.S. #24 A.G. #33 T.H.,#1 J.C.,#4 M.S.,#24 A.G.,#33 T.H.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #20 J.F. #22 R.F.,#1 J.C.,#2 A.B.,#10 Z.B.,#20 J.F.,#22 R.F.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #12 D.B. #14 J.Z.,#3 E.K.,#12 D.B.,#14 J.Z.,30,103.1,104.7,-1.6,48.9,46.7,44.1,29.4,95.0,,,,,,,,,,,,,,,,,#1 J.C. #4 M.S. #30 C.S. #31 N.C.,#1 J.C.,#4 M.S.,#30 C.S.,#31 N.C.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #20 J.F. #24 A.G.,#1 J.C.,#2 A.B.,#10 Z.B.,#20 J.F.,#24 A.G.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #12 D.B. #15 P.K.,#3 E.K.,#12 D.B.,#15 P.K.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,#10 Z.B.,#1 J.C.,16,85.5,128.2,-42.7,66.7,0.0,80.0,30.5,55.6,,,,,#1 J.C. #4 M.S. #30 C.S. #33 T.H.,#1 J.C.,#4 M.S.,#30 C.S.,#33 T.H.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #20 J.F. #30 C.S.,#1 J.C.,#2 A.B.,#10 Z.B.,#20 J.F.,#30 C.S.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #12 D.B. #20 J.F.,#3 E.K.,#12 D.B.,#20 J.F.,111,123.3,92.1,31.2,65.0,37.6,72.0,17.9,21.6,,#10 Z.B.,#2 A.B.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,#1 J.C. #4 M.S. #31 N.C. #33 T.H.,#1 J.C.,#4 M.S.,#31 N.C.,#33 T.H.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #20 J.F. #31 N.C.,#1 J.C.,#2 A.B.,#10 Z.B.,#20 J.F.,#31 N.C.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #12 D.B. #21 J.J.,#3 E.K.,#12 D.B.,#21 J.J.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,#10 Z.B.,#3 E.K.,16,85.5,128.2,-42.7,66.7,0.0,80.0,30.5,55.6,,,,,#1 J.C. #5 T.S. #10 Z.B. #11 E.E.,#1 J.C.,#5 T.S.,#10 Z.B.,#11 E.E.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #20 J.F. #33 T.H.,#1 J.C.,#2 A.B.,#10 Z.B.,#20 J.F.,#33 T.H.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #12 D.B. #22 R.F.,#3 E.K.,#12 D.B.,#22 R.F.,180,101.9,104.6,-2.7,55.2,30.8,65.7,24.8,68.5,,#10 Z.B.,#4 M.S.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,#1 J.C. #5 T.S. #10 Z.B. #12 D.B.,#1 J.C.,#5 T.S.,#10 Z.B.,#12 D.B.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #21 J.J. #22 R.F.,#1 J.C.,#2 A.B.,#10 Z.B.,#21 J.J.,#22 R.F.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #12 D.B. #24 A.G.,#3 E.K.,#12 D.B.,#24 A.G.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,#10 Z.B.,#5 T.S.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,#1 J.C. #5 T.S. #10 Z.B. #14 J.Z.,#1 J.C.,#5 T.S.,#10 Z.B.,#14 J.Z.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #21 J.J. #24 A.G.,#1 J.C.,#2 A.B.,#10 Z.B.,#21 J.J.,#24 A.G.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #12 D.B. #30 C.S.,#3 E.K.,#12 D.B.,#30 C.S.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,#10 Z.B.,#11 E.E.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,#1 J.C. #5 T.S. #10 Z.B. #15 P.K.,#1 J.C.,#5 T.S.,#10 Z.B.,#15 P.K.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #21 J.J. #30 C.S.,#1 J.C.,#2 A.B.,#10 Z.B.,#21 J.J.,#30 C.S.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #12 D.B. #31 N.C.,#3 E.K.,#12 D.B.,#31 N.C.,19,88.0,72.4,15.5,59.1,28.6,83.3,36.2,63.6,,#10 Z.B.,#12 D.B.,16,85.5,128.2,-42.7,66.7,0.0,80.0,30.5,55.6,,,,,#1 J.C. #5 T.S. #10 Z.B. #20 J.F.,#1 J.C.,#5 T.S.,#10 Z.B.,#20 J.F.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #21 J.J. #31 N.C.,#1 J.C.,#2 A.B.,#10 Z.B.,#21 J.J.,#31 N.C.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #12 D.B. #33 T.H.,#3 E.K.,#12 D.B.,#33 T.H.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,#10 Z.B.,#14 J.Z.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,#1 J.C. #5 T.S. #10 Z.B. #21 J.J.,#1 J.C.,#5 T.S.,#10 Z.B.,#21 J.J.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #21 J.J. #33 T.H.,#1 J.C.,#2 A.B.,#10 Z.B.,#21 J.J.,#33 T.H.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #14 J.Z. #15 P.K.,#3 E.K.,#14 J.Z.,#15 P.K.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,#10 Z.B.,#15 P.K.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,#1 J.C. #5 T.S. #10 Z.B. #22 R.F.,#1 J.C.,#5 T.S.,#10 Z.B.,#22 R.F.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #22 R.F. #24 A.G.,#1 J.C.,#2 A.B.,#10 Z.B.,#22 R.F.,#24 A.G.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #14 J.Z. #20 J.F.,#3 E.K.,#14 J.Z.,#20 J.F.,152,122.2,77.6,44.6,63.6,31.3,74.5,17.2,10.4,,#10 Z.B.,#20 J.F.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,#1 J.C. #5 T.S. #10 Z.B. #24 A.G.,#1 J.C.,#5 T.S.,#10 Z.B.,#24 A.G.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #22 R.F. #30 C.S.,#1 J.C.,#2 A.B.,#10 Z.B.,#22 R.F.,#30 C.S.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #14 J.Z. #21 J.J.,#3 E.K.,#14 J.Z.,#21 J.J.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,#10 Z.B.,#21 J.J.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,#1 J.C. #5 T.S. #10 Z.B. #30 C.S.,#1 J.C.,#5 T.S.,#10 Z.B.,#30 C.S.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #22 R.F. #31 N.C.,#1 J.C.,#2 A.B.,#10 Z.B.,#22 R.F.,#31 N.C.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #14 J.Z. #22 R.F.,#3 E.K.,#14 J.Z.,#22 R.F.,139,88.2,93.5,-5.2,37.3,37.7,56.0,20.9,60.5,,#10 Z.B.,#22 R.F.,16,85.5,128.2,-42.7,66.7,0.0,80.0,30.5,55.6,,,,,#1 J.C. #5 T.S. #10 Z.B. #31 N.C.,#1 J.C.,#5 T.S.,#10 Z.B.,#31 N.C.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #22 R.F. #33 T.H.,#1 J.C.,#2 A.B.,#10 Z.B.,#22 R.F.,#33 T.H.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #14 J.Z. #24 A.G.,#3 E.K.,#14 J.Z.,#24 A.G.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,#10 Z.B.,#24 A.G.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,#1 J.C. #5 T.S. #10 Z.B. #33 T.H.,#1 J.C.,#5 T.S.,#10 Z.B.,#33 T.H.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #24 A.G. #30 C.S.,#1 J.C.,#2 A.B.,#10 Z.B.,#24 A.G.,#30 C.S.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #14 J.Z. #30 C.S.,#3 E.K.,#14 J.Z.,#30 C.S.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,#10 Z.B.,#30 C.S.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,#1 J.C. #5 T.S. #11 E.E. #12 D.B.,#1 J.C.,#5 T.S.,#11 E.E.,#12 D.B.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #24 A.G. #31 N.C.,#1 J.C.,#2 A.B.,#10 Z.B.,#24 A.G.,#31 N.C.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #14 J.Z. #31 N.C.,#3 E.K.,#14 J.Z.,#31 N.C.,83,115.3,98.4,16.9,58.0,34.2,75.6,18.2,22.0,,#10 Z.B.,#31 N.C.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,#1 J.C. #5 T.S. #11 E.E. #14 J.Z.,#1 J.C.,#5 T.S.,#11 E.E.,#14 J.Z.,15,103.7,77.8,25.9,63.6,33.3,60.0,25.9,27.3,,,,#1 J.C. #2 A.B. #10 Z.B. #24 A.G. #33 T.H.,#1 J.C.,#2 A.B.,#10 Z.B.,#24 A.G.,#33 T.H.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #14 J.Z. #33 T.H.,#3 E.K.,#14 J.Z.,#33 T.H.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,#10 Z.B.,#33 T.H.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,#1 J.C. #5 T.S. #11 E.E. #15 P.K.,#1 J.C.,#5 T.S.,#11 E.E.,#15 P.K.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #30 C.S. #31 N.C.,#1 J.C.,#2 A.B.,#10 Z.B.,#30 C.S.,#31 N.C.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #15 P.K. #20 J.F.,#3 E.K.,#15 P.K.,#20 J.F.,15,154.4,40.3,114.1,55.6,60.0,53.3,6.7,22.2,,,,,,,,,,,,,,,,,#1 J.C. #5 T.S. #11 E.E. #20 J.F.,#1 J.C.,#5 T.S.,#11 E.E.,#20 J.F.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #30 C.S. #33 T.H.,#1 J.C.,#2 A.B.,#10 Z.B.,#30 C.S.,#33 T.H.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #15 P.K. #21 J.J.,#3 E.K.,#15 P.K.,#21 J.J.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,#1 J.C. #5 T.S. #11 E.E. #21 J.J.,#1 J.C.,#5 T.S.,#11 E.E.,#21 J.J.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #10 Z.B. #31 N.C. #33 T.H.,#1 J.C.,#2 A.B.,#10 Z.B.,#31 N.C.,#33 T.H.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #15 P.K. #22 R.F.,#3 E.K.,#15 P.K.,#22 R.F.,15,154.4,40.3,114.1,55.6,60.0,53.3,6.7,22.2,,,,,,,,,,,,,,,,,#1 J.C. #5 T.S. #11 E.E. #22 R.F.,#1 J.C.,#5 T.S.,#11 E.E.,#22 R.F.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #11 E.E. #12 D.B. #14 J.Z.,#1 J.C.,#2 A.B.,#11 E.E.,#12 D.B.,#14 J.Z.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #15 P.K. #24 A.G.,#3 E.K.,#15 P.K.,#24 A.G.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,#1 J.C. #5 T.S. #11 E.E. #24 A.G.,#1 J.C.,#5 T.S.,#11 E.E.,#24 A.G.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #11 E.E. #12 D.B. #15 P.K.,#1 J.C.,#2 A.B.,#11 E.E.,#12 D.B.,#15 P.K.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #15 P.K. #30 C.S.,#3 E.K.,#15 P.K.,#30 C.S.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,#1 J.C. #5 T.S. #11 E.E. #30 C.S.,#1 J.C.,#5 T.S.,#11 E.E.,#30 C.S.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #11 E.E. #12 D.B. #20 J.F.,#1 J.C.,#2 A.B.,#11 E.E.,#12 D.B.,#20 J.F.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #15 P.K. #31 N.C.,#3 E.K.,#15 P.K.,#31 N.C.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,#1 J.C. #5 T.S. #11 E.E. #31 N.C.,#1 J.C.,#5 T.S.,#11 E.E.,#31 N.C.,15,103.7,77.8,25.9,63.6,33.3,60.0,25.9,27.3,,,,#1 J.C. #2 A.B. #11 E.E. #12 D.B. #21 J.J.,#1 J.C.,#2 A.B.,#11 E.E.,#12 D.B.,#21 J.J.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #15 P.K. #33 T.H.,#3 E.K.,#15 P.K.,#33 T.H.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,#1 J.C. #5 T.S. #11 E.E. #33 T.H.,#1 J.C.,#5 T.S.,#11 E.E.,#33 T.H.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #11 E.E. #12 D.B. #22 R.F.,#1 J.C.,#2 A.B.,#11 E.E.,#12 D.B.,#22 R.F.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #20 J.F. #21 J.J.,#3 E.K.,#20 J.F.,#21 J.J.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,#1 J.C. #5 T.S. #12 D.B. #14 J.Z.,#1 J.C.,#5 T.S.,#12 D.B.,#14 J.Z.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #11 E.E. #12 D.B. #24 A.G.,#1 J.C.,#2 A.B.,#11 E.E.,#12 D.B.,#24 A.G.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #20 J.F. #22 R.F.,#3 E.K.,#20 J.F.,#22 R.F.,368,126.0,79.8,46.2,58.8,39.1,71.5,14.1,24.9,,,,,,,,,,,,,,,,,#1 J.C. #5 T.S. #12 D.B. #15 P.K.,#1 J.C.,#5 T.S.,#12 D.B.,#15 P.K.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #11 E.E. #12 D.B. #30 C.S.,#1 J.C.,#2 A.B.,#11 E.E.,#12 D.B.,#30 C.S.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #20 J.F. #24 A.G.,#3 E.K.,#20 J.F.,#24 A.G.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,#1 J.C. #5 T.S. #12 D.B. #20 J.F.,#1 J.C.,#5 T.S.,#12 D.B.,#20 J.F.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #11 E.E. #12 D.B. #31 N.C.,#1 J.C.,#2 A.B.,#11 E.E.,#12 D.B.,#31 N.C.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #20 J.F. #30 C.S.,#3 E.K.,#20 J.F.,#30 C.S.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,#1 J.C. #5 T.S. #12 D.B. #21 J.J.,#1 J.C.,#5 T.S.,#12 D.B.,#21 J.J.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #11 E.E. #12 D.B. #33 T.H.,#1 J.C.,#2 A.B.,#11 E.E.,#12 D.B.,#33 T.H.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #20 J.F. #31 N.C.,#3 E.K.,#20 J.F.,#31 N.C.,74,129.2,80.1,49.1,62.2,30.3,86.4,12.7,8.4,,,,,,,,,,,,,,,,,#1 J.C. #5 T.S. #12 D.B. #22 R.F.,#1 J.C.,#5 T.S.,#12 D.B.,#22 R.F.,52,87.8,107.4,-19.5,45.5,29.5,67.4,26.3,38.8,,,,#1 J.C. #2 A.B. #11 E.E. #14 J.Z. #15 P.K.,#1 J.C.,#2 A.B.,#11 E.E.,#14 J.Z.,#15 P.K.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #20 J.F. #33 T.H.,#3 E.K.,#20 J.F.,#33 T.H.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,#1 J.C. #5 T.S. #12 D.B. #24 A.G.,#1 J.C.,#5 T.S.,#12 D.B.,#24 A.G.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #11 E.E. #14 J.Z. #20 J.F.,#1 J.C.,#2 A.B.,#11 E.E.,#14 J.Z.,#20 J.F.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 E.K. #21 J.J. #22 R.F.,#3 E.K.,#21 J.J.,#22 R.F.,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,#1 J.C. #5 T.S. #12 D.B. #30 C.S.,#1 J.C.,#5 T.S.,#12 D.B.,#30 C.S.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,#1 J.C. #2 A.B. #11 E.E. #14 J.Z. #21 J.J.,#1 J.C.,#2 A.B.,#11 E.E.,#14 J.Z.,#21 J.J.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
