Moorpark College — 29 Games — All Athletes — Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #5 T.S. / #11 E.E. / #14 J.Z. / #31 N.C.,0,63.60%,24.40%,33.30%,60.00%,0.27,1.74,0,7,11,63.60%,63.60%,0,7,8,87.50%,0,0,3,0.00%,0,2,3,66.70%,0,16,12,1.14,8,+ 4,11,0,6,6,0,12,0,1,33.30%,6,60.00%,7,0,6,4,1.5,24.40%,0,0,-,0,1,0.00%,0,0,3,2,4,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #5 T.S. / #20 J.F. / #31 N.C.,0,64.70%,5.60%,25.00%,90.90%,0,2.17,0,9,17,52.90%,64.70%,0,5,6,83.30%,0,4,11,36.40%,0,0,0,-,0,22,11,1.23,7.3,+ 11,10,0,6,4,0,10,0,2,25.00%,10,90.90%,12,0,7,1,7,5.60%,0,0,-,0,2,50.00%,1.5,0,2,2,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #12 D.B. / #22 R.F. / #31 N.C.,0,59.10%,32.80%,28.60%,83.30%,0.64,1.19,0,5,11,45.50%,59.10%,0,2,4,50.00%,0,3,7,42.90%,0,4,7,57.10%,0,17,14,0.81,2.4,+ 3,10,0,2,6,1,4,0,2,28.60%,5,83.30%,7,0,3,7,0.43,32.80%,0,2,50.00%,0.5,6,50.00%,1.5,0,2,6,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #15 P.K. / #20 J.F. / #22 R.F.,0,55.60%,4.80%,60.00%,53.30%,0.22,2.26,0,9,18,50.00%,55.60%,0,7,11,63.60%,0,2,7,28.60%,0,3,4,75.00%,0,23,6,1.54,23,+ 17,10,0,9,7,3,12,0,6,60.00%,8,53.30%,14,0,5,1,5,4.80%,0,0,-,0,1,100.00%,2,0,3,4,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#3 E.K. / #5 T.S. / #12 D.B. / #20 J.F. / #22 R.F.,0,91.70%,11.50%,33.30%,75.00%,0.58,2.48,0,8,12,66.70%,91.70%,0,2,3,66.70%,0,6,9,66.70%,0,4,7,57.10%,0,26,15,1.85,13,+ 11,10,0,2,3,3,4,0,2,33.30%,6,75.00%,8,0,7,2,3.5,11.50%,0,0,-,0,0,-,0,0,2,1,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #5 T.S. / #22 R.F. / #31 N.C.,0,52.90%,10.00%,30.00%,80.00%,0.12,1.41,0,8,17,47.10%,52.90%,0,6,9,66.70%,0,2,8,25.00%,0,1,2,50.00%,0,19,10,0.93,6.3,+ 9,9,0,0,12,2,8,0,3,30.00%,4,80.00%,7,0,4,2,2,10.00%,0,1,0.00%,0,0,-,0,0,4,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #10 Z.B. / #12 D.B. / #22 R.F.,0,66.70%,30.50%,0.00%,80.00%,0.56,0.89,0,5,9,55.60%,66.70%,0,3,5,60.00%,0,2,4,50.00%,0,2,5,40.00%,0,14,21,0.83,2.3,-7,9,0,0,1,0,6,0,0,0.00%,4,80.00%,4,0,2,5,0.4,30.50%,0,1,100.00%,2,1,0.00%,0,0,5,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #20 J.F. / #22 R.F. / #31 N.C.,0,50.00%,17.80%,36.40%,100.00%,0.18,1.34,0,6,17,35.30%,50.00%,0,1,5,20.00%,0,5,12,41.70%,0,2,3,66.70%,0,19,12,1.15,6.3,+ 7,9,0,0,3,3,2,0,4,36.40%,6,100.00%,10,0,5,4,1.25,17.80%,0,2,0.00%,0,1,100.00%,3,0,5,4,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #2 A.B. / #3 E.K. / #5 T.S. / #12 D.B.,0,40.00%,15.40%,0.00%,62.50%,0.2,0.65,0,3,10,30.00%,40.00%,0,1,4,25.00%,0,2,6,33.30%,0,1,2,50.00%,0,9,14,0.69,9,-5,8,0,0,0,0,2,0,0,0.00%,5,62.50%,5,0,3,2,1.5,15.40%,0,0,-,0,2,0.00%,0,0,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #5 T.S. / #12 D.B. / #22 R.F. / #31 N.C.,0,50.00%,27.80%,40.00%,62.50%,0.63,0.93,0,3,8,37.50%,50.00%,0,1,3,33.30%,0,2,5,40.00%,0,4,5,80.00%,0,12,14,0.7,3,-2,8,0,2,5,3,2,0,2,40.00%,5,62.50%,7,0,2,4,0.5,27.80%,0,2,50.00%,1.5,2,150.00%,2.5,0,3,2,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
