rank,conference,team,player,games,strict_team_games,minutes,mpg,min_pct,position_scale,creation_role,raw_bpm,bpm,obpm,dbpm,vorp_style,pts_per100,adj_pts_per100,ast_per100,reb_per100,stl_per100,blk_per100,to_per100,qualifies_minutes
14,South Coast-South,Cerritos,Kamaury Washington,24,24,701.0,29.2,72.5,2.17,1.61,12.29,11.84,6.65,5.19,2.937,26.1,23.9,6.0,8.6,3.1,0.4,4.1,True
15,WSC North,Ventura,Jerimiyah Smith,24,24,797.0,33.2,81.3,4.4,1.27,13.52,11.83,10.12,1.71,3.291,32.6,28.6,3.7,15.5,2.2,1.0,3.7,True
16,WSC South,Antelope Valley,Amado Coleman,23,24,737.0,32.0,76.5,4.33,1.68,15.98,11.58,8.43,3.16,3.041,31.2,27.5,4.8,14.7,3.4,0.8,2.9,True
17,Central Valley,Sequoias,Cameron Kelly,19,19,614.0,32.3,78.7,3.52,2.08,11.98,11.55,4.86,6.7,2.472,27.2,25.2,5.3,12.1,2.6,1.6,4.5,True
18,Central Valley,Sequoias,Javon Bragg,19,19,396.0,20.8,50.8,4.86,3.2,11.95,11.53,6.06,5.47,1.592,30.1,28.0,1.5,17.5,1.7,3.5,2.8,True
19,Inland Empire Athletic,San Bernardino Valley,Duante Murphy,21,21,424.0,20.2,50.5,2.38,1.93,13.25,10.37,3.54,6.83,1.601,25.0,23.2,10.4,11.5,3.6,0.9,7.1,True
20,WSC North,Ventura,Snookey Wigington,23,24,721.0,31.3,73.6,1.64,1.0,11.81,10.12,8.11,2.01,2.61,27.6,23.5,12.6,5.6,3.8,0.1,6.7,True
21,South Coast-North,Mt. San Antonio,Omari Abdallah,28,28,624.0,22.3,54.3,2.56,3.08,9.64,10.11,4.52,5.6,2.247,21.2,18.5,2.1,8.2,3.8,1.3,2.9,True
22,South Coast-North,Mt. San Antonio,Ryan Wheeler,27,28,587.0,21.7,51.1,5.0,3.24,9.53,10.01,5.84,4.17,2.094,19.4,17.1,1.2,19.6,1.0,4.0,2.5,True
23,South Coast-North,East Los Angeles,Adrionne Marcus,23,23,509.0,22.1,54.4,4.27,2.36,13.14,9.3,9.37,-0.07,1.726,30.1,27.5,2.6,12.8,2.2,1.3,3.2,True
24,South Coast-South,Cerritos,Elijah Gelin,23,24,452.0,19.7,46.8,2.55,3.05,9.64,9.19,5.69,3.5,1.532,31.2,28.2,4.0,10.1,1.8,1.1,4.4,True
25,WSC South,Citrus,Rockwell Reynolds,26,26,551.0,21.2,52.1,5.0,3.19,8.92,9.06,7.62,1.44,1.828,34.1,27.7,2.6,15.1,0.9,3.1,2.9,True
26,Orange Empire Athletic,Fullerton,Jaqari Miles,26,30,604.0,23.2,49.8,2.44,3.22,7.37,9.01,5.22,3.79,2.008,31.4,26.0,3.3,10.0,1.7,0.6,3.8,True
27,WSC South,Citrus,Dev Hamilton,25,26,548.0,21.9,51.8,3.7,3.06,8.63,8.77,6.01,2.76,1.77,29.4,24.4,2.8,10.5,3.1,0.4,4.5,True
28,WSC South,West LA,Malachi Knight,26,26,698.0,26.8,66.3,2.76,1.32,14.31,8.76,8.32,0.44,2.263,34.0,30.7,5.0,8.7,2.9,0.8,4.3,True
29,South Coast-South,LA Harbor,Kristian Jemerson,20,22,617.0,30.9,69.4,2.81,1.51,15.4,8.76,4.49,4.28,2.005,28.3,28.0,4.9,8.9,3.8,1.5,3.9,True
30,South Coast-North,Mt. San Antonio,Osami Maciel,25,28,539.0,21.6,46.9,1.98,2.95,8.18,8.65,5.22,3.43,1.706,23.9,20.6,4.4,5.1,2.5,0.0,2.7,True
31,Orange Empire Athletic,Fullerton,Bishop Brooks,30,30,623.0,20.8,51.4,2.6,3.74,6.83,8.47,4.21,4.27,1.97,18.5,15.4,1.8,9.7,1.9,0.4,2.0,True
32,WSC South,Bakersfield,Zykiar Henderson,26,28,798.0,30.7,69.9,4.82,1.42,14.45,8.36,7.01,1.35,2.473,32.5,30.3,3.9,15.7,2.7,3.0,5.8,True
33,Central Valley,Sequoias,Kion Hayes,18,19,520.0,28.9,66.7,1.97,3.08,8.78,8.35,3.37,4.99,1.599,19.4,17.9,4.9,6.4,1.6,0.2,2.3,True
34,South Coast-South,Cerritos,Isaac Sowell,23,24,606.0,26.3,62.7,4.38,2.96,8.74,8.29,3.42,4.87,1.888,17.9,16.2,5.1,19.2,3.1,1.3,5.1,True
35,WSC North,Ventura,Dabe Princewill,23,24,299.0,13.0,30.5,2.22,4.18,9.87,8.18,2.63,5.55,0.909,14.4,12.4,1.7,7.5,5.4,0.3,1.7,True
36,South Coast-North,East Los Angeles,Imani Herring,22,23,341.0,15.5,36.5,4.57,3.26,11.98,8.14,7.64,0.5,1.037,25.0,22.6,3.4,15.9,1.7,2.6,3.1,True
37,South Coast-South,Cerritos,David Mack,21,24,571.0,27.2,59.1,1.89,2.93,8.39,7.94,2.88,5.06,1.718,19.4,17.6,5.1,4.6,3.7,0.1,3.8,True
38,WSC South,Citrus,Dylan Victorio,23,26,424.0,18.4,40.1,3.02,3.94,7.55,7.69,4.59,3.11,1.233,19.7,15.7,2.5,7.0,3.5,1.2,2.7,True
39,WSC North,Santa Barbara,Jack Berry,23,25,653.0,28.4,65.1,4.06,1.94,14.87,7.63,6.52,1.11,1.911,27.2,25.7,3.1,10.9,3.3,0.8,1.7,True
40,Orange Empire Athletic,Santiago Canyon,Jacob De Armas,30,30,926.0,30.9,77.3,2.91,1.79,12.23,7.58,6.68,0.89,2.709,26.8,22.5,7.0,10.3,3.4,2.0,4.2,True
41,WSC North,Santa Barbara,Mason Thomas,25,25,418.0,16.7,41.7,2.49,2.71,14.8,7.56,6.74,0.82,1.214,30.7,28.9,3.8,7.5,2.4,0.1,1.8,True
42,Orange Empire Athletic,Fullerton,Donovan Pitts,30,30,883.0,29.4,72.9,2.7,3.02,5.85,7.49,5.0,2.49,2.531,22.9,18.8,3.4,5.1,0.9,1.1,2.6,True
43,WSC North,LA Pierce,Andrew Shackelford,15,22,406.0,27.1,45.6,3.2,2.07,19.61,7.34,2.52,4.81,1.144,28.1,29.6,3.2,11.4,6.6,2.3,5.0,True
44,Inland Empire Athletic,San Bernardino Valley,Lincoln Liggins,21,21,594.0,28.3,70.8,2.57,2.71,10.18,7.3,2.5,4.8,1.687,20.9,19.1,3.9,9.5,3.8,0.4,3.0,True
45,Pacific Coast Athletic,San Diego City,Junior Camacho,25,26,685.0,27.4,64.9,2.53,1.58,9.35,7.25,4.8,2.46,1.905,32.9,28.8,6.1,9.0,2.5,0.2,5.1,True
46,Inland Empire Athletic,San Bernardino Valley,Bryan Cabrera,21,21,398.0,19.0,47.4,2.44,3.39,10.11,7.24,0.5,6.74,1.122,15.2,13.7,6.0,9.3,3.5,1.8,2.6,True
47,South Coast-North,Mt. San Antonio,Jeremy Williams,25,28,610.0,24.4,53.1,2.63,3.01,6.66,7.13,4.36,2.77,1.655,22.5,19.5,2.9,8.0,1.8,0.1,2.8,True
48,Pacific Coast Athletic,Palomar,Tore-Andre Gray,21,22,378.0,18.0,42.3,3.18,3.53,11.92,7.11,3.57,3.54,1.034,24.3,22.5,3.4,11.9,3.0,2.7,3.4,True
49,Orange Empire Athletic,Cypress,Michael Wright,26,26,900.0,34.6,86.0,4.91,1.61,12.03,6.89,7.05,-0.16,2.425,30.8,28.1,3.7,14.8,2.0,1.6,2.7,True
50,WSC South,Citrus,Grayson Boustead,26,26,360.0,13.8,34.1,2.75,4.1,6.68,6.82,2.33,4.49,0.953,11.7,9.2,3.4,7.7,4.4,0.3,2.9,True
51,WSC North,Allan Hancock,Noah Morris,22,22,611.0,27.8,69.3,4.48,2.48,10.31,6.76,6.7,0.06,1.629,25.4,24.0,1.0,21.8,1.2,0.8,3.0,True
52,Orange Empire Athletic,Irvine Valley,Matt Mowers,19,22,546.0,28.7,61.4,3.84,1.3,13.68,6.73,5.12,1.61,1.438,31.6,29.6,5.0,13.0,1.3,0.6,4.0,True
53,WSC North,Ventura,Tong Tong,22,24,308.0,14.0,31.4,4.34,4.14,8.36,6.67,4.75,1.93,0.797,13.3,11.5,1.9,17.4,2.9,1.5,3.4,True
54,Orange Empire Athletic,Fullerton,Jaedyn Patterson,30,30,632.0,21.1,52.2,1.65,3.18,4.97,6.61,1.49,5.13,1.644,10.9,9.0,7.3,6.2,2.0,0.3,3.8,True
55,South Coast-South,LA Harbor,Nate Guevara,21,22,485.0,23.1,54.6,2.07,2.4,13.15,6.51,3.11,3.39,1.246,23.2,22.9,7.1,5.7,3.2,1.1,2.1,True
56,Inland Empire Athletic,San Bernardino Valley,Jaden Riley,21,21,580.0,27.6,69.1,2.23,1.9,9.2,6.33,2.8,3.53,1.474,26.2,23.8,7.8,5.7,3.0,0.3,5.3,True
57,WSC South,West LA,Jase Stewart,26,26,518.0,19.9,49.2,4.85,2.81,11.8,6.25,6.14,0.11,1.289,26.3,23.8,2.3,19.1,1.4,2.1,2.5,True
58,WSC North,Allan Hancock,Arlind Konjuhi,22,22,627.0,28.5,71.1,2.12,1.46,9.72,6.17,4.89,1.29,1.559,31.3,29.3,4.6,5.3,2.9,0.1,5.5,True
59,WSC North,Moorpark,Josh Castaniero,24,25,705.0,29.4,70.1,2.03,2.01,10.91,6.09,1.53,4.56,1.73,12.1,11.4,9.1,9.1,2.9,1.3,2.8,True
60,South Coast-South,Cerritos,Jaysen Owens,24,24,465.0,19.4,48.1,3.92,3.88,6.36,5.91,2.01,3.91,1.114,13.7,12.3,3.1,12.0,2.4,1.4,3.3,True
61,Central Valley,Sequoias,Qshawn Ongele,19,19,365.0,19.2,46.8,2.39,4.0,6.15,5.72,2.02,3.7,0.838,19.7,18.0,1.8,12.3,0.5,0.5,2.3,True
62,WSC North,Moorpark,Roman Finney,24,25,552.0,23.0,54.9,3.11,2.53,10.48,5.67,2.79,2.88,1.284,23.8,22.5,4.8,7.3,2.7,0.6,2.9,True
63,Central Valley,Sequoias,Zaquien Whitehead,15,19,315.0,21.0,40.4,5.0,4.07,6.07,5.64,-1.63,7.28,0.715,16.9,15.6,1.4,19.0,1.2,5.6,5.2,True
64,Pacific Coast Athletic,Palomar,Angel Ochoa,22,22,726.0,33.0,81.2,2.23,1.19,10.37,5.56,5.53,0.03,1.647,24.9,23.2,6.7,4.3,1.7,0.0,2.9,True
65,Inland Empire Athletic,San Bernardino Valley,Jaison Joyce,19,21,459.0,24.2,54.7,3.81,3.05,8.44,5.56,2.06,3.51,1.06,20.3,18.7,3.4,12.0,1.6,0.3,2.8,True
66,Pacific Coast Athletic,Palomar,Isaiah Pomare,20,22,629.0,31.4,70.3,3.98,2.9,10.35,5.55,4.64,0.91,1.425,25.6,23.6,2.7,13.8,1.9,1.5,2.3,True
67,Orange Empire Athletic,Santa Ana,Joshua Garland,22,25,418.0,19.0,41.6,3.23,2.99,10.35,5.52,3.37,2.14,0.954,29.3,27.5,3.8,12.4,2.1,1.2,2.9,True
68,South Coast-North,Mt. San Antonio,Ethan Nelson,26,28,394.0,15.2,34.3,4.31,3.6,4.98,5.45,1.28,4.16,0.872,20.4,17.6,2.3,19.7,2.2,1.9,5.5,True
69,WSC South,Antelope Valley,Ripine Vagaia,23,24,649.0,28.2,67.4,2.99,3.21,9.84,5.44,2.1,3.35,1.467,20.5,17.8,4.2,12.0,2.8,1.7,4.0,True
70,South Coast-North,East Los Angeles,Terrence Hampton,22,23,580.0,26.4,62.0,4.75,2.34,9.26,5.42,5.32,0.1,1.291,28.2,25.2,4.3,17.2,0.9,2.7,5.2,True
71,Inland Empire Athletic,San Bernardino Valley,Stanley Thomas III,21,21,466.0,22.2,55.6,2.72,3.08,8.27,5.39,0.93,4.46,1.051,27.5,25.0,2.5,8.5,3.7,0.7,4.0,True
72,WSC South,West LA,Chase Coleman,26,26,711.0,27.3,67.6,2.36,1.87,10.91,5.36,6.68,-1.32,1.577,29.6,26.2,6.5,6.5,2.1,0.2,2.4,True
73,WSC North,Allan Hancock,TJ Hollinger,20,22,466.0,23.3,52.8,4.38,3.06,8.72,5.17,2.72,2.46,1.017,18.0,16.9,3.5,15.1,3.2,0.4,4.2,True
74,WSC South,Antelope Valley,Mister Burnside,24,24,887.0,37.0,92.1,2.93,1.55,9.56,5.16,4.61,0.55,1.93,27.6,23.9,6.4,11.6,1.4,0.2,4.5,True
75,Central Valley,Sequoias,Kareem Barnett,19,19,425.0,22.4,54.5,2.46,3.49,5.55,5.13,-0.43,5.55,0.9,18.8,17.2,5.0,7.6,2.6,0.4,5.2,True
76,WSC North,Moorpark,Eric Kubel,25,25,655.0,26.2,65.2,2.88,2.24,9.86,5.05,4.18,0.87,1.4,28.8,27.3,2.6,7.3,1.4,0.7,3.3,True
77,Orange Empire Athletic,Saddleback,Charlie Stallings,27,28,624.0,23.1,54.7,4.61,1.99,12.46,4.81,5.41,-0.6,1.272,38.5,36.7,2.7,15.8,2.1,1.4,4.8,True
78,WSC North,Ventura,Kam'Ron Cigar,21,24,568.0,27.0,57.9,2.81,3.12,6.49,4.81,5.17,-0.37,1.154,27.5,23.6,2.5,6.9,1.1,0.6,4.2,True
79,WSC South,Glendale,Brandon Blair,25,25,875.0,35.0,87.1,2.46,1.0,14.18,4.78,5.14,-0.36,1.8,29.5,28.7,6.2,8.5,3.3,0.3,3.5,True
80,South Coast-North,Pasadena City,Julian Thompkins,21,23,373.0,17.8,40.1,2.87,3.14,13.23,4.68,4.36,0.33,0.753,23.1,22.7,2.6,9.7,2.8,0.6,2.0,True
81,Pacific Coast Athletic,Palomar,Jaidyn Norman,22,22,639.0,29.0,71.5,2.76,2.66,9.46,4.66,3.87,0.79,1.277,24.5,22.6,3.9,12.3,2.5,0.1,3.4,True
82,WSC North,Moorpark,Jozef Zlocha,24,25,312.0,13.0,31.0,3.2,3.38,9.47,4.65,0.46,4.2,0.63,18.8,17.9,3.5,13.9,2.2,1.2,3.7,True
83,South Coast-South,El Camino,Rocco Gaffoglio,24,25,649.0,27.0,63.6,2.35,1.82,10.89,4.62,5.03,-0.41,1.283,32.8,30.8,2.4,4.4,2.1,0.0,3.8,True
84,Orange Empire Athletic,Santiago Canyon,Matt Mendias,29,30,478.0,16.5,39.9,2.68,3.4,9.15,4.5,4.72,-0.22,0.949,23.2,19.5,5.9,7.5,2.2,1.3,3.4,True
85,Pacific Coast Athletic,Palomar,Benjie Nudo,22,22,538.0,24.5,60.2,2.59,2.97,9.22,4.42,3.29,1.13,1.036,23.7,21.9,4.3,8.8,2.7,0.2,3.4,True
86,Pacific Coast Athletic,San Diego City,Andrew Azebeokhai Jr,24,26,489.0,20.4,46.3,2.54,3.48,6.49,4.4,2.1,2.3,0.94,16.2,14.5,1.9,6.3,1.6,0.9,2.9,True
87,WSC North,Santa Barbara,James Reach,25,25,684.0,27.4,68.2,2.84,1.97,11.63,4.39,4.47,-0.08,1.327,25.0,23.4,4.5,9.4,2.2,0.7,3.2,True
88,WSC North,Moorpark,Noah Cotton,25,25,356.0,14.2,35.4,2.67,3.39,9.19,4.37,3.69,0.68,0.688,26.5,24.9,2.5,8.4,1.8,0.4,2.9,True
89,Orange Empire Athletic,Santa Ana,Aaron De Santiago,25,25,727.0,29.1,72.4,2.64,1.93,9.13,4.3,3.62,0.67,1.39,29.6,27.7,4.1,7.3,2.4,0.2,4.3,True
90,Orange Empire Athletic,Santiago Canyon,Dominic Bolton,30,30,889.0,29.6,74.2,2.69,2.74,8.92,4.26,6.49,-2.22,1.701,20.5,17.8,1.8,5.9,1.0,0.5,1.4,True
91,WSC North,Ventura,Jeremiah Wilson,24,24,520.0,21.7,53.1,2.27,3.83,5.84,4.16,3.96,0.19,0.956,19.5,16.5,1.9,6.0,1.2,0.5,1.4,True
92,South Coast-North,East Los Angeles,Landon Winston,19,23,452.0,23.8,48.3,2.55,3.22,7.98,4.15,4.25,-0.1,0.834,26.1,23.3,2.1,8.8,2.6,0.5,3.3,True
93,WSC South,Bakersfield,Zach Garnett,28,28,657.0,23.5,57.6,3.59,2.89,10.22,4.13,3.51,0.62,1.205,19.3,18.0,3.9,9.5,1.4,2.4,3.4,True
94,WSC South,Bakersfield,Godwill Fomusoh,28,28,598.0,21.4,52.4,3.6,3.15,10.19,4.1,3.24,0.86,1.091,17.5,16.2,4.4,12.8,2.5,1.5,3.2,True
95,WSC North,Ventura,Kevin Anigbogu,24,24,397.0,16.5,40.5,4.07,3.81,5.67,3.99,1.7,2.29,0.71,19.1,16.7,1.7,15.6,0.7,3.1,4.2,True
96,South Coast-North,East Los Angeles,Quinlan Daly,23,23,566.0,24.6,60.5,2.23,3.3,7.8,3.97,4.06,-0.09,1.013,20.6,18.5,0.7,7.7,2.2,0.3,1.9,True
97,Inland Empire Athletic,San Bernardino Valley,Jude Brideba,21,21,404.0,19.2,48.2,4.7,3.94,6.82,3.94,-0.73,4.68,0.733,8.4,7.7,1.2,10.0,2.4,2.7,1.4,True
98,WSC North,Moorpark,Dominique Brutus,24,25,341.0,14.2,33.9,4.79,3.35,8.75,3.93,0.58,3.35,0.614,22.4,21.3,1.7,16.6,2.5,2.8,4.9,True
99,Orange Empire Athletic,Riverside,Kollen Murphy,24,26,657.0,27.4,63.1,2.92,1.72,9.2,3.9,3.3,0.6,1.181,32.2,29.6,5.0,7.7,2.1,0.6,4.8,True
100,WSC South,Canyons,Dwayne Boston Jr.,24,24,734.0,30.6,76.0,3.25,2.07,9.84,3.86,2.71,1.14,1.303,25.9,24.5,2.8,11.6,2.7,0.7,4.0,True
101,Orange Empire Athletic,Riverside,Tylon Williams,26,26,586.0,22.5,56.3,2.55,2.5,9.07,3.77,1.18,2.6,1.031,21.6,19.9,4.3,6.2,3.6,0.5,3.2,True
102,South Coast-South,Cerritos,DJ Holt,22,24,418.0,19.0,43.2,2.09,3.73,4.16,3.71,1.71,2.0,0.723,17.7,15.9,3.3,5.4,0.9,0.0,3.0,True
103,South Coast-North,Rio Hondo,Bobby Reyes,26,26,808.0,31.1,76.7,2.4,1.07,13.92,3.69,5.06,-1.37,1.383,28.5,26.4,7.8,7.7,3.4,1.1,3.9,True
104,Orange Empire Athletic,Riverside,Matthias Tinker,26,26,489.0,18.8,47.0,4.0,3.32,8.94,3.65,2.14,1.5,0.841,16.7,15.4,2.8,12.2,1.8,2.1,1.8,True
105,WSC South,Canyons,Jeremiah Williams,24,24,463.0,19.3,47.9,3.72,3.06,9.59,3.61,0.94,2.67,0.787,25.1,23.7,3.0,11.8,4.1,1.2,4.7,True
106,South Coast-South,Compton,Keyshawn Ross Jr.,18,22,421.0,23.4,47.3,2.81,3.03,12.69,3.61,1.63,1.98,0.712,21.9,21.3,2.6,11.2,4.4,1.0,3.1,True
107,Pacific Coast Athletic,Southwestern,Derek Edmond,22,23,749.0,34.0,80.4,3.55,1.36,10.32,3.49,6.29,-2.8,1.239,35.0,33.2,3.1,10.0,1.3,0.9,5.2,True
108,Pacific Coast Athletic,San Diego City,Pharaoh Amadi,23,26,432.0,18.8,40.9,2.77,3.68,5.45,3.35,1.09,2.26,0.694,16.5,14.2,3.3,11.4,2.3,0.4,3.6,True
109,Orange Empire Athletic,Santiago Canyon,Jayden Oei,30,30,665.0,22.2,55.5,2.45,3.11,7.9,3.25,5.32,-2.07,1.066,23.7,20.2,3.6,4.6,1.5,0.2,2.2,True
110,Pacific Coast Athletic,San Diego City,Micah Brickner,23,26,454.0,19.7,43.0,2.95,3.58,5.31,3.21,0.47,2.74,0.711,16.7,14.7,2.5,11.2,2.2,0.6,3.9,True
111,Orange Empire Athletic,Santa Ana,Christien Jimenez,15,25,496.0,33.1,49.4,1.79,2.21,8.04,3.2,1.01,2.19,0.784,13.8,13.1,11.0,7.9,1.9,0.1,5.2,True
112,WSC South,Canyons,Craig Irons,23,24,469.0,20.4,48.6,4.85,3.21,9.12,3.13,3.68,-0.55,0.73,23.6,22.2,2.8,19.5,0.8,2.1,3.0,True
113,Inland Empire Athletic,Chaffey,Avery Garcia,23,24,606.0,26.3,60.9,2.03,1.69,10.61,3.09,0.53,2.56,0.907,20.4,20.1,9.4,6.1,3.7,0.3,4.8,True
114,WSC South,West LA,Qiani Bowens,25,26,413.0,16.5,39.3,2.27,3.06,8.45,2.9,2.84,0.06,0.61,20.2,18.0,6.8,7.0,2.3,0.6,4.6,True
115,WSC South,Antelope Valley,Trovary Cavil,24,24,699.0,29.1,72.6,2.13,2.58,7.28,2.88,2.73,0.15,1.037,20.5,17.7,7.2,3.8,1.7,0.2,4.6,True
116,South Coast-North,East Los Angeles,Isaiah Hill,20,23,386.0,19.3,41.3,2.65,3.29,6.68,2.84,2.71,0.14,0.561,22.8,20.2,4.7,8.0,2.5,1.2,5.2,True
117,South Coast-South,El Camino,Linken Tate,23,25,425.0,18.5,41.7,2.56,2.51,9.1,2.82,-0.92,3.74,0.612,21.3,20.0,7.6,8.2,3.7,0.4,5.5,True
118,Pacific Coast Athletic,San Diego City,Luke Hecht,22,26,579.0,26.3,54.9,1.79,3.58,4.9,2.8,1.31,1.49,0.835,9.8,8.5,3.5,3.9,1.1,0.3,1.2,True
119,WSC North,Allan Hancock,Dasio Gonzales,21,22,310.0,14.8,35.1,2.43,3.96,6.35,2.8,3.0,-0.2,0.452,19.7,18.3,1.4,7.0,1.4,0.2,2.3,True
120,Orange Empire Athletic,Cypress,Mason Johnson,20,26,317.0,15.8,30.3,3.48,3.69,7.89,2.76,0.79,1.96,0.457,22.5,20.8,3.0,15.7,1.7,0.9,4.6,True
121,South Coast-North,Mt. San Antonio,Zion Booker,22,28,582.0,26.5,50.7,2.51,3.69,2.28,2.75,-0.96,3.71,0.822,14.6,12.2,2.6,6.9,2.5,1.1,4.2,True
122,Orange Empire Athletic,Santiago Canyon,Chico Lopez,25,30,484.0,19.4,40.4,3.64,3.64,7.39,2.74,4.82,-2.09,0.7,28.3,23.6,3.0,13.4,1.1,0.9,3.4,True
123,South Coast-North,Pasadena City,Donovan Ford,18,23,407.0,22.6,43.8,4.15,2.95,11.22,2.67,0.32,2.35,0.574,24.9,24.3,5.6,20.1,3.1,2.4,5.2,True
124,South Coast-North,East Los Angeles,Jayden Barnes,22,23,636.0,28.9,68.0,1.61,2.0,6.47,2.64,3.16,-0.52,0.885,19.9,17.7,8.1,6.0,2.5,0.2,5.0,True
125,Orange Empire Athletic,Santiago Canyon,Salim Semaan,29,30,803.0,27.7,67.1,3.23,2.93,7.28,2.63,4.44,-1.81,1.136,18.9,16.0,4.6,9.9,1.2,0.5,2.6,True
126,Orange Empire Athletic,Riverside,PJ Pounds,24,26,562.0,23.4,54.0,4.92,2.75,7.89,2.59,1.73,0.86,0.785,26.5,24.6,2.0,16.2,2.2,2.2,4.5,True
127,Orange Empire Athletic,Santa Ana,Illinois Bidima Jemminez,25,25,522.0,20.9,52.0,5.0,3.69,7.28,2.45,0.03,2.43,0.706,12.8,12.1,0.9,15.3,1.2,4.8,2.4,True
128,Pacific Coast Athletic,San Diego City,Matin Madadkar,26,26,479.0,18.4,45.4,2.86,3.58,4.55,2.45,0.79,1.65,0.64,16.0,13.9,3.1,4.5,2.2,0.1,2.7,True
129,Orange Empire Athletic,Cypress,Jack Rivera,25,26,734.0,29.4,70.1,2.57,2.64,7.56,2.42,2.57,-0.15,0.984,24.8,22.7,2.7,7.8,2.2,0.3,4.6,True
130,WSC North,Oxnard,Carter Reid,20,20,701.0,35.0,87.7,4.82,1.19,13.1,2.35,5.2,-2.85,0.93,30.1,28.7,2.3,11.8,1.1,1.1,2.5,True
131,Inland Empire Athletic,Chaffey,Semaj Morrison,23,24,419.0,18.2,42.1,2.19,2.92,9.79,2.28,1.29,0.98,0.527,20.8,20.5,4.6,7.1,2.0,0.1,3.7,True
132,South Coast-South,Cerritos,Blake Brewer,24,24,436.0,18.2,45.1,2.74,4.05,2.67,2.22,0.51,1.71,0.557,16.3,14.4,2.1,8.8,0.8,0.4,3.0,True
133,Orange Empire Athletic,Cypress,Lincoln Dean,25,26,498.0,19.9,47.6,1.98,3.18,7.31,2.18,2.14,0.04,0.63,19.5,17.7,5.6,5.4,1.5,0.1,2.7,True
134,Orange Empire Athletic,Santa Ana,Kelvin Paul,20,25,325.0,16.2,32.4,3.65,3.42,7.0,2.16,0.6,1.56,0.411,22.2,21.0,2.5,11.5,1.4,0.2,3.2,True
135,South Coast-South,El Camino,Kai Johnson,21,25,589.0,28.0,57.7,2.28,2.21,8.42,2.14,0.41,1.73,0.729,28.1,26.1,5.2,6.8,4.0,0.5,6.1,True
136,WSC North,Moorpark,Jake Field,23,25,471.0,20.5,46.9,2.67,3.02,6.94,2.12,1.05,1.07,0.588,22.4,21.1,4.0,8.2,1.6,0.1,4.1,True
137,WSC North,Allan Hancock,Sir Roberts,18,22,288.0,16.0,32.7,2.71,3.86,5.6,2.06,0.05,2.0,0.355,16.0,14.9,2.9,6.8,3.5,0.4,5.0,True
138,WSC South,Canyons,Wyatt Wilson,22,24,511.0,23.2,52.9,2.58,3.32,7.95,1.97,0.73,1.24,0.614,14.8,13.9,3.9,7.1,2.1,1.0,2.3,True
