rank,conference,team,player,games,strict_team_games,minutes,mpg,min_pct,position_scale,creation_role,raw_bpm,bpm,obpm,dbpm,vorp_style,pts_per100,adj_pts_per100,ast_per100,reb_per100,stl_per100,blk_per100,to_per100,qualifies_minutes
1,Central Valley,Sequoias,Mason Dorsey,19,19,581.0,30.6,74.5,2.09,1.41,16.26,15.83,6.27,9.56,3.078,21.4,19.5,14.6,12.9,3.7,2.3,4.7,True
2,Pacific Coast Athletic,San Diego City,Dylan Griffin,26,26,744.0,28.6,70.5,4.54,1.0,17.17,15.07,10.1,4.97,3.817,38.3,33.7,6.0,16.4,4.0,2.3,4.6,True
3,WSC South,Citrus,Alek Sanchez,26,26,496.0,19.1,46.9,2.37,3.06,14.57,14.71,7.64,7.07,2.486,19.9,16.6,6.9,6.3,5.2,1.0,2.4,True
4,WSC South,Citrus,JJ Sanchez,26,26,692.0,26.6,65.5,2.34,2.14,14.55,14.68,9.62,5.06,3.463,22.0,18.4,7.7,7.7,3.7,0.4,1.7,True
5,Orange Empire Athletic,Fullerton,MJ Smith,30,30,572.0,19.1,47.2,4.11,3.13,12.72,14.36,6.45,7.91,2.825,15.3,13.2,5.6,11.7,2.1,3.7,3.4,True
6,South Coast-South,Cerritos,Dorian Tate,24,24,640.0,26.7,66.2,4.18,1.86,14.26,13.81,9.55,4.26,3.064,34.3,31.4,3.6,15.7,2.4,0.9,3.2,True
7,Orange Empire Athletic,Fullerton,Brayden Smith,30,30,729.0,24.3,60.2,4.84,2.43,12.04,13.69,8.68,5.01,3.452,31.4,27.0,2.3,15.3,1.8,2.5,2.6,True
8,Orange Empire Athletic,Fullerton,Trey Thompson,30,30,604.0,20.1,49.8,1.88,2.6,11.39,13.03,5.86,7.18,2.741,23.6,19.8,8.3,4.9,4.0,1.0,4.0,True
9,Orange Empire Athletic,Fullerton,Yoda Oke,28,30,841.0,30.0,69.4,3.58,2.11,11.26,12.9,8.27,4.63,3.784,31.0,26.3,3.7,16.4,1.6,0.9,3.8,True
10,WSC South,Citrus,Amiri Meadows,24,26,643.0,26.8,60.8,2.66,2.48,12.4,12.54,6.96,5.58,2.805,22.3,18.3,7.9,6.3,5.2,0.4,4.3,True
11,Central Valley,Sequoias,Jayden Abuyen,16,19,384.0,24.0,49.2,2.11,3.37,12.88,12.46,2.62,9.84,1.649,18.0,16.7,5.7,8.2,5.0,1.1,3.7,True
12,South Coast-North,Mt. San Antonio,Dayvon Gates,28,28,922.0,32.9,80.2,2.27,1.0,11.79,12.26,8.09,4.17,3.908,32.7,28.3,8.9,7.7,2.8,0.3,5.3,True
13,WSC South,Citrus,Leo Ricketts,26,26,773.0,29.7,73.1,2.69,1.91,11.71,11.85,9.91,1.94,3.212,30.2,24.9,5.8,5.2,2.7,0.1,3.8,True
