conference,team,games_checked,games_used,games_rejected,strict_possessions,strict_ortg,strict_drtg,strict_net,bpm_team_target,obpm_team_target,team_bpm_adjustment,team_obpm_adjustment,reject_reasons
Orange Empire Athletic,Saddleback,30,30,0,2112.9,102.6,98.4,4.2,1.67,1.45,-6.266,-2.56,{}
WSC South,Citrus,32,30,2,2431.5,103.8,88.0,15.8,6.32,1.93,-1.134,-1.813,"{'incomplete_minutes_total': 1, 'team_missing_from_box': 1}"
Orange Empire Athletic,Santiago Canyon,29,29,0,2197.8,110.6,102.1,8.5,3.4,4.67,-4.35,0.408,{}
Orange Empire Athletic,Fullerton,32,28,4,2106.6,112.8,90.5,22.4,8.94,5.56,0.858,1.137,"{'incomplete_minutes_total': 2, 'score_total_mismatch': 2}"
WSC North,Ventura,30,28,2,2051.9,112.4,96.4,16.0,6.39,5.4,-1.636,0.74,{'incomplete_minutes_total': 2}
WSC South,Canyons,28,28,0,2116.2,102.0,101.0,1.0,0.4,1.23,-6.451,-2.583,{}
Orange Empire Athletic,Riverside,30,27,3,1969.1,99.3,93.5,5.8,2.32,0.14,-3.247,-2.276,"{'team_missing_from_box': 1, 'score_total_mismatch': 2}"
WSC South,Glendale,27,27,0,1955.3,89.7,98.0,-8.3,-3.33,-3.71,-8.056,-5.832,{}
Orange Empire Athletic,Santa Ana,27,26,1,1960.2,93.9,101.9,-8.1,-3.22,-2.03,-9.411,-5.195,{'incomplete_minutes_total': 1}
WSC North,Allan Hancock,29,26,3,1914.6,99.7,93.9,5.7,2.3,0.29,-4.383,-2.891,{'incomplete_minutes_total': 3}
Orange Empire Athletic,Orange Coast,28,25,3,2026.7,102.3,99.0,3.3,1.32,1.36,-6.808,-2.521,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 2}"
Other,Golden West,27,25,2,1924.5,90.7,113.4,-22.7,-9.06,-3.28,-14.117,-5.761,"{'incomplete_player_box': 1, 'team_missing_from_box': 1}"
South Coast-North,Mt. San Antonio,27,25,2,1930.2,91.4,98.4,-6.9,-2.78,-3.0,-7.522,-4.856,{'incomplete_player_box': 2}
South Coast-North,Pasadena City,31,25,6,1852.6,95.9,89.7,6.2,2.48,-1.23,-5.481,-5.583,"{'incomplete_minutes_total': 5, 'team_missing_from_box': 1}"
South Coast-South,Cerritos,29,25,4,1834.6,99.5,91.6,7.9,3.16,0.24,-4.068,-3.235,"{'incomplete_minutes_total': 3, 'incomplete_player_box': 1}"
WSC North,Moorpark,28,25,3,1981.3,105.0,92.5,12.5,5.01,2.42,-2.583,-1.313,"{'incomplete_minutes_total': 2, 'score_total_mismatch': 1}"
WSC South,West LA,30,25,5,2034.3,101.6,94.2,7.4,2.97,1.07,-3.821,-2.163,"{'incomplete_minutes_total': 3, 'score_total_mismatch': 2}"
Inland Empire Athletic,San Bernardino Valley,31,24,7,1759.1,116.1,85.3,30.8,12.32,6.88,0.978,0.847,"{'incomplete_minutes_total': 4, 'team_missing_from_box': 1, 'incomplete_player_box': 2}"
Orange Empire Athletic,Cypress,30,24,6,1610.8,100.4,97.3,3.1,1.24,0.61,-5.46,-2.865,{'incomplete_minutes_total': 6}
Orange Empire Athletic,Irvine Valley,28,24,4,1557.2,87.2,97.5,-10.3,-4.11,-4.69,-9.466,-7.382,"{'incomplete_minutes_total': 3, 'score_total_mismatch': 1}"
Pacific Coast Athletic,San Diego City,29,24,5,1788.3,113.4,93.4,20.0,8.01,5.79,0.323,2.091,{'incomplete_minutes_total': 5}
WSC North,LA Pierce,28,24,4,1773.1,82.5,112.5,-30.1,-12.02,-6.59,-15.763,-8.227,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 2, 'incomplete_player_box': 1}"
Central Valley,Sequoias,30,23,7,1744.8,111.0,84.5,26.5,10.61,4.83,0.3,-0.293,"{'incomplete_minutes_total': 6, 'score_total_mismatch': 1}"
WSC South,Bakersfield,27,23,4,1662.3,96.6,97.8,-1.2,-0.48,-0.95,-6.799,-4.378,{'incomplete_minutes_total': 4}
Inland Empire Athletic,Victor Valley,28,22,6,1628.7,95.7,101.4,-5.7,-2.28,-1.31,-6.704,-3.633,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 5}"
Pacific Coast Athletic,Grossmont,27,22,5,1963.5,99.7,99.9,-0.3,-0.1,0.29,-9.546,-5.482,"{'incomplete_minutes_total': 4, 'team_missing_from_box': 1}"
Pacific Coast Athletic,Palomar,28,22,6,1749.9,109.5,94.5,15.0,5.99,4.22,-1.306,0.361,{'incomplete_minutes_total': 6}
WSC North,Santa Barbara,27,22,5,1570.6,100.9,107.0,-6.2,-2.47,0.77,-8.93,-2.604,"{'incomplete_minutes_total': 4, 'score_total_mismatch': 1}"
South Coast-North,East Los Angeles,30,21,9,1688.1,110.3,91.5,18.8,7.51,4.55,-0.403,0.687,"{'score_total_mismatch': 2, 'incomplete_minutes_total': 6, 'incomplete_player_box': 1}"
South Coast-North,Rio Hondo,28,21,7,1624.0,95.6,114.5,-18.9,-7.56,-1.35,-13.657,-4.796,"{'incomplete_minutes_total': 5, 'score_total_mismatch': 2}"
WSC South,Antelope Valley,28,21,7,1585.6,93.7,90.9,2.7,1.08,-2.11,-4.919,-5.082,"{'incomplete_minutes_total': 6, 'team_missing_from_box': 1}"
South Coast-South,Long Beach,29,20,9,1562.4,104.5,98.8,5.7,2.28,2.21,-4.641,-1.294,"{'incomplete_minutes_total': 8, 'score_total_mismatch': 1}"
WSC North,Oxnard,25,20,5,1535.2,92.4,103.2,-10.7,-4.3,-2.6,-9.269,-4.576,"{'score_total_mismatch': 2, 'incomplete_minutes_total': 2, 'incomplete_player_box': 1}"
WSC South,Santa Monica,27,20,7,1512.0,101.1,104.3,-3.2,-1.27,0.88,-7.901,-2.652,"{'score_total_mismatch': 4, 'incomplete_minutes_total': 2, 'incomplete_player_box': 1}"
Inland Empire Athletic,Chaffey,28,19,9,1383.3,102.4,94.8,7.5,3.01,1.37,-4.685,-2.751,"{'incomplete_minutes_total': 6, 'team_missing_from_box': 2, 'incomplete_player_box': 1}"
South Coast-South,LA Southwest,27,19,8,1422.9,100.3,100.9,-0.6,-0.22,0.54,-5.9,-2.309,"{'incomplete_minutes_total': 7, 'incomplete_player_box': 1}"
WSC North,Cuesta,28,19,9,1388.4,103.6,104.5,-0.9,-0.37,1.85,-7.408,-1.805,"{'incomplete_minutes_total': 8, 'score_total_mismatch': 1}"
Inland Empire Athletic,Desert,28,18,10,1450.5,87.1,107.3,-20.1,-8.05,-4.72,-13.446,-7.584,"{'incomplete_minutes_total': 9, 'incomplete_player_box': 1}"
Inland Empire Athletic,Palo Verde,26,18,8,1456.3,92.5,114.0,-21.5,-8.6,-2.58,-15.254,-6.198,"{'incomplete_player_box': 3, 'incomplete_minutes_total': 5}"
South Coast-North,LA Trade Tech,27,18,9,1445.9,93.7,102.7,-9.0,-3.6,-2.09,-8.238,-3.774,"{'incomplete_minutes_total': 5, 'incomplete_player_box': 4}"
WSC South,LA Valley,28,18,10,1371.2,89.8,99.0,-9.1,-3.65,-3.63,-8.306,-5.623,"{'team_missing_from_box': 6, 'incomplete_minutes_total': 1, 'score_total_mismatch': 2, 'incomplete_player_box': 1}"
South Coast-South,Compton,27,17,10,1254.2,94.4,103.4,-9.0,-3.6,-1.81,-9.746,-4.524,"{'incomplete_minutes_total': 6, 'score_total_mismatch': 2, 'incomplete_player_box': 2}"
Inland Empire Athletic,Copper Mountain,30,16,14,1180.2,97.3,99.8,-2.5,-1.02,-0.66,-5.399,-2.49,"{'incomplete_minutes_total': 10, 'incomplete_player_box': 3, 'team_missing_from_box': 1}"
Pacific Coast Athletic,San Diego Mesa,27,13,14,1064.9,95.5,104.6,-9.1,-3.64,-1.37,-8.854,-3.459,{'incomplete_minutes_total': 14}
South Coast-South,LA Harbor,30,13,17,1025.6,100.4,91.2,9.3,3.71,0.6,-3.354,-2.741,"{'incomplete_minutes_total': 14, 'incomplete_player_box': 3}"
Inland Empire Athletic,Cerro Coso,29,12,17,901.6,96.5,100.0,-3.5,-1.42,-0.98,-6.772,-3.38,{'incomplete_minutes_total': 17}
Bay Valley,Solano,27,11,16,911.9,95.0,101.8,-6.8,-2.72,-1.59,-8.691,-4.623,"{'incomplete_minutes_total': 15, 'score_total_mismatch': 1}"
Central Valley,Porterville,30,11,19,823.4,86.6,93.6,-7.0,-2.82,-4.94,-6.806,-5.78,"{'incomplete_minutes_total': 16, 'incomplete_player_box': 3}"
Pacific Coast Athletic,Southwestern,28,11,17,869.2,94.1,96.8,-2.6,-1.06,-1.93,-6.754,-4.785,"{'incomplete_minutes_total': 15, 'score_total_mismatch': 2}"
Pacific Coast Athletic,San Diego Miramar,29,10,19,726.7,101.4,89.3,12.1,4.84,0.99,-1.01,-2.236,{'incomplete_minutes_total': 19}
Coast-South,San Jose,30,9,21,666.3,98.5,91.7,6.8,2.7,-0.19,-4.143,-3.338,"{'incomplete_minutes_total': 20, 'incomplete_player_box': 1}"
Inland Empire Athletic,Barstow,27,9,18,706.3,86.2,123.9,-37.7,-15.06,-5.08,-18.853,-6.865,"{'score_total_mismatch': 3, 'incomplete_minutes_total': 12, 'incomplete_player_box': 3}"
Pacific Coast Athletic,Cuyamaca,28,9,19,717.3,86.9,108.0,-21.2,-8.48,-4.83,-13.292,-6.706,"{'team_missing_from_box': 1, 'incomplete_minutes_total': 18}"
Big Eight,Cosumnes River,30,8,22,591.6,106.3,95.0,11.3,4.53,2.95,-2.848,-1.234,{'incomplete_minutes_total': 22}
Inland Empire Athletic,Mt. San Jacinto,29,8,21,612.8,103.3,92.7,10.6,4.24,1.75,-4.313,-3.111,"{'team_missing_from_box': 13, 'incomplete_minutes_total': 8}"
Pacific Coast Athletic,MiraCosta,28,8,20,658.8,98.2,102.9,-4.7,-1.88,-0.29,-7.845,-3.484,"{'incomplete_minutes_total': 17, 'score_total_mismatch': 2, 'incomplete_player_box': 1}"
Big Eight,Sacramento City,28,7,21,540.5,95.5,90.8,4.6,1.85,-1.39,-5.74,-4.796,{'incomplete_minutes_total': 21}
Coast-North,Chabot,30,7,23,530.0,105.1,106.4,-1.3,-0.53,2.47,-8.916,-2.595,{'incomplete_minutes_total': 23}
Golden Valley,Redwoods,28,7,21,492.1,107.3,90.2,17.1,6.83,3.35,-1.788,-1.796,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 20}"
Pacific Coast Athletic,Imperial Valley,26,7,19,575.3,73.7,117.0,-43.3,-17.31,-10.09,-19.617,-10.076,"{'incomplete_minutes_total': 17, 'incomplete_player_box': 2}"
Bay Valley,Napa Valley,28,6,22,491.1,92.9,99.2,-6.3,-2.53,-2.43,-8.884,-5.454,"{'incomplete_minutes_total': 20, 'score_total_mismatch': 1, 'incomplete_player_box': 1}"
Coast-South,Foothill,29,6,23,445.4,94.1,102.6,-8.5,-3.41,-1.94,-11.426,-5.663,{'incomplete_minutes_total': 23}
South Coast-South,El Camino,28,6,22,477.2,85.7,90.5,-4.8,-1.93,-5.29,-5.055,-5.605,"{'team_missing_from_box': 14, 'incomplete_minutes_total': 7, 'score_total_mismatch': 1}"
Bay Valley,Contra Costa,30,5,25,368.9,102.5,93.2,9.2,3.69,1.41,-4.863,-2.898,"{'incomplete_minutes_total': 23, 'incomplete_player_box': 2}"
Big Eight,Folsom Lake,27,5,22,382.6,93.0,100.4,-7.3,-2.93,-2.36,-9.702,-5.948,{'incomplete_minutes_total': 22}
Other,West Hills Coalinga,28,5,23,392.6,84.6,114.4,-29.8,-11.92,-5.75,-18.388,-8.954,"{'incomplete_minutes_total': 21, 'incomplete_player_box': 2}"
Bay Valley,Alameda,28,4,24,307.5,96.3,102.1,-5.9,-2.34,-1.06,-7.96,-3.498,"{'incomplete_minutes_total': 22, 'incomplete_player_box': 2}"
Central Valley,Reedley,28,4,24,302.6,85.6,104.8,-19.2,-7.67,-5.33,-12.239,-7.6,"{'incomplete_minutes_total': 23, 'incomplete_player_box': 1}"
Coast-North,San Francisco,33,4,29,353.5,100.7,98.4,2.3,0.91,0.71,-2.181,0.096,"{'incomplete_minutes_total': 27, 'incomplete_player_box': 2}"
Coast-North,San Mateo,29,4,25,286.6,81.3,108.5,-27.2,-10.89,-7.06,-17.835,-11.269,"{'incomplete_minutes_total': 24, 'score_total_mismatch': 1}"
Coast-South,West Valley,31,4,27,273.1,90.5,102.5,-12.1,-4.83,-3.39,-10.65,-6.305,"{'incomplete_minutes_total': 25, 'score_total_mismatch': 1, 'incomplete_player_box': 1}"
Other,West Hills Lemoore,28,4,24,306.7,86.1,106.0,-19.9,-7.96,-5.14,-12.774,-8.163,"{'incomplete_minutes_total': 22, 'incomplete_player_box': 1, 'team_missing_from_box': 1}"
Bay Valley,Mendocino,28,3,25,227.8,94.8,116.3,-21.5,-8.6,-1.65,-15.506,-4.855,{'incomplete_minutes_total': 25}
Bay Valley,Yuba,29,3,26,226.3,111.3,97.2,14.1,5.66,4.96,-0.649,2.33,"{'incomplete_minutes_total': 25, 'score_total_mismatch': 1}"
