conference,team,games_checked,games_used,games_rejected,strict_possessions,strict_ortg,strict_drtg,strict_net,bpm_team_target,obpm_team_target,team_bpm_adjustment,team_obpm_adjustment,reject_reasons
Central Valley,Columbia,30,3,27,213.0,93.0,109.9,-16.9,-6.76,-2.39,-11.501,-5.087,"{'incomplete_minutes_total': 25, 'incomplete_player_box': 2}"
Coast-South,Hartnell,28,3,25,219.3,92.6,115.8,-23.3,-9.3,-2.55,-13.902,-4.728,{'incomplete_minutes_total': 25}
Golden Valley,Butte,28,3,25,220.2,107.2,98.5,8.6,3.45,3.3,-2.986,-0.661,"{'incomplete_minutes_total': 24, 'incomplete_player_box': 1}"
Central Valley,Fresno,28,2,26,166.8,104.3,104.3,0.0,0.0,2.16,-6.971,-2.505,"{'incomplete_minutes_total': 23, 'incomplete_player_box': 2, 'score_total_mismatch': 1}"
Central Valley,Merced,28,2,26,167.7,82.3,117.5,-35.2,-14.07,-6.65,-19.061,-9.241,"{'incomplete_minutes_total': 17, 'incomplete_player_box': 9}"
Bay Valley,Los Medanos,30,1,29,83.3,110.4,79.2,31.2,12.48,4.58,1.949,-2.654,"{'incomplete_minutes_total': 26, 'incomplete_player_box': 3}"
Bay Valley,Marin,28,1,27,90.4,115.1,102.9,12.2,4.87,6.46,-4.489,1.467,"{'incomplete_minutes_total': 26, 'incomplete_player_box': 1}"
Bay Valley,Merritt,28,1,27,77.0,101.2,72.7,28.6,11.42,0.92,3.507,-3.078,"{'incomplete_minutes_total': 23, 'incomplete_player_box': 4}"
Big Eight,American River,26,1,25,81.2,80.1,109.7,-29.6,-11.83,-7.53,-16.765,-11.099,"{'incomplete_minutes_total': 24, 'incomplete_player_box': 1}"
Big Eight,Diablo Valley,29,1,28,77.5,78.7,109.6,-31.0,-12.38,-8.1,-17.502,-11.268,{'incomplete_minutes_total': 28}
Big Eight,Modesto,28,1,27,70.1,78.5,119.9,-41.4,-16.55,-8.18,-19.671,-8.334,{'incomplete_minutes_total': 27}
Big Eight,Santa Rosa,28,1,27,66.2,93.6,98.1,-4.5,-1.81,-2.14,-6.542,-4.66,{'incomplete_minutes_total': 27}
Coast-North,De Anza,26,1,25,88.1,86.3,104.4,-18.2,-7.26,-5.07,-7.826,-4.518,{'incomplete_minutes_total': 25}
Coast-South,Monterey Peninsula,26,1,25,78.3,60.1,88.2,-28.1,-11.24,-15.55,-16.288,-16.946,{'incomplete_minutes_total': 25}
Golden Valley,Lassen,24,1,23,67.1,101.4,104.4,-3.0,-1.19,0.99,-10.34,-3.989,{'incomplete_minutes_total': 23}
Golden Valley,Shasta,29,1,28,74.0,91.9,108.1,-16.2,-6.49,-2.82,-12.107,-6.333,"{'incomplete_minutes_total': 26, 'incomplete_player_box': 2}"
