conference,team,games_checked,games_used,games_rejected,strict_possessions,strict_ortg,strict_drtg,strict_net,bpm_team_target,obpm_team_target,team_bpm_adjustment,team_obpm_adjustment,reject_reasons
Pacific Coast Athletic,Palomar,28,20,8,1624.3,103.1,100.3,2.8,1.13,2.05,-5.575,-1.504,"{'team_missing_from_box': 1, 'incomplete_minutes_total': 7}"
Orange Empire Athletic,Riverside,28,19,9,1364.3,93.5,102.3,-8.8,-3.52,-1.79,-7.942,-3.868,"{'team_missing_from_box': 4, 'incomplete_minutes_total': 2, 'incomplete_player_box': 3}"
Pacific Coast Athletic,Grossmont,27,19,8,1534.1,87.5,103.3,-15.8,-6.31,-4.18,-12.213,-7.261,"{'incomplete_minutes_total': 7, 'incomplete_player_box': 1}"
South Coast-North,LA Trade Tech,29,18,11,1497.7,103.0,98.8,4.1,1.66,1.99,-6.788,-2.319,"{'incomplete_player_box': 1, 'incomplete_minutes_total': 10}"
Inland Empire Athletic,Desert,28,17,11,1407.3,92.3,105.6,-13.3,-5.32,-2.28,-11.979,-5.177,"{'incomplete_minutes_total': 7, 'team_missing_from_box': 3, 'score_total_mismatch': 1}"
Inland Empire Athletic,Palo Verde,28,17,11,1324.5,98.9,101.0,-2.1,-0.85,0.36,-8.277,-3.691,"{'incomplete_minutes_total': 8, 'incomplete_player_box': 1, 'score_total_mismatch': 1, 'team_missing_from_box': 1}"
South Coast-South,LA Southwest,29,17,12,1323.5,98.4,100.6,-2.3,-0.91,0.15,-8.043,-3.187,"{'incomplete_minutes_total': 8, 'score_total_mismatch': 1, 'incomplete_player_box': 3}"
South Coast-South,Compton,28,15,13,1161.0,92.2,101.6,-9.5,-3.79,-2.33,-8.984,-4.649,"{'incomplete_minutes_total': 12, 'incomplete_player_box': 1}"
Bay Valley,Napa Valley,28,14,14,1128.7,87.7,100.5,-12.8,-5.1,-4.11,-10.498,-6.835,"{'score_total_mismatch': 2, 'incomplete_minutes_total': 11, 'incomplete_player_box': 1}"
Pacific Coast Athletic,San Diego Miramar,29,14,15,952.7,95.8,93.7,2.1,0.84,-0.86,-4.773,-3.658,"{'team_missing_from_box': 1, 'incomplete_minutes_total': 12, 'incomplete_player_box': 2}"
Pacific Coast Athletic,MiraCosta,29,13,16,990.6,98.4,98.4,0.0,0.0,0.17,-7.283,-3.599,{'incomplete_minutes_total': 16}
Big Eight,Cosumnes River,29,11,18,782.6,105.3,99.4,5.9,2.35,2.92,-4.981,-1.347,{'incomplete_minutes_total': 18}
Inland Empire Athletic,Victor Valley,28,11,17,884.8,99.1,106.7,-7.6,-3.03,0.45,-9.011,-2.963,"{'incomplete_minutes_total': 15, 'team_missing_from_box': 1, 'incomplete_player_box': 1}"
South Coast-South,El Camino,28,11,17,794.6,94.3,108.7,-14.5,-5.79,-1.49,-11.753,-4.185,"{'team_missing_from_box': 14, 'incomplete_minutes_total': 3}"
WSC North,Cuesta,28,11,17,785.6,89.9,100.9,-11.1,-4.43,-3.25,-9.756,-6.184,"{'incomplete_minutes_total': 16, 'score_total_mismatch': 1}"
Central Valley,Porterville,28,10,18,650.3,83.5,106.3,-22.8,-9.1,-5.8,-12.725,-7.289,"{'incomplete_minutes_total': 13, 'incomplete_player_box': 5}"
Inland Empire Athletic,Mt. San Jacinto,31,10,21,793.2,106.0,97.8,8.2,3.28,3.21,-3.303,-0.3,"{'team_missing_from_box': 15, 'incomplete_minutes_total': 6}"
Pacific Coast Athletic,San Diego Mesa,28,10,18,749.4,88.7,94.1,-5.3,-2.14,-3.7,-7.327,-5.614,"{'incomplete_minutes_total': 17, 'team_missing_from_box': 1}"
Pacific Coast Athletic,Southwestern,28,10,18,797.9,85.7,96.4,-10.7,-4.26,-4.91,-10.053,-7.45,{'incomplete_minutes_total': 18}
Bay Valley,Solano,28,9,19,770.9,97.4,97.4,0.0,0.0,-0.23,-6.29,-3.735,"{'incomplete_minutes_total': 16, 'score_total_mismatch': 3}"
Inland Empire Athletic,Cerro Coso,32,9,23,681.2,106.3,96.9,9.4,3.76,3.32,-2.096,0.13,"{'incomplete_minutes_total': 19, 'incomplete_player_box': 2, 'team_missing_from_box': 2}"
Inland Empire Athletic,Copper Mountain,28,9,19,678.6,94.8,107.0,-12.2,-4.89,-1.3,-12.108,-4.91,"{'incomplete_minutes_total': 18, 'team_missing_from_box': 1}"
Pacific Coast Athletic,Imperial Valley,27,9,18,743.7,84.2,105.6,-21.4,-8.55,-5.53,-12.836,-7.079,"{'incomplete_player_box': 1, 'incomplete_minutes_total': 17}"
Coast-North,Chabot,29,7,22,521.1,109.2,104.6,4.6,1.84,4.48,-5.602,0.159,"{'incomplete_minutes_total': 21, 'incomplete_player_box': 1}"
Coast-South,San Jose,30,7,23,485.8,101.3,84.8,16.5,6.59,1.31,-0.935,-2.651,"{'incomplete_minutes_total': 21, 'score_total_mismatch': 1, 'incomplete_player_box': 1}"
Golden Valley,Redwoods,31,7,24,518.2,97.8,100.0,-2.1,-0.85,-0.07,-9.39,-4.214,"{'incomplete_minutes_total': 22, 'incomplete_player_box': 2}"
Inland Empire Athletic,Barstow,27,7,20,619.7,87.1,116.3,-29.2,-11.68,-4.34,-16.862,-7.01,"{'incomplete_minutes_total': 18, 'score_total_mismatch': 1, 'team_missing_from_box': 1}"
Pacific Coast Athletic,Cuyamaca,28,7,21,512.2,96.4,103.9,-7.4,-2.97,-0.62,-9.509,-3.69,"{'incomplete_minutes_total': 19, 'incomplete_player_box': 2}"
Bay Valley,Yuba,32,6,26,449.1,103.1,93.5,9.6,3.83,2.04,-3.557,-1.507,"{'incomplete_minutes_total': 24, 'score_total_mismatch': 1, 'incomplete_player_box': 1}"
Big Eight,Sacramento City,30,5,25,400.3,108.7,93.2,15.5,6.19,4.27,-2.62,-0.569,"{'incomplete_minutes_total': 24, 'incomplete_player_box': 1}"
Central Valley,Fresno,30,5,25,354.2,95.7,92.9,2.8,1.13,-0.92,-5.797,-4.728,"{'incomplete_minutes_total': 22, 'incomplete_player_box': 3}"
Central Valley,Reedley,26,5,21,365.4,92.8,102.6,-9.9,-3.94,-2.09,-10.893,-5.827,"{'incomplete_minutes_total': 20, 'incomplete_player_box': 1}"
Central Valley,West Hills Coalinga,27,5,22,369.0,72.9,102.4,-29.5,-11.82,-10.04,-15.161,-11.411,"{'incomplete_minutes_total': 21, 'incomplete_player_box': 1}"
Central Valley,West Hills Lemoore,29,5,24,424.3,96.6,97.8,-1.2,-0.47,-0.54,-6.633,-3.15,"{'incomplete_minutes_total': 23, 'incomplete_player_box': 1}"
Coast-North,San Francisco,30,5,25,403.2,108.1,94.5,13.6,5.46,4.05,-1.652,0.771,{'incomplete_minutes_total': 25}
Coast-South,West Valley,33,5,28,340.8,103.3,92.1,11.1,4.46,2.12,-2.682,-1.267,"{'incomplete_minutes_total': 26, 'incomplete_player_box': 2}"
Bay Valley,Alameda,28,4,24,305.6,84.1,93.3,-9.2,-3.66,-5.56,-10.387,-8.806,"{'incomplete_minutes_total': 23, 'incomplete_player_box': 1}"
Bay Valley,Contra Costa,27,4,23,341.5,92.8,102.5,-9.7,-3.87,-2.07,-9.232,-4.246,"{'incomplete_minutes_total': 20, 'incomplete_player_box': 3}"
Bay Valley,Mendocino,27,4,23,292.8,100.8,91.2,9.6,3.83,1.11,-5.717,-4.839,"{'incomplete_minutes_total': 19, 'incomplete_player_box': 3, 'score_total_mismatch': 1}"
Big Eight,Folsom Lake,28,4,24,301.5,91.5,110.8,-19.2,-7.7,-2.58,-13.738,-5.953,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 23}"
Coast-North,Foothill,28,4,24,296.9,95.7,94.0,1.7,0.67,-0.93,-7.854,-5.684,"{'incomplete_minutes_total': 22, 'incomplete_player_box': 2}"
Coast-South,Monterey Peninsula,28,4,24,286.9,100.7,82.6,18.1,7.25,1.1,1.286,-1.739,{'incomplete_minutes_total': 24}
Coast-South,Gavilan,30,3,27,218.4,103.0,105.3,-2.3,-0.92,2.0,-8.643,-1.978,{'incomplete_minutes_total': 27}
Golden Valley,Shasta,28,3,25,210.8,68.8,106.7,-37.9,-15.18,-11.69,-19.692,-14.114,"{'incomplete_minutes_total': 24, 'incomplete_player_box': 1}"
Bay Valley,Merritt,28,2,26,159.2,99.9,90.5,9.4,3.77,0.75,-0.444,-1.11,"{'incomplete_minutes_total': 23, 'incomplete_player_box': 3}"
Big Eight,Diablo Valley,28,2,26,154.7,98.9,96.3,2.6,1.03,0.37,-4.154,-2.245,{'incomplete_minutes_total': 26}
Big Eight,San Joaquin Delta,29,2,27,151.8,96.8,109.4,-12.5,-5.01,-0.46,-11.826,-4.123,{'incomplete_minutes_total': 27}
Big Eight,Santa Rosa,30,2,28,145.2,92.3,93.7,-1.4,-0.55,-2.28,-8.983,-7.429,{'incomplete_minutes_total': 28}
Central Valley,Merced,29,2,27,150.8,83.6,88.2,-4.6,-1.86,-5.76,-9.969,-10.408,"{'incomplete_minutes_total': 23, 'incomplete_player_box': 4}"
Coast-North,Ohlone,29,2,27,165.1,118.7,100.6,18.2,7.27,8.3,1.078,5.452,"{'incomplete_minutes_total': 26, 'incomplete_player_box': 1}"
Coast-South,Cabrillo,31,2,29,166.4,104.5,93.7,10.8,4.33,2.62,-4.787,-3.065,{'incomplete_minutes_total': 29}
Coast-South,Hartnell,28,2,26,138.4,84.5,138.7,-54.2,-21.67,-5.39,-24.905,-6.232,"{'incomplete_minutes_total': 25, 'incomplete_player_box': 1}"
Golden Valley,Feather River,28,2,26,158.5,92.7,98.4,-5.7,-2.27,-2.1,-7.504,-4.329,"{'incomplete_minutes_total': 25, 'incomplete_player_box': 1}"
Golden Valley,Lassen,28,2,26,142.0,109.1,96.5,12.7,5.07,4.45,-0.257,2.199,"{'incomplete_minutes_total': 25, 'incomplete_player_box': 1}"
Bay Valley,Marin,28,1,27,83.6,96.9,82.6,14.4,5.74,-0.43,0.69,-2.77,"{'incomplete_minutes_total': 26, 'incomplete_player_box': 1}"
Central Valley,Columbia,30,1,29,68.4,90.6,109.6,-19.0,-7.6,-2.95,-13.168,-7.036,"{'incomplete_minutes_total': 28, 'incomplete_player_box': 1}"
Coast-North,Las Positas,29,1,28,77.9,101.5,60.4,41.1,16.44,1.39,7.288,-3.008,"{'incomplete_minutes_total': 27, 'incomplete_player_box': 1}"
Golden Valley,Butte,28,1,27,70.4,93.7,96.5,-2.8,-1.14,-1.72,-9.131,-6.431,"{'incomplete_minutes_total': 26, 'incomplete_player_box': 1}"
