conference,team,games_checked,games_used,games_rejected,strict_possessions,strict_ortg,strict_drtg,strict_net,bpm_team_target,obpm_team_target,team_bpm_adjustment,team_obpm_adjustment,reject_reasons
Orange Empire Athletic,Fullerton,32,31,1,2224.2,110.3,87.2,23.1,9.24,4.92,0.977,0.721,{'score_total_mismatch': 1}
Orange Empire Athletic,Orange Coast,28,28,0,2206.7,88.4,97.0,-8.7,-3.46,-3.85,-9.943,-6.86,{}
WSC South,Glendale,29,28,1,1964.6,101.4,99.5,2.0,0.79,1.38,-5.73,-2.246,{'team_missing_from_box': 1}
WSC South,West LA,31,28,3,2186.1,105.3,89.9,15.4,6.17,2.92,-1.094,-0.508,"{'score_total_mismatch': 2, 'incomplete_minutes_total': 1}"
Central Valley,Sequoias,33,27,6,1914.2,105.9,84.9,20.9,8.38,3.16,-0.784,-1.55,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 5}"
WSC South,Citrus,29,27,2,2284.1,102.1,88.4,13.7,5.46,1.62,-2.414,-2.399,{'incomplete_minutes_total': 2}
Orange Empire Athletic,Saddleback,31,26,5,1866.1,94.7,96.1,-1.4,-0.58,-1.32,-6.65,-4.227,"{'team_missing_from_box': 3, 'incomplete_minutes_total': 1, 'incomplete_player_box': 1}"
Orange Empire Athletic,Santa Ana,28,26,2,1969.1,96.9,97.3,-0.3,-0.12,-0.42,-6.778,-3.583,{'incomplete_minutes_total': 2}
South Coast-North,Pasadena City,30,26,4,1902.4,103.2,96.4,6.8,2.73,2.1,-6.116,-2.731,"{'incomplete_minutes_total': 3, 'team_missing_from_box': 1}"
WSC North,Allan Hancock,31,26,5,1868.6,103.4,88.5,15.0,5.99,2.18,-0.878,-0.736,{'incomplete_minutes_total': 5}
Orange Empire Athletic,Cypress,28,25,3,1696.6,89.5,92.4,-2.9,-1.16,-3.41,-6.815,-6.064,"{'incomplete_minutes_total': 2, 'incomplete_player_box': 1}"
Orange Empire Athletic,Santiago Canyon,29,25,4,1876.7,111.1,97.2,13.9,5.54,5.24,-3.108,0.416,"{'incomplete_minutes_total': 1, 'score_total_mismatch': 1, 'team_missing_from_box': 2}"
Pacific Coast Athletic,San Diego City,31,25,6,1882.4,113.2,90.9,22.3,8.9,6.06,0.744,2.332,{'incomplete_minutes_total': 6}
South Coast-North,Mt. San Antonio,29,25,4,1939.5,105.6,91.2,14.5,5.8,3.06,-0.192,0.426,"{'incomplete_minutes_total': 2, 'score_total_mismatch': 1, 'team_missing_from_box': 1}"
South Coast-South,Cerritos,30,25,5,1795.8,104.4,96.2,8.2,3.3,2.57,-4.121,-1.547,{'incomplete_minutes_total': 5}
WSC North,Moorpark,29,25,4,2011.7,104.5,93.4,11.2,4.47,2.62,-2.668,-1.038,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 3}"
WSC South,Santa Monica,29,25,4,1849.5,98.8,99.4,-0.6,-0.24,0.34,-6.296,-2.953,"{'incomplete_minutes_total': 2, 'score_total_mismatch': 2}"
South Coast-North,Rio Hondo,28,24,4,2023.2,84.6,106.0,-21.4,-8.56,-5.35,-13.951,-7.596,"{'incomplete_minutes_total': 3, 'score_total_mismatch': 1}"
South Coast-South,Long Beach,28,24,4,1889.6,101.4,102.3,-0.8,-0.34,1.38,-7.856,-2.372,{'incomplete_minutes_total': 4}
WSC North,LA Pierce,28,24,4,1817.7,85.2,94.5,-9.3,-3.72,-5.11,-9.541,-7.917,"{'score_total_mismatch': 2, 'incomplete_minutes_total': 2}"
WSC South,Antelope Valley,29,24,5,1974.4,99.8,100.7,-0.9,-0.36,0.71,-7.266,-2.55,"{'team_missing_from_box': 2, 'incomplete_minutes_total': 3}"
WSC South,Bakersfield,28,24,4,1788.6,98.3,93.0,5.3,2.1,0.12,-5.062,-3.549,"{'incomplete_minutes_total': 3, 'score_total_mismatch': 1}"
WSC South,LA Valley,25,24,1,1899.7,93.1,104.8,-11.7,-4.7,-1.97,-10.089,-4.581,{'team_missing_from_box': 1}
Orange Empire Athletic,Golden West,28,23,5,1816.9,86.9,109.6,-22.7,-9.09,-4.43,-14.69,-6.921,"{'team_missing_from_box': 1, 'incomplete_minutes_total': 1, 'incomplete_player_box': 3}"
South Coast-North,East Los Angeles,30,23,7,1738.0,108.1,95.9,12.1,4.86,4.02,-2.711,0.52,"{'incomplete_minutes_total': 4, 'incomplete_player_box': 1, 'score_total_mismatch': 1, 'team_missing_from_box': 1}"
WSC North,Santa Barbara,28,23,5,1554.3,93.4,109.1,-15.7,-6.28,-1.83,-11.033,-4.367,"{'incomplete_minutes_total': 4, 'score_total_mismatch': 1}"
WSC South,Canyons,28,23,5,1721.0,97.0,104.5,-7.5,-3.0,-0.41,-8.791,-3.49,"{'team_missing_from_box': 2, 'incomplete_minutes_total': 2, 'score_total_mismatch': 1}"
Inland Empire Athletic,Chaffey,29,22,7,1879.9,117.0,94.8,22.2,8.87,7.61,-0.964,2.153,"{'team_missing_from_box': 2, 'incomplete_minutes_total': 4, 'score_total_mismatch': 1}"
Inland Empire Athletic,San Bernardino Valley,31,22,9,1662.2,99.8,87.0,12.8,5.1,0.7,-3.979,-3.696,"{'team_missing_from_box': 3, 'incomplete_minutes_total': 3, 'incomplete_player_box': 2, 'score_total_mismatch': 1}"
South Coast-North,Los Angeles City,28,22,6,1739.0,85.6,102.3,-16.7,-6.67,-4.95,-11.777,-7.4,"{'team_missing_from_box': 2, 'incomplete_minutes_total': 4}"
WSC North,Ventura,28,22,6,1596.1,100.3,96.0,4.3,1.7,0.93,-3.647,-1.82,"{'team_missing_from_box': 3, 'incomplete_minutes_total': 2, 'score_total_mismatch': 1}"
South Coast-South,LA Harbor,28,21,7,1591.7,93.4,93.4,-0.1,-0.03,-1.85,-5.468,-4.104,"{'team_missing_from_box': 1, 'score_total_mismatch': 2, 'incomplete_minutes_total': 3, 'incomplete_player_box': 1}"
WSC North,Oxnard,24,21,3,1560.8,85.0,108.7,-23.7,-9.48,-5.21,-14.173,-7.487,{'incomplete_minutes_total': 3}
Orange Empire Athletic,Irvine Valley,29,20,9,1311.2,97.4,94.6,2.8,1.13,-0.24,-5.506,-3.441,"{'incomplete_minutes_total': 7, 'score_total_mismatch': 1, 'team_missing_from_box': 1}"
