conference,team,games_checked,games_used,games_rejected,strict_possessions,strict_ortg,strict_drtg,strict_net,bpm_team_target,obpm_team_target,team_bpm_adjustment,team_obpm_adjustment,reject_reasons
Orange Empire Athletic,Fullerton,33,30,3,2096.7,112.9,87.8,25.1,10.05,5.23,1.642,0.755,"{'score_total_mismatch': 2, 'incomplete_minutes_total': 1}"
Orange Empire Athletic,Santiago Canyon,30,30,0,2192.0,111.4,103.2,8.1,3.25,4.6,-4.652,0.095,{}
Orange Empire Athletic,Saddleback,30,28,2,2120.3,99.6,98.9,0.7,0.26,-0.12,-7.651,-4.029,"{'score_total_mismatch': 1, 'team_missing_from_box': 1}"
South Coast-North,Mt. San Antonio,30,28,2,2132.2,109.9,90.2,19.7,7.86,4.01,0.471,0.44,"{'incomplete_minutes_total': 1, 'team_missing_from_box': 1}"
WSC South,Bakersfield,29,28,1,2263.8,102.4,100.1,2.3,0.92,1.03,-6.092,-2.452,{'incomplete_minutes_total': 1}
Orange Empire Athletic,Cypress,29,26,3,1789.6,104.0,99.8,4.2,1.7,1.67,-5.136,-2.021,{'score_total_mismatch': 3}
Orange Empire Athletic,Riverside,29,26,3,1969.6,102.0,96.8,5.3,2.11,0.87,-5.299,-2.74,{'incomplete_minutes_total': 3}
Pacific Coast Athletic,San Diego City,31,26,5,1946.7,106.2,94.1,12.1,4.85,2.53,-2.098,-0.708,"{'incomplete_minutes_total': 4, 'incomplete_player_box': 1}"
South Coast-North,Rio Hondo,28,26,2,2060.2,101.5,108.9,-7.3,-2.93,0.67,-10.234,-3.273,"{'incomplete_minutes_total': 1, 'score_total_mismatch': 1}"
WSC South,Citrus,32,26,6,2249.6,117.1,90.6,26.5,10.62,6.91,0.14,1.611,"{'incomplete_minutes_total': 4, 'score_total_mismatch': 2}"
WSC South,West LA,30,26,4,2000.1,107.4,101.4,5.9,2.38,3.01,-5.549,-1.425,{'score_total_mismatch': 4}
Orange Empire Athletic,Santa Ana,29,25,4,1966.9,102.6,95.6,7.0,2.81,1.09,-4.832,-3.021,"{'incomplete_minutes_total': 3, 'score_total_mismatch': 1}"
South Coast-South,El Camino,28,25,3,1882.1,96.8,96.3,0.5,0.19,-1.24,-6.277,-3.863,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 2}"
WSC North,Moorpark,29,25,4,1919.7,101.7,94.3,7.4,2.96,0.75,-4.817,-3.642,"{'incomplete_minutes_total': 2, 'score_total_mismatch': 2}"
WSC North,Santa Barbara,28,25,3,1775.8,101.0,100.5,0.5,0.2,0.44,-7.239,-3.434,"{'incomplete_minutes_total': 2, 'score_total_mismatch': 1}"
WSC South,Glendale,28,25,3,1836.9,99.0,104.0,-5.0,-2.0,-0.36,-9.405,-4.44,"{'score_total_mismatch': 2, 'incomplete_minutes_total': 1}"
WSC South,LA Valley,27,25,2,1919.3,91.3,107.0,-15.6,-6.25,-3.41,-11.648,-6.112,"{'incomplete_minutes_total': 1, 'team_missing_from_box': 1}"
WSC South,Santa Monica,28,25,3,1966.3,92.4,105.8,-13.5,-5.39,-3.0,-11.241,-6.154,"{'incomplete_minutes_total': 1, 'incomplete_player_box': 1, 'score_total_mismatch': 1}"
Inland Empire Athletic,Chaffey,29,24,5,1926.1,98.9,97.8,1.1,0.46,-0.38,-7.517,-4.76,"{'team_missing_from_box': 1, 'incomplete_minutes_total': 4}"
Orange Empire Athletic,Orange Coast,28,24,4,1792.5,85.4,112.7,-27.3,-10.93,-5.8,-16.479,-8.416,{'incomplete_minutes_total': 4}
South Coast-North,Los Angeles City,28,24,4,1773.5,84.6,103.6,-19.0,-7.6,-6.11,-13.048,-9.186,"{'incomplete_player_box': 2, 'incomplete_minutes_total': 2}"
South Coast-South,Cerritos,31,24,7,1754.7,109.0,90.1,18.9,7.55,3.64,-0.447,-0.718,"{'team_missing_from_box': 2, 'score_total_mismatch': 2, 'incomplete_minutes_total': 3}"
WSC North,Ventura,30,24,6,1888.2,111.6,96.9,14.8,5.91,4.71,-1.687,0.465,"{'incomplete_minutes_total': 3, 'team_missing_from_box': 2, 'score_total_mismatch': 1}"
WSC South,Antelope Valley,30,24,6,1806.9,105.4,96.2,9.1,3.65,2.2,-4.393,-1.987,"{'incomplete_minutes_total': 5, 'team_missing_from_box': 1}"
WSC South,Canyons,29,24,5,1898.6,99.9,98.5,1.4,0.55,-0.0,-5.983,-3.251,"{'incomplete_minutes_total': 2, 'team_missing_from_box': 3}"
Pacific Coast Athletic,Southwestern,30,23,7,1839.4,102.6,103.4,-0.8,-0.3,1.11,-6.828,-2.495,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 6}"
South Coast-North,East Los Angeles,29,23,6,1763.7,109.4,99.7,9.7,3.88,3.82,-3.835,-0.187,"{'incomplete_player_box': 1, 'incomplete_minutes_total': 4, 'score_total_mismatch': 1}"
South Coast-North,LA Trade Tech,28,23,5,1799.5,100.8,102.0,-1.3,-0.51,0.35,-8.652,-3.942,{'incomplete_minutes_total': 5}
South Coast-North,Pasadena City,28,23,5,1706.3,100.0,101.7,-1.6,-0.66,0.07,-8.546,-4.474,"{'incomplete_minutes_total': 3, 'score_total_mismatch': 1, 'team_missing_from_box': 1}"
Orange Empire Athletic,Irvine Valley,30,22,8,1550.6,96.4,98.9,-2.5,-0.98,-1.38,-6.946,-4.076,"{'incomplete_minutes_total': 7, 'team_missing_from_box': 1}"
Pacific Coast Athletic,Palomar,30,22,8,1785.8,106.2,97.8,8.4,3.36,2.55,-4.804,-2.041,"{'incomplete_minutes_total': 7, 'team_missing_from_box': 1}"
South Coast-South,Compton,28,22,6,1720.2,95.6,101.7,-6.2,-2.46,-1.72,-9.075,-4.537,"{'incomplete_minutes_total': 2, 'incomplete_player_box': 3, 'score_total_mismatch': 1}"
South Coast-South,LA Harbor,28,22,6,1628.7,98.6,94.9,3.7,1.47,-0.5,-6.638,-4.854,"{'team_missing_from_box': 2, 'incomplete_player_box': 1, 'score_total_mismatch': 1, 'incomplete_minutes_total': 2}"
WSC North,Allan Hancock,29,22,7,1581.1,104.1,96.7,7.4,2.96,1.7,-3.549,-1.784,{'incomplete_minutes_total': 7}
WSC North,LA Pierce,28,22,6,1766.7,87.6,101.8,-14.2,-5.68,-4.9,-12.269,-7.859,{'incomplete_minutes_total': 6}
Inland Empire Athletic,San Bernardino Valley,29,21,8,1610.7,103.6,88.2,15.5,6.18,1.5,-2.878,-2.967,"{'incomplete_minutes_total': 7, 'team_missing_from_box': 1}"
Pacific Coast Athletic,Grossmont,27,21,6,1694.7,97.2,110.4,-13.2,-5.29,-1.07,-11.907,-4.715,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 5}"
WSC North,Oxnard,27,20,7,1560.3,94.5,106.4,-11.9,-4.74,-2.13,-10.75,-5.31,"{'incomplete_minutes_total': 4, 'score_total_mismatch': 3}"
Central Valley,Sequoias,30,19,11,1413.3,107.3,82.7,24.6,9.82,2.96,-0.424,-2.277,"{'team_missing_from_box': 1, 'incomplete_minutes_total': 9, 'incomplete_player_box': 1}"
Inland Empire Athletic,Desert,28,19,9,1600.5,89.9,98.3,-8.4,-3.35,-3.98,-12.062,-8.44,"{'team_missing_from_box': 3, 'incomplete_minutes_total': 6}"
Central Valley,Porterville,27,17,10,1181.3,84.8,105.4,-20.6,-8.23,-6.02,-13.503,-8.493,"{'incomplete_minutes_total': 9, 'incomplete_player_box': 1}"
Inland Empire Athletic,Cerro Coso,28,16,12,1095.2,94.6,104.2,-9.6,-3.83,-2.11,-10.048,-5.335,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 10, 'team_missing_from_box': 1}"
South Coast-South,Long Beach,28,16,12,1197.1,90.5,105.7,-15.2,-6.08,-3.76,-12.556,-7.094,"{'incomplete_minutes_total': 9, 'incomplete_player_box': 2, 'score_total_mismatch': 1}"
South Coast-South,LA Southwest,28,15,13,1254.1,106.1,100.1,6.1,2.42,2.51,-5.346,-1.277,"{'team_missing_from_box': 2, 'incomplete_minutes_total': 8, 'incomplete_player_box': 2, 'score_total_mismatch': 1}"
WSC North,Cuesta,27,15,12,1119.4,90.8,107.6,-16.9,-6.75,-3.64,-11.253,-5.525,"{'incomplete_minutes_total': 10, 'score_total_mismatch': 2}"
Bay Valley,Napa Valley,29,14,15,1077.4,92.7,98.9,-6.2,-2.49,-2.86,-8.664,-5.773,"{'incomplete_minutes_total': 14, 'score_total_mismatch': 1}"
Inland Empire Athletic,Barstow,28,13,15,919.4,94.4,102.4,-7.9,-3.18,-2.18,-10.422,-6.423,"{'incomplete_minutes_total': 14, 'team_missing_from_box': 1}"
Pacific Coast Athletic,MiraCosta,28,12,16,895.0,93.5,109.3,-15.8,-6.3,-2.54,-11.987,-5.328,"{'incomplete_minutes_total': 14, 'score_total_mismatch': 1, 'incomplete_player_box': 1}"
