conference,team,games_checked,games_used,games_rejected,strict_possessions,strict_ortg,strict_drtg,strict_net,bpm_team_target,obpm_team_target,team_bpm_adjustment,team_obpm_adjustment,reject_reasons
WSC South,Santa Monica,32,29,3,2250.2,97.1,94.4,2.7,1.07,-0.48,-4.973,-2.924,"{'incomplete_player_box': 1, 'incomplete_minutes_total': 1, 'score_total_mismatch': 1}"
Pacific Coast Athletic,San Diego City,29,27,2,2071.0,102.8,96.1,6.7,2.67,1.79,-3.8,-1.371,{'incomplete_minutes_total': 2}
Orange Empire Athletic,Fullerton,33,26,7,1869.3,109.6,87.1,22.5,9.01,4.52,1.553,0.397,"{'team_missing_from_box': 4, 'incomplete_minutes_total': 3}"
Inland Empire Athletic,Desert,28,25,3,2024.3,90.7,92.7,-2.0,-0.79,-3.03,-9.266,-7.269,"{'incomplete_minutes_total': 2, 'team_missing_from_box': 1}"
WSC North,Santa Barbara,27,25,2,1926.0,82.5,108.0,-25.5,-10.2,-6.32,-15.101,-8.72,{'incomplete_minutes_total': 2}
WSC South,Citrus,32,25,7,1861.4,108.6,95.7,12.9,5.16,4.13,-3.238,-0.702,"{'incomplete_minutes_total': 2, 'team_missing_from_box': 2, 'incomplete_player_box': 2, 'score_total_mismatch': 1}"
WSC South,Glendale,28,25,3,1810.9,101.2,103.2,-2.0,-0.8,1.14,-7.218,-2.431,"{'team_missing_from_box': 2, 'incomplete_minutes_total': 1}"
Big Eight,Cosumnes River,30,24,6,1793.5,99.7,93.8,5.9,2.34,0.55,-4.732,-3.757,"{'incomplete_minutes_total': 5, 'incomplete_player_box': 1}"
Orange Empire Athletic,Saddleback,28,23,5,1673.2,104.2,90.2,14.0,5.59,2.37,-0.125,0.378,{'team_missing_from_box': 5}
Orange Empire Athletic,Santiago Canyon,29,23,6,1780.8,104.7,95.6,9.2,3.66,2.57,-4.165,-1.612,"{'team_missing_from_box': 4, 'incomplete_minutes_total': 2}"
Pacific Coast Athletic,Grossmont,28,23,5,1648.2,80.6,104.7,-24.1,-9.63,-7.1,-14.588,-9.313,"{'incomplete_minutes_total': 4, 'team_missing_from_box': 1}"
Pacific Coast Athletic,Southwestern,30,23,7,1752.2,107.2,92.3,14.8,5.94,3.55,-1.863,-0.61,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 5, 'team_missing_from_box': 1}"
South Coast-North,LA Trade Tech,27,23,4,1862.7,99.5,98.6,1.0,0.39,0.49,-6.988,-3.112,"{'incomplete_minutes_total': 3, 'incomplete_player_box': 1}"
WSC North,Allan Hancock,30,23,7,1675.9,107.3,90.9,16.4,6.56,3.59,-0.383,0.248,{'incomplete_minutes_total': 7}
WSC North,LA Pierce,28,23,5,1723.7,98.2,104.0,-5.7,-2.3,-0.04,-8.682,-3.38,{'incomplete_minutes_total': 5}
Pacific Coast Athletic,Palomar,26,22,4,1557.2,89.5,98.6,-9.1,-3.62,-3.52,-9.186,-5.876,"{'team_missing_from_box': 2, 'incomplete_minutes_total': 2}"
WSC South,LA Valley,30,22,8,1582.3,98.0,94.9,3.0,1.21,-0.14,-4.521,-2.952,"{'team_missing_from_box': 3, 'incomplete_minutes_total': 3, 'incomplete_player_box': 1, 'score_total_mismatch': 1}"
WSC South,West LA,30,22,8,1788.5,101.0,97.1,3.9,1.57,1.07,-4.876,-2.523,"{'incomplete_minutes_total': 3, 'team_missing_from_box': 5}"
Orange Empire Athletic,Orange Coast,28,21,7,1670.1,88.3,110.5,-22.2,-8.89,-4.0,-14.462,-6.316,"{'team_missing_from_box': 2, 'incomplete_minutes_total': 5}"
South Coast-North,Pasadena City,29,21,8,1586.3,96.2,91.7,4.5,1.79,-0.85,-5.33,-4.113,"{'team_missing_from_box': 5, 'incomplete_minutes_total': 3}"
WSC North,Moorpark,28,21,7,1577.0,97.4,101.3,-3.9,-1.57,-0.36,-7.465,-3.049,"{'incomplete_minutes_total': 6, 'team_missing_from_box': 1}"
WSC South,Bakersfield,27,21,6,1690.4,99.0,93.9,5.1,2.06,0.29,-5.387,-3.245,"{'incomplete_minutes_total': 5, 'score_total_mismatch': 1}"
Central Valley,Sequoias,31,20,11,1400.8,106.6,90.1,16.5,6.6,3.31,-0.292,-0.236,"{'incomplete_minutes_total': 10, 'incomplete_player_box': 1}"
Inland Empire Athletic,San Bernardino Valley,29,19,10,1479.8,116.7,92.3,24.4,9.76,7.36,0.56,2.806,"{'incomplete_minutes_total': 5, 'team_missing_from_box': 5}"
Orange Empire Athletic,Cypress,28,19,9,1347.7,100.2,93.1,7.1,2.85,0.77,-4.056,-2.764,"{'incomplete_minutes_total': 6, 'team_missing_from_box': 3}"
WSC North,Cuesta,30,19,11,1376.0,107.0,96.6,10.5,4.19,3.49,-5.04,-1.718,{'incomplete_minutes_total': 11}
Orange Empire Athletic,Santa Ana,28,18,10,1390.3,99.2,104.3,-5.1,-2.04,0.35,-8.846,-3.595,"{'team_missing_from_box': 4, 'incomplete_minutes_total': 6}"
South Coast-South,Compton,28,18,10,1517.0,99.3,94.2,5.1,2.03,0.38,-5.466,-3.354,"{'incomplete_minutes_total': 8, 'team_missing_from_box': 2}"
South Coast-South,LA Southwest,28,18,10,1423.3,92.0,93.9,-2.0,-0.79,-2.54,-7.136,-5.354,"{'incomplete_minutes_total': 8, 'score_total_mismatch': 2}"
South Coast-South,Long Beach,30,18,12,1409.6,106.7,97.5,9.2,3.69,3.36,-4.21,-0.821,"{'team_missing_from_box': 8, 'incomplete_minutes_total': 2, 'score_total_mismatch': 2}"
Inland Empire Athletic,Copper Mountain,28,17,11,1311.9,98.4,92.0,6.4,2.56,0.04,-4.202,-2.789,"{'incomplete_minutes_total': 4, 'incomplete_player_box': 1, 'team_missing_from_box': 5, 'score_total_mismatch': 1}"
WSC North,Ventura,29,17,12,1265.7,100.9,101.5,-0.6,-0.25,1.03,-5.328,-1.609,"{'team_missing_from_box': 8, 'incomplete_player_box': 2, 'incomplete_minutes_total': 2}"
WSC South,Canyons,28,17,11,1327.7,99.2,95.5,3.7,1.48,0.35,-3.903,-1.975,"{'score_total_mismatch': 1, 'team_missing_from_box': 3, 'incomplete_minutes_total': 7}"
South Coast-South,Cerritos,29,16,13,1180.3,106.0,85.5,20.5,8.2,3.07,0.061,-0.855,"{'team_missing_from_box': 12, 'incomplete_minutes_total': 1}"
Central Valley,Porterville,27,15,12,1202.6,100.5,95.9,4.7,1.86,0.89,-4.079,-1.748,{'incomplete_minutes_total': 12}
South Coast-North,Rio Hondo,28,15,13,1131.8,96.0,108.2,-12.2,-4.88,-0.91,-12.373,-5.12,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 8, 'incomplete_player_box': 2, 'team_missing_from_box': 2}"
WSC South,Antelope Valley,28,15,13,1087.7,102.7,105.5,-2.9,-1.14,1.75,-7.945,-2.181,"{'score_total_mismatch': 1, 'incomplete_player_box': 5, 'incomplete_minutes_total': 4, 'team_missing_from_box': 3}"
Inland Empire Athletic,Barstow,27,14,13,1110.3,84.3,106.5,-22.2,-8.86,-5.61,-13.519,-7.086,"{'incomplete_minutes_total': 6, 'team_missing_from_box': 7}"
Inland Empire Athletic,Chaffey,31,14,17,1040.9,112.4,101.4,11.0,4.38,5.64,-4.569,0.766,"{'team_missing_from_box': 4, 'incomplete_minutes_total': 12, 'incomplete_player_box': 1}"
Orange Empire Athletic,Riverside,30,14,16,1025.5,105.4,96.7,8.7,3.47,2.84,-3.729,-1.053,"{'score_total_mismatch': 2, 'team_missing_from_box': 12, 'incomplete_minutes_total': 2}"
Pacific Coast Athletic,San Diego Miramar,29,14,15,1070.9,100.5,99.5,0.9,0.37,0.87,-6.433,-2.613,"{'team_missing_from_box': 4, 'incomplete_minutes_total': 11}"
South Coast-North,Mt. San Antonio,27,14,13,1030.4,87.8,96.6,-8.7,-3.49,-4.19,-7.744,-5.683,"{'incomplete_minutes_total': 9, 'team_missing_from_box': 3, 'incomplete_player_box': 1}"
Pacific Coast Athletic,MiraCosta,28,13,15,993.0,91.1,102.9,-11.8,-4.71,-2.87,-11.354,-6.665,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 11, 'team_missing_from_box': 3}"
Inland Empire Athletic,Mt. San Jacinto,28,12,16,957.7,108.0,91.9,16.1,6.43,3.86,-1.399,-0.455,"{'incomplete_minutes_total': 6, 'team_missing_from_box': 10}"
Orange Empire Athletic,Irvine Valley,28,12,16,844.0,89.6,104.6,-15.0,-6.02,-3.5,-10.042,-5.223,"{'incomplete_minutes_total': 5, 'team_missing_from_box': 11}"
South Coast-North,East Los Angeles,29,12,17,921.9,102.5,89.2,13.3,5.34,1.68,-1.649,-1.773,"{'team_missing_from_box': 5, 'incomplete_player_box': 1, 'incomplete_minutes_total': 11}"
Pacific Coast Athletic,San Diego Mesa,27,11,16,839.9,86.3,101.3,-15.0,-6.0,-4.8,-11.439,-7.361,"{'incomplete_minutes_total': 12, 'team_missing_from_box': 3, 'incomplete_player_box': 1}"
WSC North,Oxnard,25,11,14,923.9,95.9,104.2,-8.3,-3.33,-0.97,-9.428,-3.563,"{'incomplete_player_box': 2, 'incomplete_minutes_total': 11, 'team_missing_from_box': 1}"
Bay Valley,Napa Valley,28,10,18,732.3,85.9,104.7,-18.8,-7.54,-4.97,-9.678,-5.213,"{'incomplete_minutes_total': 12, 'score_total_mismatch': 3, 'incomplete_player_box': 3}"
Inland Empire Athletic,Victor Valley,26,10,16,827.8,93.0,99.5,-6.5,-2.61,-2.12,-9.379,-5.487,"{'incomplete_minutes_total': 10, 'team_missing_from_box': 6}"
South Coast-South,LA Harbor,28,10,18,768.4,98.5,98.6,-0.1,-0.05,0.08,-7.17,-3.222,"{'incomplete_minutes_total': 17, 'team_missing_from_box': 1}"
Pacific Coast Athletic,Cuyamaca,28,9,19,642.0,84.3,108.4,-24.1,-9.66,-5.62,-14.901,-7.965,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 15, 'team_missing_from_box': 3}"
Pacific Coast Athletic,Imperial Valley,27,9,18,740.9,95.3,102.7,-7.4,-2.97,-1.21,-8.106,-3.026,"{'incomplete_player_box': 2, 'team_missing_from_box': 4, 'incomplete_minutes_total': 12}"
Big Eight,Sacramento City,30,7,23,548.0,94.5,93.1,1.5,0.58,-1.51,-3.977,-3.131,{'incomplete_minutes_total': 23}
South Coast-South,El Camino,28,7,21,552.2,89.8,108.8,-19.0,-7.61,-3.4,-12.371,-5.686,"{'team_missing_from_box': 14, 'incomplete_minutes_total': 7}"
Coast-North,Chabot,28,6,22,448.2,84.3,98.0,-13.6,-5.44,-5.59,-10.546,-7.876,{'incomplete_minutes_total': 22}
Central Valley,Reedley,28,5,23,370.2,84.0,102.4,-18.4,-7.35,-5.72,-13.69,-8.208,{'incomplete_minutes_total': 23}
Bay Valley,Merritt,29,4,25,290.4,87.8,96.4,-8.6,-3.44,-4.19,-8.204,-6.379,"{'incomplete_minutes_total': 24, 'incomplete_player_box': 1}"
Big Eight,Sierra,28,4,24,293.6,86.9,106.3,-19.4,-7.77,-4.58,-12.821,-6.328,{'incomplete_minutes_total': 24}
