conference,team,games_checked,games_used,games_rejected,strict_possessions,strict_ortg,strict_drtg,strict_net,bpm_team_target,obpm_team_target,team_bpm_adjustment,team_obpm_adjustment,reject_reasons
Bay Valley,Alameda,28,3,25,218.6,102.0,91.1,11.0,4.39,1.49,-6.781,-5.024,"{'incomplete_minutes_total': 24, 'score_total_mismatch': 1}"
Bay Valley,Yuba,30,3,27,204.3,91.0,80.8,10.3,4.11,-2.91,-2.834,-6.185,"{'incomplete_player_box': 3, 'incomplete_minutes_total': 24}"
Big Eight,Folsom Lake,28,3,25,226.3,90.1,101.2,-11.0,-4.42,-3.27,-10.189,-6.114,{'incomplete_minutes_total': 25}
Central Valley,Merced,28,3,25,226.6,96.2,104.6,-8.4,-3.35,-0.83,-10.071,-4.566,{'incomplete_minutes_total': 25}
Coast-North,Ohlone,28,3,25,215.7,92.3,106.2,-13.9,-5.56,-2.42,-13.116,-6.356,{'incomplete_minutes_total': 25}
Coast-North,San Francisco,33,3,30,241.2,94.5,92.9,1.7,0.66,-1.52,-5.611,-4.468,"{'incomplete_minutes_total': 27, 'incomplete_player_box': 3}"
Coast-South,San Jose,28,3,25,247.1,89.0,117.3,-28.3,-11.33,-3.72,-16.008,-6.013,"{'incomplete_minutes_total': 23, 'team_missing_from_box': 1, 'incomplete_player_box': 1}"
Golden Valley,Shasta,25,3,22,210.3,58.5,99.8,-41.4,-16.55,-15.93,-20.64,-17.91,"{'incomplete_minutes_total': 20, 'incomplete_player_box': 2}"
Inland Empire Athletic,Cerro Coso,27,3,24,212.8,94.5,107.1,-12.7,-5.08,-1.54,-10.514,-3.59,"{'incomplete_minutes_total': 23, 'incomplete_player_box': 1}"
Bay Valley,Contra Costa,27,2,25,159.6,90.2,92.1,-1.9,-0.75,-3.23,-6.378,-4.945,"{'incomplete_minutes_total': 23, 'score_total_mismatch': 1, 'incomplete_player_box': 1}"
Bay Valley,Los Medanos,28,2,26,162.7,95.3,104.5,-9.2,-3.69,-1.21,-12.728,-6.474,"{'incomplete_minutes_total': 24, 'incomplete_player_box': 2}"
Bay Valley,Marin,27,2,25,138.4,104.7,95.4,9.4,3.76,2.58,-5.642,-2.464,{'incomplete_minutes_total': 25}
Bay Valley,Solano,27,2,25,164.0,91.5,93.9,-2.4,-0.98,-2.74,-5.267,-4.271,"{'incomplete_minutes_total': 24, 'incomplete_player_box': 1}"
Big Eight,American River,28,2,26,146.7,105.6,109.7,-4.1,-1.64,2.93,-8.924,-2.381,"{'incomplete_minutes_total': 22, 'team_missing_from_box': 3, 'incomplete_player_box': 1}"
Big Eight,Diablo Valley,25,2,23,130.5,90.4,111.1,-20.7,-8.27,-3.16,-13.505,-5.329,{'incomplete_minutes_total': 23}
Big Eight,Santa Rosa,31,2,29,155.2,90.2,94.1,-3.9,-1.55,-3.23,-6.77,-5.403,"{'incomplete_minutes_total': 28, 'incomplete_player_box': 1}"
Coast-South,Hartnell,28,2,26,147.3,99.1,105.2,-6.1,-2.44,0.33,-9.926,-2.526,{'incomplete_minutes_total': 26}
Golden Valley,Lassen,27,2,25,172.5,102.6,108.4,-5.8,-2.32,1.72,-8.414,-2.33,"{'incomplete_minutes_total': 24, 'incomplete_player_box': 1}"
Big Eight,Modesto,28,1,27,74.5,99.3,110.1,-10.7,-4.3,0.41,-11.864,-4.827,{'incomplete_minutes_total': 27}
Central Valley,Columbia,29,1,28,69.8,97.4,110.3,-12.9,-5.16,-0.36,-7.145,-0.187,"{'incomplete_minutes_total': 27, 'incomplete_player_box': 1}"
Coast-North,De Anza,28,1,27,84.8,100.2,102.6,-2.4,-0.94,0.76,-8.877,-3.003,"{'incomplete_minutes_total': 26, 'incomplete_player_box': 1}"
Coast-North,Foothill,27,1,26,54.6,102.5,75.0,27.4,10.98,1.66,1.383,-3.808,"{'incomplete_minutes_total': 25, 'incomplete_player_box': 1}"
Coast-North,Las Positas,28,1,27,78.5,124.8,82.8,42.0,16.81,10.6,7.636,6.92,{'incomplete_minutes_total': 27}
Coast-South,Gavilan,30,1,29,72.6,100.6,56.5,44.1,17.63,0.9,6.563,-3.368,{'incomplete_minutes_total': 29}
Golden Valley,Feather River,23,1,22,83.1,79.4,90.2,-10.8,-4.33,-7.57,-8.771,-10.056,"{'incomplete_minutes_total': 20, 'incomplete_player_box': 1, 'score_total_mismatch': 1}"
Other,Fresno City,32,1,31,76.2,124.7,94.5,30.2,12.07,10.54,2.472,5.821,{'team_missing_from_box': 31}
