conference,team,name,games,pos_class,pos_no_ht,height,p_pg,p_sg,p_sf,p_pf,p_c
Bay Valley,Alameda,Amantu Diop,8,WG,WG,,32.5,22.0,34.4,9.9,1.2
Bay Valley,Alameda,Cedric Louis,5,CG,CG,,28.8,49.6,14.6,1.0,6.1
Bay Valley,Alameda,Davron Murrell,28,s-PG,s-PG,,63.4,31.4,4.3,0.1,0.8
Bay Valley,Alameda,"Dwayne Ealy, Jr.",21,s-PG,s-PG,,51.8,38.7,8.7,0.2,0.5
Bay Valley,Alameda,Humza Alqublani,25,s-PG,s-PG,,60.2,31.2,8.0,0.1,0.4
Bay Valley,Alameda,Jaques Williams,25,PG,PG,,88.7,8.7,2.6,0.0,0.0
Bay Valley,Alameda,Jordan Jackson,28,CG,CG,,23.7,66.3,9.1,0.2,0.6
Bay Valley,Alameda,Michael Pina,25,WF,WF,,3.7,5.4,46.1,41.4,3.4
Bay Valley,Alameda,Milos Jovicevic,9,CG,CG,,46.8,28.5,22.9,1.0,0.8
Bay Valley,Alameda,Petar Mijatovic,28,PF/C,PF/C,,0.4,7.5,10.8,50.1,31.2
Bay Valley,Alameda,Saji Muanza,21,WG,WG,,3.1,13.7,70.3,11.5,1.4
Bay Valley,Alameda,Shaquille Hopkins,19,WG,WG,,8.4,38.5,38.1,4.3,10.7
Bay Valley,Alameda,Wilson Tran,20,PF/C,PF/C,,3.6,17.0,21.2,26.8,31.5
Bay Valley,Contra Costa,Christopher Sanders,17,s-PG,s-PG,,53.9,4.6,34.3,6.4,0.8
Bay Valley,Contra Costa,Darren Bracey,23,WG,WG,,22.0,37.5,23.9,4.4,12.2
Bay Valley,Contra Costa,Dwayne Johnson,27,S-PF,S-PF,,0.6,2.7,28.9,46.2,21.6
Bay Valley,Contra Costa,Jakarri Lindsey,27,CG,CG,,35.7,60.4,2.2,0.6,1.2
Bay Valley,Contra Costa,Jeremiah Stamps,24,PF/C,PF/C,,0.7,8.0,35.8,11.1,44.4
Bay Valley,Contra Costa,Jordan Rosales,29,s-PG,s-PG,,80.3,19.4,0.2,0.0,0.1
Bay Valley,Contra Costa,Jordyn Lilley,29,s-PG,s-PG,,53.8,37.9,4.5,0.4,3.4
Bay Valley,Contra Costa,Joseph Appel,15,s-PG,s-PG,,52.9,36.1,7.8,0.4,2.8
Bay Valley,Contra Costa,Kamron Robinson,19,PF/C,PF/C,,0.0,0.4,8.6,34.6,56.5
Bay Valley,Contra Costa,Kemaru Hampton,28,WG,WG,,21.9,49.2,16.5,3.8,8.6
Bay Valley,Contra Costa,Landen Manuel,21,s-PG,s-PG,,69.7,27.9,2.0,0.0,0.4
Bay Valley,Contra Costa,Laurence Washington,16,WF,WF,,2.8,0.8,56.1,39.7,0.5
Bay Valley,Contra Costa,Miles Lewis,29,s-PG,s-PG,,51.5,47.5,0.6,0.0,0.3
Bay Valley,Contra Costa,Omari Preston-Jordan,20,WG,WG,,14.8,26.3,28.6,3.0,27.4
Bay Valley,Contra Costa,Omari Stephen,27,WF,WF,,0.5,1.8,51.6,40.9,5.3
Bay Valley,Contra Costa,Seneca Willoughby,29,s-PG,s-PG,,56.8,43.1,0.0,0.0,0.1
Bay Valley,Contra Costa,Shaquan Horsey,20,WF,WF,,0.7,1.3,55.8,38.3,3.9
Bay Valley,Los Medanos,AJ Dungo,29,PG,PG,,94.4,5.5,0.1,0.0,0.0
Bay Valley,Los Medanos,Adegoke Adeyemi,29,C,C,,0.0,0.0,0.0,0.0,100.0
Bay Valley,Los Medanos,D'Montay Warner,29,CG,CG,,43.4,55.6,0.5,0.1,0.5
Bay Valley,Los Medanos,Devin Carson,29,CG,CG,,19.5,72.3,2.5,0.1,5.6
Bay Valley,Los Medanos,Diego Lopez,15,s-PG,s-PG,,50.6,39.2,6.6,0.1,3.5
Bay Valley,Los Medanos,Dubem Boardman,26,WG,WG,,29.5,39.4,22.5,0.3,8.4
Bay Valley,Los Medanos,Hamza Najib,27,s-PG,s-PG,,66.7,32.0,0.8,0.0,0.5
Bay Valley,Los Medanos,Jason Zimmer,29,CG,CG,,39.1,58.9,0.8,0.0,1.2
Bay Valley,Los Medanos,Jordan Mijas,27,s-PG,s-PG,,62.0,32.9,3.0,0.1,2.0
Bay Valley,Los Medanos,Maurice Hunte,29,s-PG,s-PG,,67.5,29.0,2.7,0.5,0.2
Bay Valley,Los Medanos,Ramon Bailey,29,WG,WG,,7.7,50.1,2.3,0.4,39.6
Bay Valley,Los Medanos,Raymond Serna,29,s-PG,s-PG,,62.3,31.0,4.0,0.0,2.7
Bay Valley,Los Medanos,Zach Eidson,17,WF,WF,,1.7,3.4,61.1,27.5,6.3
Bay Valley,Marin,Alondre Ray-Love,7,WF,WF,,1.9,5.8,64.5,25.8,1.9
Bay Valley,Marin,Angelo Gilbert,27,CG,CG,,49.5,46.3,3.3,0.2,0.7
Bay Valley,Marin,Anton Williams,27,C,C,,0.0,0.2,0.6,4.9,94.3
Bay Valley,Marin,Blake Murray,28,CG,CG,,26.8,48.4,14.5,1.6,8.7
Bay Valley,Marin,Cobi Wilson,28,S-PF,S-PF,,0.4,1.9,31.7,62.5,3.4
Bay Valley,Marin,Daniel Fagan,28,CG,CG,,25.9,70.6,2.2,0.4,1.1
Bay Valley,Marin,Devin Mims,28,WF,WF,,2.7,12.2,40.5,11.8,32.7
Bay Valley,Marin,Ismael Ngom,21,S-PF,S-PF,,0.1,0.5,34.8,61.1,3.5
Bay Valley,Marin,Logan Coverson,26,s-PG,s-PG,,83.4,14.5,1.8,0.1,0.2
Bay Valley,Marin,Lukas Prongos,28,PF/C,PF/C,,1.7,29.1,25.0,6.5,37.7
Bay Valley,Marin,Luke Vrcelj,23,CG,CG,,49.1,35.0,11.5,0.7,3.8
Bay Valley,Marin,Tre McPherson,28,CG,CG,,28.6,59.0,9.9,0.8,1.8
Bay Valley,Mendocino,AJ Cuffie,28,CG,CG,,28.0,58.7,11.7,0.5,1.1
Bay Valley,Mendocino,Brandon Macharia,28,CG,CG,,13.1,77.9,3.4,0.5,5.1
Bay Valley,Mendocino,Cheikh Gueye,28,S-PF,S-PF,,0.3,4.4,29.0,44.7,21.6
Bay Valley,Mendocino,Darius Ford,23,s-PG,s-PG,,69.6,28.4,1.6,0.0,0.4
Bay Valley,Mendocino,Donniel Johnson,28,PG,PG,77,90.7,9.0,0.3,0.0,0.0
Bay Valley,Mendocino,Eian Macandog,14,s-PG,s-PG,,81.1,15.7,3.0,0.0,0.2
Bay Valley,Mendocino,Indy Dosanjh,22,PG,PG,,95.1,4.7,0.1,0.0,0.0
Bay Valley,Mendocino,Isiah Garza,28,WG,WG,,13.7,63.9,10.7,1.5,10.2
Bay Valley,Mendocino,Jack Reardon,28,CG,CG,,36.2,58.6,4.9,0.1,0.3
Bay Valley,Mendocino,Jordan Blue,28,PG,PG,,90.4,9.4,0.1,0.0,0.0
Bay Valley,Mendocino,Saben Atteberry,28,PF/C,PF/C,,1.4,5.6,16.6,12.2,64.2
Bay Valley,Mendocino,Zoentrey Henson,7,WG,WG,,26.3,27.3,35.1,5.6,5.6
Bay Valley,Merritt,Abel Ketema,10,WF,WF,,5.0,13.1,41.6,10.6,29.7
Bay Valley,Merritt,Chokri Bachta,24,C,C,79,0.0,0.0,0.3,5.9,93.7
Bay Valley,Merritt,DJ Leaks,24,CG,CG,,27.7,59.2,5.3,1.8,5.9
Bay Valley,Merritt,Dunkan Nguyen,10,s-PG,s-PG,,63.8,32.3,2.3,0.1,1.6
