conference,team,games_checked,games_used,games_rejected,strict_possessions,strict_ortg,strict_drtg,strict_net,bpm_team_target,obpm_team_target,team_bpm_adjustment,team_obpm_adjustment,reject_reasons
Pacific Coast Athletic,San Diego City,36,31,5,2549.9,107.2,91.6,15.6,6.24,3.16,-1.738,-0.72,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 4}"
WSC South,Citrus,32,27,5,2026.2,112.1,98.3,13.9,5.55,5.12,-3.648,-0.252,"{'score_total_mismatch': 2, 'incomplete_minutes_total': 1, 'team_missing_from_box': 2}"
WSC South,Antelope Valley,32,25,7,1859.9,105.8,97.0,8.8,3.51,2.57,-3.182,-0.808,"{'incomplete_minutes_total': 5, 'team_missing_from_box': 1, 'score_total_mismatch': 1}"
Orange Empire Athletic,Irvine Valley,29,24,5,1636.2,99.1,96.3,2.8,1.1,-0.1,-5.606,-3.681,"{'incomplete_minutes_total': 3, 'team_missing_from_box': 2}"
Orange Empire Athletic,Orange Coast,30,23,7,1827.2,94.6,92.1,2.5,1.01,-1.9,-5.675,-4.408,"{'incomplete_minutes_total': 4, 'team_missing_from_box': 3}"
Pacific Coast Athletic,Palomar,30,23,7,1744.3,98.5,95.8,2.7,1.08,-0.33,-3.898,-2.45,"{'incomplete_minutes_total': 6, 'team_missing_from_box': 1}"
WSC South,LA Valley,25,23,2,1751.5,91.1,98.0,-7.0,-2.79,-3.3,-8.211,-5.752,"{'incomplete_minutes_total': 1, 'team_missing_from_box': 1}"
Orange Empire Athletic,Santiago Canyon,31,22,9,1683.8,114.6,105.3,9.3,3.73,6.12,-4.156,1.329,"{'incomplete_player_box': 1, 'team_missing_from_box': 6, 'incomplete_minutes_total': 1, 'score_total_mismatch': 1}"
Orange Empire Athletic,Saddleback,28,21,7,1385.2,95.9,89.4,6.5,2.6,-1.35,-2.857,-3.463,"{'team_missing_from_box': 2, 'incomplete_minutes_total': 3, 'score_total_mismatch': 1, 'incomplete_player_box': 1}"
WSC South,Glendale,27,21,6,1524.2,101.0,102.9,-1.9,-0.76,0.66,-6.675,-2.741,"{'incomplete_minutes_total': 3, 'team_missing_from_box': 3}"
WSC South,West LA,29,21,8,1647.4,104.7,102.2,2.5,1.0,2.15,-6.875,-2.387,"{'team_missing_from_box': 3, 'incomplete_minutes_total': 3, 'score_total_mismatch': 1, 'incomplete_player_box': 1}"
WSC North,Allan Hancock,33,20,13,1456.6,103.6,100.8,2.8,1.13,1.71,-6.492,-2.537,{'incomplete_minutes_total': 13}
WSC North,Ventura,31,20,11,1511.6,102.3,99.5,2.8,1.11,1.18,-5.094,-1.844,"{'incomplete_minutes_total': 7, 'team_missing_from_box': 3, 'score_total_mismatch': 1}"
Inland Empire Athletic,Chaffey,29,19,10,1344.6,102.3,90.4,12.0,4.79,1.2,-1.711,-2.353,"{'incomplete_minutes_total': 3, 'team_missing_from_box': 4, 'score_total_mismatch': 2, 'incomplete_player_box': 1}"
Orange Empire Athletic,Cypress,27,19,8,1347.0,91.6,101.6,-10.0,-4.01,-3.08,-9.047,-5.086,"{'incomplete_minutes_total': 7, 'team_missing_from_box': 1}"
Pacific Coast Athletic,MiraCosta,26,19,7,1504.8,96.4,110.5,-14.1,-5.64,-1.16,-10.379,-3.974,"{'incomplete_minutes_total': 4, 'score_total_mismatch': 1, 'team_missing_from_box': 1, 'incomplete_player_box': 1}"
South Coast-South,Cerritos,33,19,14,1467.7,104.2,92.6,11.6,4.63,1.94,-2.966,-1.922,"{'team_missing_from_box': 10, 'incomplete_player_box': 1, 'incomplete_minutes_total': 3}"
South Coast-South,Long Beach,31,19,12,1442.2,106.2,102.3,3.9,1.55,2.76,-5.204,-0.956,"{'incomplete_player_box': 1, 'team_missing_from_box': 7, 'incomplete_minutes_total': 3, 'score_total_mismatch': 1}"
Orange Empire Athletic,Riverside,27,18,9,1276.4,100.5,98.4,2.1,0.85,0.48,-5.341,-2.788,"{'incomplete_minutes_total': 3, 'score_total_mismatch': 1, 'team_missing_from_box': 5}"
South Coast-North,Rio Hondo,25,18,7,1309.7,99.9,109.6,-9.7,-3.88,0.22,-10.446,-3.548,"{'team_missing_from_box': 1, 'incomplete_minutes_total': 4, 'incomplete_player_box': 2}"
WSC North,Moorpark,27,18,9,1305.2,99.8,103.1,-3.3,-1.32,0.17,-7.701,-3.231,"{'score_total_mismatch': 3, 'incomplete_player_box': 2, 'team_missing_from_box': 2, 'incomplete_minutes_total': 2}"
