rank,conference,team,player,games,strict_team_games,minutes,mpg,min_pct,position_scale,creation_role,raw_bpm,bpm,obpm,dbpm,vorp_style,pts_per100,adj_pts_per100,ast_per100,reb_per100,stl_per100,blk_per100,to_per100,qualifies_minutes
1,Inland Empire Athletic,San Bernardino Valley,Dominique Daniels,20,21,621.0,31.1,73.7,2.45,1.0,18.89,18.21,15.28,2.93,3.815,38.5,33.0,9.2,6.0,3.6,0.1,3.3,True
2,Central Valley,Sequoias,Scott Ator,23,23,602.0,26.2,65.4,5.0,2.44,16.67,17.64,9.42,8.22,3.605,20.1,17.4,7.2,12.4,2.3,4.0,2.8,True
3,Central Valley,Sequoias,Ryan Johnson,23,23,660.0,28.7,71.7,2.59,2.57,16.1,17.07,9.74,7.33,3.837,33.5,27.9,4.0,11.7,5.0,2.2,3.5,True
4,South Coast-North,East Los Angeles,JT Langston,19,19,361.0,19.0,47.2,4.52,2.79,11.38,14.11,7.25,6.86,1.761,25.5,22.3,2.2,16.9,2.2,4.3,4.8,True
5,South Coast-North,East Los Angeles,Bryan Penn-Johnson,19,19,260.0,13.7,34.0,4.61,2.95,11.13,13.86,7.11,6.75,1.249,31.5,27.5,2.3,16.1,1.9,4.5,5.4,True
6,Pacific Coast Athletic,San Diego City,Drew Cisse,21,21,482.0,23.0,57.4,5.0,2.86,13.36,13.46,7.91,5.55,2.271,22.3,19.6,3.2,23.2,3.7,5.1,3.7,True
7,WSC South,Citrus,Cedric Reed,26,26,573.0,22.0,54.6,2.47,2.32,14.24,13.27,7.56,5.71,2.644,27.9,26.0,3.9,6.5,4.0,0.3,2.3,True
8,South Coast-North,East Los Angeles,Dezmond Washington,19,19,428.0,22.5,55.9,3.04,2.52,10.52,13.25,8.61,4.65,1.977,27.1,23.4,3.2,8.7,2.7,0.8,3.2,True
9,Pacific Coast Athletic,San Diego City,Jonathan Ogugua,21,21,616.0,29.3,73.3,2.43,1.43,13.04,13.14,8.78,4.36,2.842,35.4,30.9,4.9,5.7,4.5,0.3,3.4,True
10,South Coast-South,Cerritos,Juice Belvin,17,23,352.0,20.7,37.9,2.65,2.53,15.76,13.07,6.7,6.37,1.6,35.4,32.9,5.5,14.9,4.7,0.6,3.8,True
