conference,team,games_checked,games_used,games_rejected,strict_possessions,strict_ortg,strict_drtg,strict_net,bpm_team_target,obpm_team_target,team_bpm_adjustment,team_obpm_adjustment,reject_reasons
Orange Empire Athletic,Riverside,29,28,1,2008.3,107.5,91.1,16.4,6.55,3.52,-2.403,-1.154,{'score_total_mismatch': 1}
Orange Empire Athletic,Santiago Canyon,28,27,1,2081.0,114.7,99.4,15.2,6.09,6.4,-1.772,2.043,{'incomplete_minutes_total': 1}
WSC South,West LA,32,27,5,2049.0,107.6,89.8,17.8,7.13,3.59,-2.462,-1.39,{'score_total_mismatch': 5}
Orange Empire Athletic,Fullerton,29,26,3,1836.9,108.1,92.5,15.5,6.21,3.77,-0.692,0.329,"{'score_total_mismatch': 2, 'team_missing_from_box': 1}"
Orange Empire Athletic,Saddleback,29,26,3,1852.4,106.4,99.2,7.2,2.89,3.1,-4.281,-0.752,"{'incomplete_minutes_total': 2, 'score_total_mismatch': 1}"
WSC South,Citrus,29,26,3,2098.4,106.1,87.6,18.5,7.4,2.97,-0.967,-1.496,{'incomplete_minutes_total': 3}
WSC South,Glendale,27,25,2,1936.2,92.9,98.7,-5.8,-2.31,-2.29,-8.191,-5.339,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 1}"
WSC South,Santa Monica,28,25,3,1994.6,102.0,103.6,-1.6,-0.64,1.33,-7.634,-2.732,{'score_total_mismatch': 3}
Inland Empire Athletic,Palo Verde,28,24,4,1969.4,93.8,99.2,-5.4,-2.15,-1.94,-8.155,-4.84,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 2, 'incomplete_player_box': 1}"
WSC South,Canyons,26,24,2,1902.9,100.6,99.5,1.1,0.44,0.78,-6.242,-2.556,"{'incomplete_minutes_total': 1, 'team_missing_from_box': 1}"
Central Valley,Sequoias,32,23,9,1782.8,113.1,85.1,27.9,11.17,5.77,0.97,0.415,"{'incomplete_minutes_total': 8, 'score_total_mismatch': 1}"
Orange Empire Athletic,Cypress,30,23,7,1665.4,102.2,94.8,7.4,2.98,1.42,-4.254,-2.393,"{'incomplete_minutes_total': 6, 'team_missing_from_box': 1}"
South Coast-South,Cerritos,28,23,5,1683.0,103.4,92.5,10.9,4.37,1.92,-2.696,-1.794,{'incomplete_minutes_total': 5}
Orange Empire Athletic,Orange Coast,26,22,4,1682.7,88.3,105.2,-16.9,-6.77,-4.13,-12.775,-6.759,"{'incomplete_minutes_total': 2, 'score_total_mismatch': 1, 'incomplete_player_box': 1}"
WSC North,Cuesta,28,22,6,1619.3,98.9,98.9,0.1,0.02,0.11,-7.373,-4.467,"{'incomplete_minutes_total': 4, 'score_total_mismatch': 1, 'incomplete_player_box': 1}"
Inland Empire Athletic,Mt. San Jacinto,29,21,8,1602.8,105.6,97.6,8.0,3.19,2.77,-5.762,-2.537,"{'incomplete_minutes_total': 7, 'team_missing_from_box': 1}"
Inland Empire Athletic,San Bernardino Valley,30,21,9,1541.5,117.3,93.8,23.5,9.39,7.46,-0.682,1.833,"{'score_total_mismatch': 2, 'incomplete_minutes_total': 5, 'team_missing_from_box': 1, 'incomplete_player_box': 1}"
Orange Empire Athletic,Santa Ana,25,21,4,1569.2,86.0,108.1,-22.2,-8.87,-5.07,-14.669,-8.291,"{'incomplete_minutes_total': 3, 'score_total_mismatch': 1}"
Pacific Coast Athletic,Palomar,28,21,7,1610.5,93.6,89.8,3.8,1.52,-2.0,-3.766,-4.46,"{'incomplete_minutes_total': 5, 'score_total_mismatch': 1, 'incomplete_player_box': 1}"
Pacific Coast Athletic,San Diego City,28,21,7,1520.6,109.8,89.4,20.4,8.15,4.44,0.098,0.534,"{'incomplete_minutes_total': 6, 'incomplete_player_box': 1}"
South Coast-South,Long Beach,29,21,8,1618.0,99.6,97.3,2.3,0.91,0.39,-6.487,-3.813,"{'score_total_mismatch': 2, 'incomplete_minutes_total': 5, 'team_missing_from_box': 1}"
WSC South,Antelope Valley,27,21,6,1628.5,91.0,98.7,-7.7,-3.07,-3.06,-9.815,-6.17,"{'incomplete_minutes_total': 4, 'team_missing_from_box': 2}"
WSC South,Bakersfield,26,21,5,1542.9,98.3,94.9,3.3,1.32,-0.16,-5.744,-4.188,{'incomplete_minutes_total': 5}
Orange Empire Athletic,Golden West,27,20,7,1598.4,91.1,109.1,-18.0,-7.21,-3.02,-11.468,-5.106,"{'incomplete_minutes_total': 6, 'score_total_mismatch': 1}"
Orange Empire Athletic,Irvine Valley,28,20,8,1309.1,95.3,95.8,-0.5,-0.21,-1.36,-6.365,-4.421,{'incomplete_minutes_total': 8}
