conference,team,games_checked,games_used,games_rejected,strict_possessions,strict_ortg,strict_drtg,strict_net,bpm_team_target,obpm_team_target,team_bpm_adjustment,team_obpm_adjustment,reject_reasons
South Coast-North,Mt. San Antonio,27,20,7,1609.3,99.6,91.2,8.4,3.36,0.39,-3.062,-2.353,"{'team_missing_from_box': 1, 'incomplete_minutes_total': 5, 'incomplete_player_box': 1}"
South Coast-North,Pasadena City,26,20,6,1614.0,79.7,107.8,-28.1,-11.25,-7.59,-16.7,-9.765,"{'team_missing_from_box': 3, 'incomplete_minutes_total': 3}"
South Coast-North,Rio Hondo,28,20,8,1503.6,95.5,100.9,-5.4,-2.15,-1.26,-7.998,-4.194,"{'incomplete_minutes_total': 7, 'team_missing_from_box': 1}"
WSC North,Santa Barbara,26,20,6,1571.0,95.2,101.9,-6.7,-2.67,-1.37,-8.007,-3.665,{'incomplete_minutes_total': 6}
WSC North,Ventura,25,20,5,1489.1,107.1,91.5,15.6,6.26,3.39,-0.812,-0.236,{'incomplete_minutes_total': 5}
Inland Empire Athletic,Desert,27,19,8,1534.8,97.1,109.1,-11.9,-4.77,-0.6,-11.894,-4.761,"{'incomplete_minutes_total': 7, 'incomplete_player_box': 1}"
South Coast-North,East Los Angeles,30,19,11,1511.1,111.8,86.7,25.1,10.03,5.25,2.729,1.875,"{'incomplete_minutes_total': 8, 'score_total_mismatch': 1, 'incomplete_player_box': 1, 'team_missing_from_box': 1}"
Inland Empire Athletic,Victor Valley,28,18,10,1356.1,86.6,107.9,-21.2,-8.5,-4.8,-12.221,-6.548,{'incomplete_minutes_total': 10}
South Coast-South,Compton,26,18,8,1508.7,100.1,105.3,-5.2,-2.07,0.58,-9.086,-2.827,"{'incomplete_minutes_total': 6, 'score_total_mismatch': 1, 'incomplete_player_box': 1}"
WSC North,Moorpark,27,18,9,1468.3,99.9,101.9,-2.0,-0.79,0.51,-7.557,-3.3,"{'score_total_mismatch': 2, 'incomplete_player_box': 5, 'incomplete_minutes_total': 2}"
South Coast-North,LA Trade Tech,23,17,6,1363.4,86.3,95.9,-9.7,-3.87,-4.96,-9.627,-7.466,"{'score_total_mismatch': 2, 'incomplete_minutes_total': 3, 'incomplete_player_box': 1}"
Inland Empire Athletic,Chaffey,28,16,12,1025.1,102.8,105.2,-2.3,-0.94,1.67,-8.301,-2.713,"{'incomplete_minutes_total': 11, 'incomplete_player_box': 1}"
Pacific Coast Athletic,Grossmont,26,16,10,1178.0,92.4,101.8,-9.3,-3.74,-2.48,-10.406,-5.768,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 9}"
WSC North,Allan Hancock,27,16,11,1212.5,104.2,94.2,10.0,3.99,2.21,-2.429,-1.201,"{'incomplete_minutes_total': 9, 'score_total_mismatch': 1, 'incomplete_player_box': 1}"
South Coast-South,LA Southwest,29,15,14,1285.1,106.5,104.3,2.3,0.9,3.15,-6.613,-0.927,"{'incomplete_minutes_total': 10, 'score_total_mismatch': 2, 'incomplete_player_box': 2}"
Pacific Coast Athletic,San Diego Mesa,24,13,11,958.2,98.7,88.0,10.7,4.3,0.03,-2.749,-3.229,{'incomplete_minutes_total': 11}
South Coast-South,El Camino,27,13,14,1058.4,75.7,112.2,-36.6,-14.63,-9.19,-17.306,-9.855,"{'incomplete_minutes_total': 9, 'team_missing_from_box': 5}"
WSC South,LA Valley,22,13,9,1001.2,81.8,98.1,-16.3,-6.51,-6.74,-11.971,-9.238,"{'team_missing_from_box': 6, 'incomplete_minutes_total': 2, 'score_total_mismatch': 1}"
Inland Empire Athletic,Barstow,26,12,14,1026.8,87.9,105.4,-17.4,-6.97,-4.28,-14.498,-7.977,"{'incomplete_minutes_total': 7, 'score_total_mismatch': 1, 'incomplete_player_box': 5, 'team_missing_from_box': 1}"
Inland Empire Athletic,Copper Mountain,30,12,18,896.5,95.4,102.1,-6.7,-2.68,-1.31,-8.619,-4.172,"{'incomplete_minutes_total': 12, 'score_total_mismatch': 2, 'incomplete_player_box': 4}"
Pacific Coast Athletic,San Diego Miramar,29,10,19,697.7,94.3,95.3,-1.0,-0.4,-1.73,-6.62,-4.666,"{'incomplete_minutes_total': 18, 'score_total_mismatch': 1}"
WSC North,LA Pierce,28,10,18,805.1,91.0,99.2,-8.2,-3.28,-3.04,-9.631,-6.329,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 15, 'incomplete_player_box': 2}"
WSC North,Oxnard,22,10,12,805.2,90.8,105.9,-15.2,-6.06,-3.15,-12.821,-6.666,"{'team_missing_from_box': 2, 'incomplete_player_box': 3, 'incomplete_minutes_total': 7}"
Bay Valley,Solano,24,9,15,717.6,96.1,110.2,-14.1,-5.63,-1.0,-10.987,-3.619,"{'incomplete_minutes_total': 14, 'incomplete_player_box': 1}"
Pacific Coast Athletic,Southwestern,27,9,18,625.2,87.3,97.4,-10.1,-4.03,-4.52,-7.846,-5.297,"{'incomplete_minutes_total': 16, 'incomplete_player_box': 2}"
Inland Empire Athletic,Cerro Coso,28,8,20,627.7,92.1,96.1,-4.0,-1.59,-2.62,-6.858,-5.111,"{'incomplete_minutes_total': 18, 'incomplete_player_box': 2}"
Pacific Coast Athletic,Imperial Valley,19,8,11,641.1,85.3,115.3,-30.0,-11.98,-5.33,-17.528,-8.614,"{'incomplete_player_box': 2, 'incomplete_minutes_total': 9}"
South Coast-South,LA Harbor,25,8,17,641.0,103.6,94.7,8.9,3.56,1.98,-3.995,-1.895,"{'incomplete_minutes_total': 16, 'score_total_mismatch': 1}"
Pacific Coast Athletic,Cuyamaca,27,7,20,523.4,86.2,99.9,-13.8,-5.5,-4.99,-10.305,-7.316,"{'incomplete_minutes_total': 16, 'incomplete_player_box': 4}"
Central Valley,Fresno,25,6,19,470.2,96.1,102.1,-6.0,-2.38,-1.01,-8.623,-3.758,"{'incomplete_player_box': 3, 'incomplete_minutes_total': 15, 'score_total_mismatch': 1}"
Coast-North,Chabot,29,5,24,394.3,99.4,93.3,6.1,2.43,0.3,-3.874,-2.75,"{'incomplete_minutes_total': 22, 'incomplete_player_box': 2}"
Coast-South,West Valley,30,5,25,358.4,106.3,85.4,20.9,8.37,3.06,1.269,-1.092,"{'incomplete_minutes_total': 23, 'incomplete_player_box': 2}"
Big Eight,Cosumnes River,26,4,22,313.3,101.2,93.2,8.0,3.19,1.02,-2.801,-1.96,"{'incomplete_minutes_total': 20, 'incomplete_player_box': 2}"
Central Valley,Porterville,27,4,23,310.4,93.4,106.0,-12.6,-5.03,-2.08,-11.312,-5.085,"{'incomplete_minutes_total': 21, 'incomplete_player_box': 1, 'score_total_mismatch': 1}"
Central Valley,West Hills Coalinga,28,4,24,319.4,82.7,109.9,-27.2,-10.9,-6.4,-15.783,-8.267,"{'incomplete_minutes_total': 21, 'incomplete_player_box': 3}"
Big Eight,American River,26,3,23,234.8,89.9,101.4,-11.5,-4.6,-3.51,-10.752,-6.869,"{'incomplete_minutes_total': 20, 'incomplete_player_box': 3}"
Big Eight,Folsom Lake,27,3,24,222.1,110.8,98.1,12.6,5.04,4.84,-3.003,-0.005,{'incomplete_minutes_total': 24}
Central Valley,Reedley,28,3,25,252.6,81.2,123.5,-42.4,-16.94,-6.99,-21.968,-9.603,"{'incomplete_minutes_total': 22, 'incomplete_player_box': 3}"
Central Valley,West Hills Lemoore,25,3,22,236.1,97.4,104.2,-6.8,-2.71,-0.5,-10.07,-4.821,"{'incomplete_minutes_total': 18, 'team_missing_from_box': 2, 'incomplete_player_box': 2}"
Coast-North,Foothill,27,3,24,253.4,94.3,105.0,-10.7,-4.26,-1.73,-12.749,-5.431,{'incomplete_minutes_total': 24}
Bay Valley,Contra Costa,27,2,25,149.3,123.3,105.8,17.4,6.97,9.85,-3.62,2.303,{'incomplete_minutes_total': 25}
Central Valley,Columbia,30,2,28,138.5,92.4,106.8,-14.4,-5.78,-2.49,-11.728,-5.829,"{'incomplete_minutes_total': 26, 'incomplete_player_box': 2}"
Coast-North,Ohlone,24,2,22,171.7,66.4,132.2,-65.8,-26.32,-12.91,-29.161,-14.342,"{'incomplete_minutes_total': 11, 'incomplete_player_box': 11}"
Coast-North,San Francisco,32,2,30,158.8,95.7,86.3,9.4,3.78,-1.17,-1.268,-3.389,"{'incomplete_minutes_total': 29, 'incomplete_player_box': 1}"
Coast-South,San Jose,29,2,27,150.6,102.2,89.0,13.3,5.31,1.43,-2.388,-1.663,"{'incomplete_minutes_total': 26, 'score_total_mismatch': 1}"
Golden Valley,Redwoods,25,2,23,163.5,100.9,107.7,-6.7,-2.69,0.91,-11.592,-5.261,{'incomplete_minutes_total': 23}
Bay Valley,Los Medanos,30,1,29,83.8,121.7,105.0,16.7,6.68,9.24,0.286,6.109,"{'incomplete_minutes_total': 26, 'incomplete_player_box': 3}"
Bay Valley,Merritt,14,1,13,78.9,106.5,78.6,27.9,11.16,3.13,2.179,-2.08,{'incomplete_minutes_total': 13}
Bay Valley,Napa Valley,28,1,27,86.2,101.0,94.0,7.0,2.79,0.93,-3.763,-1.823,"{'incomplete_minutes_total': 25, 'incomplete_player_box': 2}"
Big Eight,Sacramento City,22,1,21,78.3,115.0,111.1,3.8,1.53,6.53,-2.638,4.697,"{'incomplete_minutes_total': 20, 'incomplete_player_box': 1}"
Big Eight,Sierra,28,1,27,76.8,112.0,86.0,26.0,10.42,5.34,-2.054,-2.05,"{'incomplete_minutes_total': 24, 'incomplete_player_box': 3}"
Central Valley,Merced,14,1,13,84.0,96.4,106.0,-9.5,-3.81,-0.89,-10.58,-5.125,"{'incomplete_minutes_total': 5, 'incomplete_player_box': 8}"
Coast-North,De Anza,27,1,26,73.5,99.3,100.7,-1.4,-0.54,0.27,-7.269,-3.039,{'incomplete_minutes_total': 26}
Coast-North,Las Positas,31,1,30,74.6,85.8,103.2,-17.4,-6.97,-5.15,-10.531,-7.214,"{'incomplete_minutes_total': 29, 'incomplete_player_box': 1}"
Coast-North,Skyline,28,1,27,73.8,85.4,88.1,-2.7,-1.08,-5.29,-6.43,-8.18,"{'incomplete_minutes_total': 25, 'incomplete_player_box': 2}"
Pacific Coast Athletic,MiraCosta,2,1,1,71.5,82.5,97.9,-15.4,-6.15,-6.45,-13.598,-11.774,{'incomplete_minutes_total': 1}
