conference,team,name,games,pos_class,pos_no_ht,height,p_pg,p_sg,p_sf,p_pf,p_c
Bay Valley,Alameda,Darius Mason,19,PF/C,PF/C,,0.0,0.2,13.3,48.9,37.6
Bay Valley,Alameda,David Thomas,19,s-PG,s-PG,,61.9,24.3,13.3,0.1,0.5
Bay Valley,Alameda,Devin Lewis,22,CG,CG,,38.2,25.1,36.1,0.2,0.4
Bay Valley,Alameda,Donte Henderson,25,WG,WG,,9.1,10.9,72.8,6.9,0.3
Bay Valley,Alameda,Isaiah Eisten,5,WG,WG,,17.0,40.9,40.7,0.6,0.8
Bay Valley,Alameda,Isaiah Elston,19,WG,WG,,18.6,37.2,40.6,1.4,2.2
Bay Valley,Alameda,James Clay,26,S-PF,S-PF,,0.0,0.2,22.0,75.3,2.6
Bay Valley,Alameda,Kot Majier Manyiel,23,WG,WG,,6.0,18.0,71.6,2.0,2.3
Bay Valley,Alameda,Loyal Morris,9,WF,WF,,2.7,16.4,48.3,9.4,23.2
Bay Valley,Alameda,Lucas Boze,26,CG,CG,,20.8,68.2,10.4,0.1,0.4
Bay Valley,Alameda,Myles De Los Santos Moore,21,WF,WF,,5.9,3.8,80.2,9.2,0.9
Bay Valley,Alameda,Myles Moore,5,WG,WG,,18.8,14.0,66.5,0.3,0.5
Bay Valley,Alameda,Oluwafeoiami Onabote,26,WG,WG,,13.3,55.5,30.8,0.2,0.3
Bay Valley,Alameda,Tyrone Lee Gipson,17,WG,WG,,29.1,18.6,49.3,2.4,0.5
Bay Valley,Contra Costa,Bobby Williams,25,WG,WG,,2.7,40.8,8.8,29.5,18.3
Bay Valley,Contra Costa,Cayden Clagett,23,s-PG,s-PG,,65.8,28.4,4.4,0.3,1.1
Bay Valley,Contra Costa,Christian Marshall,22,CG,CG,,49.2,49.6,1.1,0.0,0.1
Bay Valley,Contra Costa,David Danon,20,S-PF,S-PF,,0.1,0.9,45.7,46.7,6.6
Bay Valley,Contra Costa,Isreal LeGree,16,CG,CG,,34.9,54.7,8.6,0.6,1.2
Bay Valley,Contra Costa,Jaden Jones,27,s-PG,s-PG,,57.7,40.3,1.9,0.0,0.1
Bay Valley,Contra Costa,Julius Wade,27,WG,WG,,3.5,42.9,10.3,5.8,37.5
Bay Valley,Contra Costa,Mykel Patton,24,PG,PG,,98.4,1.1,0.5,0.0,0.0
Bay Valley,Contra Costa,Myles Gilder,7,PG,PG,,99.6,0.2,0.3,0.0,0.0
Bay Valley,Contra Costa,Nikos Gamble,14,WG,WG,,17.7,34.4,39.0,3.9,5.0
Bay Valley,Contra Costa,Spencer Shonnard,27,CG,CG,,31.7,52.3,14.2,0.7,1.1
Bay Valley,Contra Costa,Steven Brown,27,WG,WG,,18.1,45.1,32.3,1.7,2.8
Bay Valley,Contra Costa,Tremaine Moore,27,WF,WF,,2.8,9.4,73.0,11.4,3.4
Bay Valley,Contra Costa,Tristin Redman,12,S-PF,S-PF,,0.1,0.4,17.1,81.0,1.4
Bay Valley,Contra Costa,Xavier Willoughby,13,PG,PG,,93.2,6.6,0.2,0.0,0.0
