conference,team,name,games,pos_class,pos_no_ht,height,p_pg,p_sg,p_sf,p_pf,p_c
Bay Valley,Alameda,Brian Chavareji,13,PF/C,PF/C,,0.0,0.0,7.2,92.2,0.6
Bay Valley,Alameda,Corey Brooks Jr,19,s-PG,s-PG,,81.5,16.7,1.8,0.0,0.0
Bay Valley,Alameda,Daniel Combs,14,WG,WG,,11.9,1.3,82.7,4.0,0.1
Bay Valley,Alameda,DeAndre Vortes,30,WG,WG,,31.6,33.5,32.2,1.0,1.7
Bay Valley,Alameda,Dewayne Johnson,30,PF/C,PF/C,,2.3,24.5,20.2,9.0,44.0
Bay Valley,Alameda,Jackson Beieler,6,CG,CG,,45.3,46.4,5.4,0.4,2.5
Bay Valley,Alameda,Jeremiah Stamps,30,WF,WF,,0.4,4.9,45.5,33.7,15.4
Bay Valley,Alameda,Kameron Malbrough,30,s-PG,s-PG,,65.5,34.5,0.0,0.0,0.0
Bay Valley,Alameda,Mamane Yaou,28,PF/C,PF/C,,0.1,0.8,13.4,66.1,19.6
Bay Valley,Alameda,Markus Gilbert,18,PF/C,PF/C,,0.0,0.1,0.9,52.0,47.0
Bay Valley,Alameda,Michael Woolridge,13,PG,PG,,86.8,13.0,0.2,0.0,0.0
Bay Valley,Alameda,Terrell Brown,30,s-PG,s-PG,,53.3,46.3,0.4,0.0,0.0
Bay Valley,Alameda,Treyvon Watson,26,s-PG,s-PG,,61.8,33.1,4.6,0.0,0.5
Bay Valley,Alameda,Zu Ding Ng,26,PG,PG,,90.8,8.8,0.4,0.0,0.0
Bay Valley,Contra Costa,Andrew Guiang,26,s-PG,s-PG,,55.5,37.1,7.0,0.1,0.3
Bay Valley,Contra Costa,Andrue Nieves,16,PG,PG,,91.8,7.8,0.3,0.0,0.0
Bay Valley,Contra Costa,Darren Bracy,24,WG,WG,,19.9,27.7,42.4,7.6,2.5
Bay Valley,Contra Costa,Devon Neal,27,PF/C,PF/C,,0.0,0.5,2.9,16.2,80.4
Bay Valley,Contra Costa,Elijah Canales,12,CG,CG,,24.2,72.1,3.6,0.0,0.1
Bay Valley,Contra Costa,Isaiah Thomas,24,PG,PG,,89.2,8.3,2.4,0.0,0.1
Bay Valley,Contra Costa,Jalen Scott,27,WG,WG,,21.5,54.3,9.8,3.1,11.2
Bay Valley,Contra Costa,John Wade,18,CG,CG,,47.3,45.7,6.9,0.1,0.0
Bay Valley,Contra Costa,Keith Allison,25,CG,CG,,41.9,48.2,9.7,0.1,0.2
Bay Valley,Contra Costa,Matthew Roache,5,PF/C,PF/C,,8.0,16.7,6.7,2.4,66.2
Bay Valley,Contra Costa,Rasheen Frazier,27,WG,WG,,5.8,39.5,39.1,13.5,2.2
Bay Valley,Contra Costa,Sam Johannessen,26,WG,WG,,10.7,22.4,57.6,3.8,5.6
Bay Valley,Contra Costa,Zakius Boquet,13,WG,WG,,7.7,28.9,38.4,15.9,9.2
Bay Valley,Los Medanos,Charles Stanford,29,CG,CG,,30.1,67.2,2.1,0.0,0.6
Bay Valley,Los Medanos,Demarshe Ragler,29,PF/C,PF/C,,0.0,0.1,3.0,44.0,52.9
Bay Valley,Los Medanos,Duben Boardman,27,CG,CG,,45.8,39.0,11.2,0.1,3.9
Bay Valley,Los Medanos,Henry Sires,29,CG,CG,,37.4,39.9,19.6,3.0,0.2
Bay Valley,Los Medanos,James Ebert,12,s-PG,s-PG,,76.8,16.1,6.2,0.2,0.7
Bay Valley,Los Medanos,John Fornbacher,6,WF,WF,,1.5,3.7,48.8,40.9,5.2
Bay Valley,Los Medanos,Nnamdi Vixon,29,s-PG,s-PG,,74.9,22.2,2.6,0.0,0.2
Bay Valley,Los Medanos,RJ Serna,26,CG,CG,,44.6,42.0,8.8,0.2,4.4
Bay Valley,Los Medanos,Roman Merritt,8,PG,PG,,100.0,0.0,0.0,0.0,0.0
Bay Valley,Los Medanos,Zack Martinez,29,CG,CG,,29.7,69.2,0.6,0.0,0.5
Bay Valley,Los Medanos,jason holman,23,s-PG,s-PG,,60.7,37.9,1.0,0.0,0.4
Bay Valley,Los Medanos,keenami maggart,26,PF/C,PF/C,,0.0,0.1,1.0,50.1,48.9
Bay Valley,Marin,Alfonso Murrie,27,WF,WF,,0.8,12.8,39.3,22.0,25.1
Bay Valley,Marin,Brian Davis,12,s-PG,s-PG,,83.9,11.8,4.2,0.0,0.1
Bay Valley,Marin,Ethan Battistini,27,WF,WF,,0.3,6.0,66.1,19.7,7.9
Bay Valley,Marin,Franco Barefield,27,s-PG,s-PG,,72.4,26.7,0.9,0.0,0.0
Bay Valley,Marin,Ian Cerruti,27,s-PG,s-PG,,71.1,23.9,4.8,0.1,0.2
Bay Valley,Marin,Jalen Chandler,27,PF/C,PF/C,,0.1,5.8,6.0,3.5,84.6
Bay Valley,Marin,Jameel Jones,13,S-PF,S-PF,,0.0,0.3,44.6,52.4,2.7
