rank,conference,team,player,games,strict_team_games,minutes,mpg,min_pct,position_scale,creation_role,raw_bpm,bpm,obpm,dbpm,vorp_style,pts_per100,adj_pts_per100,ast_per100,reb_per100,stl_per100,blk_per100,to_per100,qualifies_minutes
1,Central Valley,Sequoias,Javohn Garcia,22,23,612.0,27.8,66.5,2.36,1.64,20.6,20.9,11.5,9.4,4.273,38.0,33.1,6.6,9.6,5.1,2.9,3.2,True
2,Inland Empire Athletic,San Bernardino Valley,Dominique Daniels,24,24,840.0,35.0,87.1,2.48,1.0,19.41,20.39,15.01,5.39,5.711,41.0,35.8,9.5,4.6,3.2,0.3,3.4,True
3,Central Valley,Sequoias,Terri Miller,22,23,575.0,26.1,62.5,4.94,1.79,19.17,19.47,9.77,9.7,3.763,28.6,25.0,10.1,19.2,3.4,3.2,4.3,True
4,South Coast-North,East Los Angeles,JT Langston,18,21,451.0,25.1,53.1,5.0,2.39,16.89,16.49,11.17,5.32,2.514,31.2,28.5,3.0,15.0,2.1,4.6,1.9,True
5,Central Valley,Sequoias,Alex Argandar,23,23,386.0,16.8,42.0,1.44,3.03,14.67,14.97,6.31,8.65,1.997,15.1,13.6,9.2,6.9,3.8,1.1,2.9,True
6,Inland Empire Athletic,San Bernardino Valley,Sebastian Mendoza,24,24,739.0,30.8,76.7,2.81,2.76,12.77,13.75,7.13,6.62,3.533,23.5,20.2,5.1,11.7,4.4,0.9,2.5,True
7,Pacific Coast Athletic,San Diego City,Al Green,24,24,676.0,28.2,70.4,2.66,1.77,13.12,13.44,10.82,2.62,3.181,28.9,24.5,4.8,8.6,2.5,1.2,3.4,True
8,Orange Empire Athletic,Fullerton,Sean Newman Jr.,28,28,814.0,29.1,72.3,2.34,1.0,11.96,12.82,8.85,3.97,3.659,25.4,21.3,10.7,7.5,1.5,1.0,4.3,True
9,WSC North,Ventura,Adrian McIntyre,23,28,751.0,32.7,66.6,2.43,1.83,13.2,11.56,9.62,1.94,3.085,30.4,26.8,6.3,8.1,2.3,0.6,3.4,True
10,Inland Empire Athletic,San Bernardino Valley,Sylis Gray,24,24,487.0,20.3,50.5,2.43,3.71,10.03,11.01,4.75,6.26,1.924,15.2,13.0,5.2,7.0,3.5,1.1,2.8,True
11,Orange Empire Athletic,Fullerton,Jeremiah Davis,28,28,715.0,25.5,63.5,2.8,2.87,10.14,11.0,6.46,4.54,2.819,23.6,19.5,3.9,8.0,3.1,0.7,2.5,True
12,Inland Empire Athletic,San Bernardino Valley,Chester Makoi,16,24,309.0,19.3,32.1,5.0,3.97,9.9,10.88,5.82,5.06,1.208,23.1,20.4,1.2,16.4,1.4,4.2,2.6,True
13,Orange Empire Athletic,Santiago Canyon,Aaron Wadman,29,29,894.0,30.8,76.5,3.44,1.0,15.18,10.83,10.97,-0.14,3.471,38.5,33.2,6.9,13.3,1.7,0.7,4.4,True
14,South Coast-North,East Los Angeles,Demetrius Calip,18,21,303.0,16.8,35.7,2.1,3.08,11.02,10.62,7.22,3.4,1.153,30.3,27.4,4.1,7.4,2.3,0.5,4.1,True
15,WSC North,Ventura,Anthony Garza,27,28,689.0,25.5,61.1,4.52,2.16,11.95,10.31,7.39,2.92,2.569,27.4,24.3,5.7,13.7,1.5,2.3,4.4,True
16,Inland Empire Athletic,San Bernardino Valley,Armon Muldrew,21,24,727.0,34.6,75.4,2.66,2.61,9.09,10.06,6.6,3.46,2.663,28.4,24.5,4.7,4.7,2.6,0.3,3.1,True
