team,status,png_path,raw_path,source_url,source_type,score
Oxnard,exists,internal_data/team_logos/png/oxnard.png,,https://cccmbca.org/action/cdn/logos/id/n0gd0hybx5pftuy3.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Palo Verde,exists,internal_data/team_logos/png/palo_verde.png,,https://cccmbca.org/action/cdn/logos/id/hlxj586jzlk1zlha.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Palomar,exists,internal_data/team_logos/png/palomar.png,,https://cccmbca.org/action/cdn/logos/id/bwanwegzfeb8a2gr.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Pasadena City,exists,internal_data/team_logos/png/pasadena_city.png,,https://cccmbca.org/action/cdn/logos/id/bjc9m1252g5g1il3.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Porterville,exists,internal_data/team_logos/png/porterville.png,,https://cccmbca.org/action/cdn/logos/id/9vmbzmax580f2x9z.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Redwoods,exists,internal_data/team_logos/png/redwoods.png,,https://cccmbca.org/action/cdn/logos/id/877xnsi0xt84z6ac.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Reedley,exists,internal_data/team_logos/png/reedley.png,,https://cccmbca.org/action/cdn/logos/id/u4xif7aso8bvgqm2.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Rio Hondo,exists,internal_data/team_logos/png/rio_hondo.png,,https://cccmbca.org/action/cdn/logos/id/r0ofrlkmrdjn8ppb.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Riverside,exists,internal_data/team_logos/png/riverside.png,,https://cccmbca.org/action/cdn/logos/id/q6w9iu2dns27kk5o.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Sacramento City,exists,internal_data/team_logos/png/sacramento_city.png,,https://cccmbca.org/action/cdn/logos/id/ss5uxlvorauli6lx.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Saddleback,exists,internal_data/team_logos/png/saddleback.png,,https://cccmbca.org/action/cdn/logos/id/2ylbakmz9dgcbcwm.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
San Bernardino Valley,exists,internal_data/team_logos/png/san_bernardino_valley.png,,https://cccmbca.org/action/cdn/logos/id/tsf0fv95sn4vg0vk.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
San Diego City,exists,internal_data/team_logos/png/san_diego_city.png,,https://cccmbca.org/action/cdn/logos/id/lae07spxlhs7w7tz.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
San Diego Mesa,exists,internal_data/team_logos/png/san_diego_mesa.png,,https://cccmbca.org/action/cdn/logos/id/pzwtnj78pis36bom.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
San Diego Miramar,exists,internal_data/team_logos/png/san_diego_miramar.png,,https://cccmbca.org/action/cdn/logos/id/ru8y7ru15ijkqley.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
San Francisco,exists,internal_data/team_logos/png/san_francisco.png,,https://cccmbca.org/action/cdn/logos/id/kf0pr6fl7tzwf51e.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
San Joaquin Delta,exists,internal_data/team_logos/png/san_joaquin_delta.png,,https://cccmbca.org/action/cdn/logos/id/h06fj07c17g87kv1.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
San Jose,exists,internal_data/team_logos/png/san_jose.png,,https://cccmbca.org/action/cdn/logos/id/i5kchzd5dp5eqrno.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
San Mateo,user_provided,internal_data/team_logos/png/san_mateo.png,internal_data/team_logos/raw/san_mateo_user_provided.png,/Users/chadoconnor/Documents/Primary_Logo_-_.5x (1).png,user_provided,
Santa Ana,exists,internal_data/team_logos/png/santa_ana.png,,https://cccmbca.org/action/cdn/logos/id/ofelhh5h8saji115.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Santa Barbara,exists,internal_data/team_logos/png/santa_barbara.png,,https://cccmbca.org/action/cdn/logos/id/z02uwvw38kl6hfhy.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Santa Monica,exists,internal_data/team_logos/png/santa_monica.png,,https://cccmbca.org/action/cdn/logos/id/s9usaj4yy1ewn41p.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Santa Rosa,user_provided,internal_data/team_logos/png/santa_rosa.png,internal_data/team_logos/raw/santa_rosa_user_provided.png,/Users/chadoconnor/Documents/PRIMARY_LOGO-0.25x-375.png,user_provided_cropped,
Santiago Canyon,exists,internal_data/team_logos/png/santiago_canyon.png,,https://cccmbca.org/action/cdn/logos/id/xzddfk2uh0w4maxo.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Sequoias,exists,internal_data/team_logos/png/sequoias.png,,https://cccmbca.org/action/cdn/logos/id/m6o3b6s2oi9wbdtl.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Shasta,exists,internal_data/team_logos/png/shasta.png,,https://cccmbca.org/action/cdn/logos/id/sygspzl0kpr5s0lr.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Sierra,exists,internal_data/team_logos/png/sierra.png,,https://cccmbca.org/action/cdn/logos/id/daqiyih2ndbrkn1u.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Siskiyous,exists,internal_data/team_logos/png/siskiyous.png,,https://cccmbca.org/action/cdn/logos/id/gtxv2f39fmxoqp14.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Skyline,exists,internal_data/team_logos/png/skyline.png,,https://cccmbca.org/action/cdn/logos/id/ersqowj9kts35tw5.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Solano,exists,internal_data/team_logos/png/solano.png,,https://cccmbca.org/action/cdn/logos/id/z4ezqnfapp581kvh.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Southwestern,exists,internal_data/team_logos/png/southwestern.png,,https://cccmbca.org/action/cdn/logos/id/hq4plswe69kkdzul.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Ventura,exists,internal_data/team_logos/png/ventura.png,,https://cccmbca.org/action/cdn/logos/id/uhlyq8lppwlv838g.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Victor Valley,user_provided,internal_data/team_logos/png/victor_valley.png,internal_data/team_logos/raw/victor_valley_user_provided.png,/Users/chadoconnor/Documents/Primary_Logo_-_.5x (4).png,user_provided_cropped,
West LA,exists,internal_data/team_logos/png/west_la.png,,https://cccmbca.org/action/cdn/logos/id/htk7jnj4jussgczr.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
West Valley,exists,internal_data/team_logos/png/west_valley.png,,https://cccmbca.org/action/cdn/logos/id/8dsuqwdc3ll6n1wu.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Yuba,exists,internal_data/team_logos/png/yuba.png,,https://cccmbca.org/action/cdn/logos/id/20gr1bgkxax2b86u.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
