date,opponent,venue,side,poss,poss_end,half,clock,mp_score,opp_score,lead,garbage,lineup,event,shot_type,result,assisted,pip,scp,pot,foul_type,bonus,ftm,fta,to_type,pts,notes
2025-11-10,Southwestern,Home,off,1,made_ft,2,0:56,83,72,11,1,#2 Aiden Bitran / #3 Eric Kubel / #22 Roman Finney / #24 Aeneas Grullon / #31 Noah Cotton,foul,,,,,,,nonshoot,1,1,2,,1,
2025-11-10,Southwestern,Home,off,2,dreb,2,0:56,83,72,11,1,#2 Aiden Bitran / #3 Eric Kubel / #22 Roman Finney / #24 Aeneas Grullon / #31 Noah Cotton,shot,2pa,missed,,,,,,,,,,0,
2025-11-10,Southwestern,Home,off,2,dreb,2,0:56,83,72,11,1,#2 Aiden Bitran / #3 Eric Kubel / #22 Roman Finney / #24 Aeneas Grullon / #31 Noah Cotton,dreb,,,,,,,,,,,,0,
2025-11-10,Southwestern,Home,off,3,made_ft,2,0:56,83,72,11,1,#2 Aiden Bitran / #3 Eric Kubel / #22 Roman Finney / #24 Aeneas Grullon / #31 Noah Cotton,foul,,,,,,,nonshoot,1,2,2,,2,
2025-11-10,Southwestern,Home,off,4,made_fg,2,0:56,83,72,11,1,#2 Aiden Bitran / #3 Eric Kubel / #22 Roman Finney / #24 Aeneas Grullon / #31 Noah Cotton,shot,2pa,made,,1,,1,,,,,,2,
2025-11-10,Southwestern,Home,off,5,dreb,2,0:56,83,72,11,1,#2 Aiden Bitran / #3 Eric Kubel / #22 Roman Finney / #24 Aeneas Grullon / #31 Noah Cotton,shot,2pa,missed,,,,,,,,,,0,
2025-11-10,Southwestern,Home,off,5,dreb,2,0:56,83,72,11,1,#2 Aiden Bitran / #3 Eric Kubel / #22 Roman Finney / #24 Aeneas Grullon / #31 Noah Cotton,dreb,,,,,,,,,,,,0,
