date,opponent,venue,side,poss,poss_end,half,clock,mp_score,opp_score,lead,garbage,lineup,event,shot_type,result,assisted,pip,scp,pot,foul_type,bonus,ftm,fta,to_type,pts,notes
2025-11-25,Bakersfield,Away,off,1,dreb,2,0:54,69,82,13,1,#3 Eric Kubel / #4 Markus Steele / #10 Zach Bauman / #20 Jake Field / #22 Roman Finney,shot,3pa,missed,,,,,,,,,,0,
2025-11-25,Bakersfield,Away,off,1,dreb,2,0:54,69,82,13,1,#3 Eric Kubel / #4 Markus Steele / #10 Zach Bauman / #20 Jake Field / #22 Roman Finney,dreb,,,,,,,,,,,,0,
2025-11-25,Bakersfield,Away,off,2,dreb,2,0:54,69,82,13,1,#3 Eric Kubel / #4 Markus Steele / #10 Zach Bauman / #20 Jake Field / #22 Roman Finney,shot,3pa,missed,,,,,,,,,,0,
2025-11-25,Bakersfield,Away,off,2,dreb,2,0:54,69,82,13,1,#3 Eric Kubel / #4 Markus Steele / #10 Zach Bauman / #20 Jake Field / #22 Roman Finney,dreb,,,,,,,,,,,,0,
2025-11-25,Bakersfield,Away,off,3,steal,2,0:54,69,82,13,1,#3 Eric Kubel / #4 Markus Steele / #10 Zach Bauman / #20 Jake Field / #22 Roman Finney,turnover,,,,,,,,,,,steal,0,
