date,opponent,venue,poss,poss_end,half,clock,mp_score,opp_score,lead,garbage,lineup,event,shot_type,result,assisted,pip,scp,pot,foul_type,bonus,ftm,fta,to_type,pts,notes
2025-11-01,LA Valley,Home,67,dreb,2,8:22,93,62,31,1,#10 Zach Bauman / #12 Dominique Brutus / #14 Jozef Zlocha / #15 Parsa Kamali / #32 Ethan McLennan,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,68,turnover,2,8:22,93,62,31,1,#10 Zach Bauman / #12 Dominique Brutus / #14 Jozef Zlocha / #15 Parsa Kamali / #32 Ethan McLennan,turnover,,,,,,,,,,,deadball,0,
2025-11-01,LA Valley,Home,69,steal,2,8:22,93,62,31,1,#10 Zach Bauman / #12 Dominique Brutus / #14 Jozef Zlocha / #15 Parsa Kamali / #32 Ethan McLennan,turnover,,,,,,,,,,,steal,0,
2025-11-01,LA Valley,Home,70,dreb,2,8:22,93,62,31,1,#10 Zach Bauman / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,shot,2pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,70,dreb,2,8:22,93,62,31,1,#10 Zach Bauman / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,71,made_ft,2,8:22,93,62,31,1,#10 Zach Bauman / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,foul,,,,,,,nonshoot,1,2,2,,2,
2025-11-01,LA Valley,Home,72,steal,2,8:22,93,62,31,1,#10 Zach Bauman / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,deflection,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,72,steal,2,8:22,93,62,31,1,#10 Zach Bauman / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,turnover,,,,,,,,,,,steal,0,
2025-11-01,LA Valley,Home,73,made_fg,2,8:22,93,62,31,1,#10 Zach Bauman / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,shot,2pa,made,,1,,,,,,,,2,
2025-11-01,LA Valley,Home,74,made_fg,2,8:22,93,62,31,1,#10 Zach Bauman / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,shot,2pa,made,,,,,,,,,,2,
2025-11-01,LA Valley,Home,75,dreb,2,8:22,93,62,31,1,#10 Zach Bauman / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,shot,2pa,blocked,,,,,,,,,,0,
2025-11-01,LA Valley,Home,75,dreb,2,8:22,93,62,31,1,#10 Zach Bauman / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,76,made_fg,2,8:22,93,62,31,1,#10 Zach Bauman / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,shot,2pa,made,1,,,,,,,,,2,
2025-11-01,LA Valley,Home,77,dreb,2,8:22,93,62,31,1,#10 Zach Bauman / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,shot,2pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,77,dreb,2,8:22,93,62,31,1,#10 Zach Bauman / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,dreb,,,,,,,,,,,,0,
