date,opponent,venue,poss,poss_end,half,clock,mp_score,opp_score,lead,garbage,lineup,event,shot_type,result,assisted,pip,scp,pot,foul_type,bonus,ftm,fta,to_type,pts,notes
2025-11-01,LA Valley,Home,14,made_fg,1,15:56,11,7,4,,#4 Markus Steele / #5 Tidiane Sy / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,shot,3pa,made,1,,,,,,,,,3,
2025-11-01,LA Valley,Home,15,steal,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,turnover,,,,,,,,,,,steal,0,
2025-11-01,LA Valley,Home,16,made_fg,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,foul,,,,,,,shooting,,1,2,,1,
2025-11-01,LA Valley,Home,16,made_fg,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,oreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,16,made_fg,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,shot,2pa,made,1,1,1,,,,,,,2,
2025-11-01,LA Valley,Home,17,dreb,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,shot,2pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,17,dreb,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,18,steal,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,turnover,,,,,,,,,,,steal,0,
2025-11-01,LA Valley,Home,19,steal,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,foul,,,,,,,nonshoot,,,,,0,
2025-11-01,LA Valley,Home,19,steal,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,turnover,,,,,,,,,,,steal,0,
2025-11-01,LA Valley,Home,20,turnover,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,deflection,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,20,turnover,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,turnover,,,,,,,,,,,shotclock,0,
2025-11-01,LA Valley,Home,21,made_fg,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,shot,2pa,made,,1,,,,,,,,2,
2025-11-01,LA Valley,Home,22,made_fg,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,shot,2pa,made,1,1,,1,,,,,,2,
2025-11-01,LA Valley,Home,23,made_fg,1,7:48,37,23,14,,#2 Aiden Bitran / #3 Eric Kubel / #5 Tidiane Sy / #12 Dominique Brutus / #31 Noah Cotton,shot,2pa,made,1,,,,,,,,,2,
2025-11-01,LA Valley,Home,24,made_ft,1,7:48,37,23,14,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #12 Dominique Brutus / #31 Noah Cotton,foul,,,,,,,shooting,,2,2,,2,
2025-11-01,LA Valley,Home,25,steal,1,7:48,37,23,14,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #12 Dominique Brutus / #31 Noah Cotton,turnover,,,,,,,,,,,steal,0,
2025-11-01,LA Valley,Home,26,dreb,1,7:48,37,23,14,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #12 Dominique Brutus / #31 Noah Cotton,shot,2pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,26,dreb,1,7:48,37,23,14,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #12 Dominique Brutus / #31 Noah Cotton,oreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,26,dreb,1,7:48,37,23,14,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #12 Dominique Brutus / #31 Noah Cotton,deflection,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,26,dreb,1,7:48,37,23,14,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #12 Dominique Brutus / #31 Noah Cotton,shot,3pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,26,dreb,1,7:48,37,23,14,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #12 Dominique Brutus / #31 Noah Cotton,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,27,steal,1,7:48,37,23,14,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #12 Dominique Brutus / #31 Noah Cotton,deflection,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,27,steal,1,7:48,37,23,14,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #12 Dominique Brutus / #31 Noah Cotton,shot,2pa,blocked,,,,,,,,,,0,
2025-11-01,LA Valley,Home,27,steal,1,7:48,37,23,14,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #12 Dominique Brutus / #31 Noah Cotton,oreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,27,steal,1,7:48,37,23,14,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #31 Noah Cotton,turnover,,,,,,,,,,,steal,0,
2025-11-01,LA Valley,Home,28,made_fg,1,4:58,44,27,17,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #31 Noah Cotton,shot,2pa,made,,1,,,,,,,,2,
2025-11-01,LA Valley,Home,29,dreb,1,4:58,44,27,17,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #31 Noah Cotton,shot,2pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,29,dreb,1,4:58,44,27,17,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #31 Noah Cotton,dreb,,,,,,,,,,,,0,
