date,opponent,venue,side,poss,poss_end,half,clock,mp_score,opp_score,lead,garbage,lineup,event,shot_type,result,assisted,pip,scp,pot,foul_type,bonus,ftm,fta,to_type,pts,notes
2025-11-16,East Los Angeles,Neutral,off,1,made_fg,2,2:40,56,72,16,1,#1 Josh Castaniero / #3 Eric Kubel / #10 Zach Bauman / #12 Dominique Brutus / #22 Roman Finney,shot,2pa,made,1,,,,,,,,,2,
2025-11-16,East Los Angeles,Neutral,off,2,dreb,2,1:53,58,72,14,1,#1 Josh Castaniero / #10 Zach Bauman / #12 Dominique Brutus / #14 Jozef Zlocha / #22 Roman Finney,foul,,,,,,,shooting,,1,2,,1,
2025-11-16,East Los Angeles,Neutral,off,2,dreb,2,1:53,58,72,14,1,#1 Josh Castaniero / #10 Zach Bauman / #12 Dominique Brutus / #14 Jozef Zlocha / #22 Roman Finney,dreb,,,,,,,,,,,,0,
2025-11-16,East Los Angeles,Neutral,off,3,dreb,2,1:53,58,72,14,1,#1 Josh Castaniero / #10 Zach Bauman / #12 Dominique Brutus / #14 Jozef Zlocha / #22 Roman Finney,shot,2pa,missed,,,,,,,,,,0,
2025-11-16,East Los Angeles,Neutral,off,3,dreb,2,1:53,58,72,14,1,#1 Josh Castaniero / #10 Zach Bauman / #12 Dominique Brutus / #14 Jozef Zlocha / #22 Roman Finney,dreb,,,,,,,,,,,,0,
2025-11-16,East Los Angeles,Neutral,off,4,turnover,2,1:53,58,72,14,1,#1 Josh Castaniero / #10 Zach Bauman / #12 Dominique Brutus / #14 Jozef Zlocha / #22 Roman Finney,turnover,,,,,,,,,,,deadball,0,
2025-11-16,East Los Angeles,Neutral,off,5,turnover,2,1:02,59,74,15,1,#10 Zach Bauman / #12 Dominique Brutus / #14 Jozef Zlocha / #21 Jacob Jordan / #22 Roman Finney,turnover,,,,,,,,,,,deadball,0,
2025-11-16,East Los Angeles,Neutral,off,6,dreb,2,0:00,59,74,15,1,#10 Zach Bauman / #12 Dominique Brutus / #14 Jozef Zlocha / #21 Jacob Jordan / #33 Tyler Hook,foul,,,,,,,nonshoot,,,,,0,
2025-11-16,East Los Angeles,Neutral,off,6,dreb,2,0:00,59,74,15,1,#10 Zach Bauman / #12 Dominique Brutus / #14 Jozef Zlocha / #21 Jacob Jordan / #33 Tyler Hook,shot,3pa,missed,,,,,,,,,,0,
