MC @ BC — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#2 A.B. / #11 E.E. / #12 D.B. / #22 R.F. / #24 A.G.,0,0.0%,0.0%,-,-,1,0.5,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,1,1,100.0%,0,1,2,0.68,1,- 1.0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,1,0,0,0,0
#2 A.B. / #12 D.B. / #20 J.F. / #21 J.J. / #22 R.F.,0,150.0%,0.0%,-,50.0%,2,3,0,1,1,100.0%,150.0%,0,0,0,-,0,1,1,100.0%,0,2,2,100.0%,0,5,5,2.56,5,0,2,0,0,0,0,0,0,0,-,1,50.0%,1,0,0,0,0,0.0%,0,1,200.0%,3,0,-,0,0,1,0,0,1,0
#2 A.B. / #12 D.B. / #22 R.F. / #24 A.G. / #31 N.C.,0,0.0%,0.0%,0.0%,-,0.5,0.4,0,0,2,0.0%,0.0%,0,0,0,-,0,0,2,0.0%,0,0,1,0.0%,0,0,5,0,0,- 5.0,1,0,0,0,0,0,0,0,0.0%,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,1,0,0,0
#2 A.B. / #14 J.Z. / #20 J.F. / #21 J.J. / #22 R.F.,0,100.0%,40.4%,-,0.0%,1,2.5,0,1,1,100.0%,100.0%,0,1,1,100.0%,0,0,0,-,0,1,1,100.0%,0,3,2,1.21,3,+ 1.0,1,0,0,0,0,2,0,0,-,0,0.0%,0,0,0,1,0,40.4%,0,1,0.0%,0,0,-,0,0,1,1,0,0,0
#3 E.K. / #4 M.S. / #10 Z.B. / #15 P.K. / #20 J.F.,0,150.0%,40.4%,0.0%,-,1,1.4,0,1,1,100.0%,150.0%,0,0,0,-,0,1,1,100.0%,0,0,1,0.0%,0,3,1,1.21,3,+ 2.0,1,0,0,0,0,0,0,0,0.0%,0,-,0,0,1,1,1,40.4%,0,0,-,0,0,-,0,0,1,1,0,1,0
#3 E.K. / #4 M.S. / #10 Z.B. / #20 J.F. / #22 R.F.,0,31.8%,21.4%,50.0%,85.7%,0,0.88,0,3,11,27.3%,31.8%,0,2,5,40.0%,0,1,6,16.7%,0,0,0,-,0,7,3,0.7,7,+ 4.0,5,0,0,2,4,4,0,4,50.0%,6,85.7%,10,0,1,3,0.33,21.4%,0,2,0.0%,0,1,0.0%,0,0,2,1,0,1,0
#3 E.K. / #5 T.S. / #12 D.B. / #22 R.F. / #24 A.G.,0,33.3%,0.0%,0.0%,100.0%,0,1,0,1,3,33.3%,33.3%,0,1,3,33.3%,0,0,0,-,0,0,0,-,0,2,4,0.67,2,- 2.0,2,0,0,0,0,2,0,0,0.0%,2,100.0%,2,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,1,0,0,0,0
#3 E.K. / #5 T.S. / #14 J.Z. / #22 R.F. / #24 A.G.,0,66.7%,0.0%,0.0%,100.0%,0.33,1.14,0,2,3,66.7%,66.7%,0,2,3,66.7%,0,0,0,-,0,0,1,0.0%,0,4,4,1.15,4,0,2,0,0,0,0,4,0,0,0.0%,2,100.0%,2,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,2,0
#3 E.K. / #12 D.B. / #24 A.G. / #30 C.S. / #31 N.C.,0,0.0%,0.0%,50.0%,0.0%,1,0.5,0,0,2,0.0%,0.0%,0,0,1,0.0%,0,0,1,0.0%,0,2,2,100.0%,0,2,5,1.03,2,- 3.0,1,0,0,0,0,0,0,1,50.0%,0,0.0%,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#5 T.S. / #10 Z.B. / #12 D.B. / #22 R.F. / #24 A.G.,0,0.0%,0.0%,0.0%,100.0%,0,0.33,0,0,3,0.0%,0.0%,0,0,2,0.0%,0,0,1,0.0%,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0%,2,100.0%,2,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#10 Z.B. / #12 D.B. / #20 J.F. / #22 R.F. / #24 A.G.,0,-,100.0%,-,-,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,1,0,100.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#10 Z.B. / #12 D.B. / #20 J.F. / #24 A.G. / #31 N.C.,0,0.0%,0.0%,0.0%,-,1,1.5,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,1,1,100.0%,0,1,2,0.68,1,- 1.0,1,0,0,1,0,0,0,0,0.0%,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,1,0,0,0
#12 D.B. / #20 J.F. / #24 A.G. / #30 C.S. / #31 N.C.,0,-,67.8%,-,-,0,0.5,0,0,0,-,-,0,0,0,-,0,0,0,-,0,1,1,100.0%,0,1,2,0.68,1,- 1.0,1,0,0,0,0,0,0,0,-,0,-,0,0,0,1,0,67.8%,0,0,-,0,0,-,0,0,0,0,0,0,0
#2 A.B. / #3 E.K. / #10 Z.B. / #21 J.J. / #30 C.S.,0,100.0%,0,0,0,0,0,0,1,1,100.0%,100.0%,0,1,1,100.0%,0,0,0,-,0,0,0,-,0,2,0,1.00,2,0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,1,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
