MC @ Cuesta College — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#3 E.K. / #10 Z.B. / #12 D.B. / #15 P.K. / #33 T.H.,0,-,-,-,-,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,1,0,0,- 1.0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0
#3 E.K. / #12 D.B. / #20 J.F. / #22 R.F. / #31 N.C.,0,0.0%,0.0%,0.0%,-,0,0,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,0,0,-,0,0,3,0,0,- 3.0,1,0,0,0,0,0,0,0,0.0%,0,-,0,0,0,0,0,0.0%,0,0,-,0,1,0.0%,0,0,0,0,0,0,0
#3 E.K. / #20 J.F. / #21 J.J. / #22 R.F. / #31 N.C.,0,50.0%,0.0%,0.0%,-,0,1,0,1,2,50.0%,50.0%,0,1,1,100.0%,0,0,1,0.0%,0,0,0,-,0,2,4,1,2,- 2.0,2,0,0,0,0,0,0,0,0.0%,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#5 T.S. / #10 Z.B. / #15 P.K. / #21 J.J. / #33 T.H.,0,25.0%,0.0%,33.3%,33.3%,0,0.5,0,1,4,25.0%,25.0%,0,1,2,50.0%,0,0,2,0.0%,0,0,0,-,0,2,5,0.67,2,- 3.0,2,0,0,0,0,2,0,1,33.3%,1,33.3%,2,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#5 T.S. / #11 E.E. / #15 P.K. / #22 R.F. / #31 N.C.,0,37.5%,0.0%,0.0%,100.0%,0,1,0,1,4,25.0%,37.5%,0,0,1,0.0%,0,1,3,33.3%,0,0,0,-,0,3,2,0.75,3,+ 1.0,1,0,3,5,0,0,0,0,0.0%,1,100.0%,1,0,0,0,0,0.0%,0,0,-,0,1,0.0%,0,0,0,1,0,0,0
#5 T.S. / #15 P.K. / #21 J.J. / #31 N.C. / #33 T.H.,0,0.0%,28.6%,20.0%,100.0%,0,0.5,0,0,5,0.0%,0.0%,0,0,3,0.0%,0,0,2,0.0%,0,0,0,-,0,0,2,0,0,- 2.0,2,0,0,0,0,0,0,1,20.0%,3,100.0%,4,0,0,2,0,28.6%,0,0,-,0,0,-,0,0,2,2,0,1,0
#5 T.S. / #20 J.F. / #21 J.J. / #22 R.F. / #31 N.C.,0,-,-,-,-,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,1,0,0,- 1.0,-,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0
#10 Z.B. / #11 E.E. / #12 D.B. / #30 C.S. / #31 N.C.,0,125.0%,33.3%,-,100.0%,0,1.67,0,2,2,100.0%,125.0%,0,1,1,100.0%,0,1,1,100.0%,0,0,0,-,0,5,3,1.67,5,+ 2.0,1,0,0,0,0,2,0,0,-,1,100.0%,1,0,2,1,2,33.3%,0,0,-,0,0,-,0,0,0,0,0,2,0
#10 Z.B. / #12 D.B. / #15 P.K. / #30 C.S. / #31 N.C.,0,45.0%,25.9%,28.6%,40.0%,0.3,0.73,0,4,10,40.0%,45.0%,0,3,6,50.0%,0,1,4,25.0%,0,1,3,33.3%,0,10,13,0.74,10,- 3.0,4,0,3,0,5,6,0,2,28.6%,2,40.0%,4,0,1,4,0.25,25.9%,0,0,-,0,1,200.0%,3,0,1,3,0,4,0
#10 Z.B. / #15 P.K. / #21 J.J. / #30 C.S. / #33 T.H.,0,-,-,-,-,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,1,0,0,- 1.0,-,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0
#12 D.B. / #15 P.K. / #21 J.J. / #22 R.F. / #31 N.C.,0,83.3%,0.0%,100.0%,-,0,2.5,0,2,3,66.7%,83.3%,0,1,1,100.0%,0,1,2,50.0%,0,0,0,-,0,5,0,2.5,5,+ 5.0,1,0,3,3,2,0,0,1,100.0%,0,-,1,0,1,0,0,0.0%,0,0,-,0,2,50.0%,1,0,1,1,0,1,0
