MC vs Cuesta College — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #12 D.B. / #14 J.Z. / #21 J.J. / #31 N.C.,0,100.0%,0.0%,0.0%,50.0%,0,2.83,0,5,6,83.3%,100.0%,0,3,3,100.0%,0,2,3,66.7%,0,0,0,-,0,12,7,2,12,+ 5.0,3,0,2,4,0,6,0,0,0.0%,1,50.0%,1,0,1,0,0,0.0%,0,0,-,0,1,100.0%,2,0,1,1,0,2,0
#1 J.C. / #12 D.B. / #14 J.Z. / #21 J.J. / #33 T.H.,0,-,-,-,100.0%,0,1,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,1,100.0%,1,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #12 D.B. / #21 J.J. / #22 R.F. / #30 C.S.,0,55.0%,0.0%,100.0%,66.7%,0,2.2,0,5,10,50.0%,55.0%,0,4,7,57.1%,0,1,3,33.3%,0,0,0,-,0,11,4,2.2,11,+ 7.0,4,0,0,5,7,4,0,5,100.0%,2,66.7%,7,0,1,0,0,0.0%,0,1,100.0%,3,1,100.0%,3,0,2,1,0,0,0
#1 J.C. / #12 D.B. / #21 J.J. / #22 R.F. / #33 T.H.,0,0.0%,0.0%,50.0%,100.0%,1,1.5,0,0,2,0.0%,0.0%,0,0,2,0.0%,0,0,0,-,0,2,2,100.0%,0,2,0,1.03,2,+ 2.0,1,0,0,1,1,0,0,1,50.0%,1,100.0%,2,0,0,0,0,0.0%,0,0,-,0,1,100.0%,1,0,0,1,0,0,0
#1 J.C. / #20 J.F. / #21 J.J. / #22 R.F. / #33 T.H.,0,-,0.0%,-,0.0%,0,1,0,0,0,-,-,0,0,0,-,0,0,0,-,0,2,2,100.0%,0,2,2,2.11,2,0,1,0,0,0,0,0,0,0,-,0,0.0%,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,2,0,0,1,0
#2 A.B. / #3 E.K. / #12 D.B. / #22 R.F. / #30 C.S.,0,0.0%,0.0%,100.0%,-,0,0.5,0,0,2,0.0%,0.0%,0,0,1,0.0%,0,0,1,0.0%,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100.0%,0,-,2,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#2 A.B. / #5 T.S. / #12 D.B. / #22 R.F. / #30 C.S.,0,50.0%,15.6%,50.0%,100.0%,0.75,1.08,0,2,4,50.0%,50.0%,0,2,4,50.0%,0,0,0,-,0,3,3,100.0%,0,7,3,1.29,7,+ 4.0,2,0,2,0,0,2,0,1,50.0%,1,100.0%,2,0,0,1,0,15.6%,0,1,0.0%,0,0,-,0,0,0,1,1,3,0
#2 A.B. / #11 E.E. / #12 D.B. / #22 R.F. / #30 C.S.,0,-,-,-,-,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0
#5 T.S. / #10 Z.B. / #11 E.E. / #12 D.B. / #21 J.J.,0,0.0%,0.0%,0.0%,100.0%,0,0.25,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,0,0,-,0,0,1,0,0,- 1.0,0,0,0,0,0,0,0,0,0.0%,1,100.0%,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#5 T.S. / #10 Z.B. / #11 E.E. / #20 J.F. / #21 J.J.,0,0.0%,50.0%,0.0%,-,0,0,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,0,0,-,0,0,3,0,0,- 3.0,1,0,0,0,0,0,0,0,0.0%,0,-,0,0,0,1,0,50.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#5 T.S. / #10 Z.B. / #12 D.B. / #15 P.K. / #21 J.J.,0,50.0%,14.5%,0.0%,57.1%,1,1.75,0,2,4,50.0%,50.0%,0,2,2,100.0%,0,0,2,0.0%,0,4,4,100.0%,0,8,6,1.16,8,+ 2.0,3,0,2,0,0,4,0,0,0.0%,4,57.1%,4,0,1,1,1,14.5%,0,0,-,0,0,-,0,0,0,0,0,1,0
#5 T.S. / #10 Z.B. / #15 P.K. / #32 E.M. / #33 T.H.,0,0.0%,40.4%,0.0%,100.0%,1,0.5,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,1,1,100.0%,0,1,2,0.4,1,- 1.0,1,0,0,0,0,0,0,0,0.0%,2,100.0%,2,0,0,1,0,40.4%,0,0,-,0,0,-,0,0,0,0,0,1,0
#10 Z.B. / #11 E.E. / #20 J.F. / #21 J.J. / #22 R.F.,0,-,100.0%,-,100.0%,0,0.25,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,1,0,0,- 1.0,1,0,0,0,0,0,0,0,-,1,100.0%,1,0,0,1,0,100.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#12 D.B. / #14 J.Z. / #15 P.K. / #21 J.J. / #22 R.F.,0,100.0%,50.0%,-,-,0,0.5,0,1,1,100.0%,100.0%,0,1,1,100.0%,0,0,0,-,0,0,0,-,0,2,0,1,2,+ 2.0,1,0,0,0,0,0,0,0,-,0,-,0,0,0,1,0,50.0%,0,0,-,0,0,-,0,0,1,0,0,1,0
#12 D.B. / #14 J.Z. / #15 P.K. / #21 J.J. / #31 N.C.,0,100.0%,0.0%,-,-,0,1,0,1,1,100.0%,100.0%,0,1,1,100.0%,0,0,0,-,0,0,0,-,0,2,2,2,2,0,1,0,0,0,0,2,0,0,-,0,-,0,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,2,0
