MC @ WVC — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #3 E.K. / #4 M.S. / #20 J.F. / #31 N.C.,0,-,0.0%,-,-,0,1,0,0,0,-,-,0,0,0,-,0,0,0,-,0,1,1,100.0%,0,1,1,2.11,1,0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #14 J.Z. / #20 J.F. / #22 R.F.,0,16.7%,0.0%,0.0%,33.3%,0.33,0.29,0,1,6,16.7%,16.7%,0,1,3,33.3%,0,0,3,0.0%,0,1,2,50.0%,0,3,8,0.43,3,- 5.0,5,0,0,0,0,0,0,0,0.0%,2,33.3%,2,0,0,0,0,0.0%,0,1,100.0%,1,0,-,0,0,1,0,0,3,0
#1 J.C. / #5 T.S. / #12 D.B. / #14 J.Z. / #31 N.C.,0,33.3%,25.0%,100.0%,50.0%,0,0.63,0,1,3,33.3%,33.3%,0,1,3,33.3%,0,0,0,-,0,0,0,-,0,2,3,1,2,- 1.0,2,0,0,0,2,2,0,2,100.0%,1,50.0%,3,0,0,1,0,25.0%,0,0,-,0,0,-,0,0,1,0,0,1,0
#1 J.C. / #5 T.S. / #12 D.B. / #22 R.F. / #30 C.S.,0,50.0%,28.8%,100.0%,0.0%,0.5,1.33,0,1,2,50.0%,50.0%,0,1,1,100.0%,0,0,1,0.0%,0,1,1,100.0%,0,3,3,1.21,3,0,1,0,0,0,0,2,0,1,100.0%,0,0.0%,1,0,1,1,1,28.8%,0,0,-,0,0,-,0,0,0,0,0,1,1
#1 J.C. / #12 D.B. / #20 J.F. / #21 J.J. / #31 N.C.,0,0.0%,0.0%,66.7%,-,1,0.57,0,0,3,0.0%,0.0%,0,0,2,0.0%,0,0,1,0.0%,0,2,3,66.7%,0,2,3,0.82,2,- 1.0,1,0,0,0,1,0,0,2,66.7%,0,-,2,0,0,0,0,0.0%,0,1,0.0%,0,0,-,0,0,1,0,0,0,0
#2 A.B. / #3 E.K. / #12 D.B. / #22 R.F. / #31 N.C.,0,0.0%,0.0%,0.0%,-,0,1,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0%,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,1,1,0,0,0
#2 A.B. / #4 M.S. / #5 T.S. / #14 J.Z. / #31 N.C.,0,100.0%,0.0%,-,50.0%,0,5,0,1,1,100.0%,100.0%,0,1,1,100.0%,0,0,0,-,0,0,0,-,0,2,2,2,2,0,2,0,0,0,0,2,0,0,-,1,50.0%,1,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#2 A.B. / #4 M.S. / #12 D.B. / #15 P.K. / #31 N.C.,0,0.0%,0.0%,0.0%,50.0%,0.33,0.5,0,0,3,0.0%,0.0%,0,0,1,0.0%,0,0,2,0.0%,0,1,1,100.0%,0,1,4,0.29,1,- 3.0,1,0,0,0,0,0,0,0,0.0%,1,50.0%,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,1,0,1,0
#2 A.B. / #5 T.S. / #14 J.Z. / #20 J.F. / #31 N.C.,0,83.3%,40.0%,0.0%,100.0%,0,1.25,0,2,3,66.7%,83.3%,0,1,2,50.0%,0,1,1,100.0%,0,0,0,-,0,5,6,1,5,- 1.0,3,0,0,0,0,2,0,0,0.0%,1,100.0%,1,0,1,2,0.5,40.0%,0,0,-,0,0,-,0,0,2,1,0,1,0
#3 E.K. / #11 E.E. / #20 J.F. / #21 J.J. / #31 N.C.,0,-,100.0%,-,100.0%,0,0.5,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-,2,100.0%,2,0,0,2,0,100.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#3 E.K. / #11 E.E. / #20 J.F. / #22 R.F. / #31 N.C.,0,-,0.0%,0.0%,0.0%,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,1,0.0%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,1,0,0,0,0
#4 M.S. / #10 Z.B. / #11 E.E. / #12 D.B. / #31 N.C.,0,-,-,-,100.0%,0,1,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,1,100.0%,1,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0
#4 M.S. / #10 Z.B. / #12 D.B. / #15 P.K. / #31 N.C.,0,0.0%,31.6%,0.0%,100.0%,7,1.86,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,6,7,85.7%,0,6,3,0.95,6,+ 3.0,3,0,0,0,0,0,0,0,0.0%,3,100.0%,3,0,0,2,0,31.6%,0,0,-,0,0,-,0,0,1,1,1,0,0
#4 M.S. / #12 D.B. / #20 J.F. / #22 R.F. / #31 N.C.,0,62.5%,0.0%,0.0%,0.0%,0.25,2,0,2,4,50.0%,62.5%,0,1,3,33.3%,0,1,1,100.0%,0,1,1,100.0%,0,6,9,1.34,6,- 3.0,3,0,0,0,0,0,0,0,0.0%,0,0.0%,0,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
