MC @ Grossmont College — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #3 E.K. / #12 D.B. / #15 P.K. / #33 T.H.,0,50.0%,22.6%,50.0%,100.0%,1.5,1.4,0,1,2,50.0%,50.0%,0,1,1,100.0%,0,0,1,0.0%,0,2,3,66.7%,0,4,0,1.17,4,+ 4.0,2,0,0,2,0,2,0,1,50.0%,2,100.0%,3,0,0,1,0,22.6%,0,2,0.0%,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #14 J.Z. / #15 P.K. / #33 T.H.,0,0.0%,0.0%,0.0%,100.0%,0,0.25,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0%,1,100.0%,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #12 D.B. / #15 P.K. / #21 J.J. / #33 T.H.,0,-,-,-,-,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,2,0,0,- 2.0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #14 J.Z. / #21 J.J. / #31 N.C. / #33 T.H.,0,-,0.0%,-,-,0,1,0,0,0,-,-,0,0,0,-,0,0,0,-,0,1,1,100.0%,0,1,0,2.11,1,+ 1.0,-,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#2 A.B. / #3 E.K. / #5 T.S. / #11 E.E. / #30 C.S.,0,58.3%,0.0%,33.3%,75.0%,0.33,2.13,0,3,6,50.0%,58.3%,0,2,3,66.7%,0,1,3,33.3%,0,2,2,100.0%,0,9,3,1.51,9,+ 6.0,2,0,2,2,2,4,0,1,33.3%,3,75.0%,4,0,1,0,0,0.0%,0,0,-,0,1,200.0%,2,0,0,1,0,1,0
#2 A.B. / #14 J.Z. / #20 J.F. / #21 J.J. / #31 N.C.,0,0.0%,0.0%,0.0%,0.0%,0,0.5,0,0,2,0.0%,0.0%,0,0,1,0.0%,0,0,1,0.0%,0,0,0,-,0,0,4,0,0,- 4.0,1,0,0,0,2,0,0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,1,0,0
#2 A.B. / #14 J.Z. / #21 J.J. / #24 A.G. / #31 N.C.,0,66.7%,0.0%,100.0%,100.0%,0,1.5,0,2,3,66.7%,66.7%,0,2,3,66.7%,0,0,0,-,0,0,0,-,0,4,1,2,4,+ 3.0,1,0,0,0,0,4,0,1,100.0%,1,100.0%,2,0,0,0,0,0.0%,0,0,-,0,0,0.0%,0,0,0,0,0,1,0
#3 E.K. / #4 M.S. / #5 T.S. / #11 E.E. / #30 C.S.,0,40.0%,0.0%,100.0%,100.0%,0,1.67,0,2,5,40.0%,40.0%,0,2,4,50.0%,0,0,1,0.0%,0,0,0,-,0,4,3,2,4,+ 1.0,1,0,0,0,2,2,0,3,100.0%,1,100.0%,4,0,1,0,0,0.0%,0,0,-,0,1,100.0%,2,0,0,0,0,0,0
#3 E.K. / #4 M.S. / #11 E.E. / #30 C.S. / #31 N.C.,0,41.7%,0.0%,75.0%,-,0,1,0,2,6,33.3%,41.7%,0,1,4,25.0%,0,1,2,50.0%,0,0,0,-,0,5,6,1.67,5,- 1.0,2,0,0,0,2,2,0,3,75.0%,0,-,3,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#3 E.K. / #5 T.S. / #14 J.Z. / #22 R.F. / #31 N.C.,0,100.0%,0.0%,0.0%,100.0%,0.5,8,0,2,2,100.0%,100.0%,0,2,2,100.0%,0,0,0,-,0,0,1,0.0%,0,4,0,1.62,4,+ 4.0,1,0,4,2,0,4,0,0,0.0%,2,100.0%,2,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,1,1,0,0,0
#3 E.K. / #14 J.Z. / #24 A.G. / #31 N.C. / #33 T.H.,0,33.3%,0.0%,75.0%,100.0%,0.17,1.88,0,2,6,33.3%,33.3%,0,2,3,66.7%,0,0,3,0.0%,0,1,1,100.0%,0,5,3,1.44,5,+ 2.0,2,0,0,0,3,2,0,3,75.0%,3,100.0%,6,0,2,0,0,0.0%,0,1,100.0%,2,0,-,0,0,0,0,0,0,0
#14 J.Z. / #21 J.J. / #24 A.G. / #31 N.C. / #33 T.H.,0,0.0%,0.0%,0.0%,-,0,0,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,1,0,0,- 1.0,0,0,0,0,0,0,0,0,0.0%,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
